Model : resnet101 - Learning Type: cifar100/pruning/magnitude_pruning/0.97
Configuration:
model_type: cv
model_name: resnet101
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet101/cifar100/resnet101_cifar100_magnitude_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/resnet101/cifar100/resnet101_cifar100_baseline.pt

Epoch [1/5]: Avg Loss: 0.0042 | Avg Accuracy: 73.37 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.0045 | Avg Accuracy: 73.13 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.0046 | Avg Accuracy: 72.88 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.0046 | Avg Accuracy: 73.28 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.0050 | Avg Accuracy: 72.96 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.0049 | Avg Accuracy: 73.19 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0047 | Avg Accuracy: 73.55 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0060 | Avg Accuracy: 73.12 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0068 | Avg Accuracy: 72.85 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0080 | Avg Accuracy: 73.19 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0068 | Avg Accuracy: 72.70 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 0.1427 | Avg Accuracy: 69.28 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.1177 | Avg Accuracy: 68.43 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.0976 | Avg Accuracy: 68.57 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.0844 | Avg Accuracy: 69.95 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.0759 | Avg Accuracy: 69.08 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.0698 | Avg Accuracy: 69.18 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.0651 | Avg Accuracy: 70.23 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.0585 | Avg Accuracy: 69.00 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.0583 | Avg Accuracy: 69.99 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.0534 | Avg Accuracy: 70.41 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.0553 | Avg Accuracy: 69.57 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 0.7155 | Avg Accuracy: 65.60 | Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 0.4089 | Avg Accuracy: 65.93 | Model Sparsity: 0.9079
Recovery epoch [2/10]: Avg Loss: 0.3058 | Avg Accuracy: 67.54 | Model Sparsity: 0.9079
Recovery epoch [3/10]: Avg Loss: 0.2529 | Avg Accuracy: 67.75 | Model Sparsity: 0.9079
Recovery epoch [4/10]: Avg Loss: 0.2038 | Avg Accuracy: 68.85 | Model Sparsity: 0.9079
Recovery epoch [5/10]: Avg Loss: 0.1813 | Avg Accuracy: 67.83 | Model Sparsity: 0.9079
Recovery epoch [6/10]: Avg Loss: 0.1582 | Avg Accuracy: 67.55 | Model Sparsity: 0.9079
Recovery epoch [7/10]: Avg Loss: 0.1315 | Avg Accuracy: 68.58 | Model Sparsity: 0.9079
Recovery epoch [8/10]: Avg Loss: 0.1259 | Avg Accuracy: 69.02 | Model Sparsity: 0.9079
Recovery epoch [9/10]: Avg Loss: 0.1226 | Avg Accuracy: 68.68 | Model Sparsity: 0.9079
Recovery epoch [10/10]: Avg Loss: 0.1109 | Avg Accuracy: 69.52 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Loss: 0.8948 | Avg Accuracy: 63.23 | Model Sparsity: 0.9622
Recovery epoch [1/10]: Avg Loss: 0.5511 | Avg Accuracy: 63.28 | Model Sparsity: 0.9622
Recovery epoch [2/10]: Avg Loss: 0.4394 | Avg Accuracy: 66.07 | Model Sparsity: 0.9622
Recovery epoch [3/10]: Avg Loss: 0.3662 | Avg Accuracy: 66.14 | Model Sparsity: 0.9622
Recovery epoch [4/10]: Avg Loss: 0.3252 | Avg Accuracy: 65.97 | Model Sparsity: 0.9622
Recovery epoch [5/10]: Avg Loss: 0.2904 | Avg Accuracy: 65.78 | Model Sparsity: 0.9622
Recovery epoch [6/10]: Avg Loss: 0.2641 | Avg Accuracy: 65.15 | Model Sparsity: 0.9622
Recovery epoch [7/10]: Avg Loss: 0.2396 | Avg Accuracy: 68.58 | Model Sparsity: 0.9622
Recovery epoch [8/10]: Avg Loss: 0.2178 | Avg Accuracy: 67.97 | Model Sparsity: 0.9622
Recovery epoch [9/10]: Avg Loss: 0.1950 | Avg Accuracy: 67.73 | Model Sparsity: 0.9622
Recovery epoch [10/10]: Avg Loss: 0.1885 | Avg Accuracy: 68.02 | Model Sparsity: 0.9622
Epoch [5/5]: Avg Loss: 0.3302 | Avg Accuracy: 66.60 | Model Sparsity: 0.97
Recovery epoch [1/10]: Avg Loss: 0.2557 | Avg Accuracy: 66.09 | Model Sparsity: 0.97
Recovery epoch [2/10]: Avg Loss: 0.2083 | Avg Accuracy: 67.06 | Model Sparsity: 0.97
Recovery epoch [3/10]: Avg Loss: 0.1864 | Avg Accuracy: 68.95 | Model Sparsity: 0.97
Recovery epoch [4/10]: Avg Loss: 0.1669 | Avg Accuracy: 68.15 | Model Sparsity: 0.97
Recovery epoch [5/10]: Avg Loss: 0.1533 | Avg Accuracy: 67.89 | Model Sparsity: 0.97
Recovery epoch [6/10]: Avg Loss: 0.1438 | Avg Accuracy: 68.85 | Model Sparsity: 0.97
Recovery epoch [7/10]: Avg Loss: 0.1275 | Avg Accuracy: 68.14 | Model Sparsity: 0.97
Recovery epoch [8/10]: Avg Loss: 0.1265 | Avg Accuracy: 68.28 | Model Sparsity: 0.97
Recovery epoch [9/10]: Avg Loss: 0.1217 | Avg Accuracy: 67.38 | Model Sparsity: 0.97
Recovery epoch [10/10]: Avg Loss: 0.1192 | Avg Accuracy: 68.28 | Model Sparsity: 0.97
