Model : resnet101 - Learning Type: cifar100/pruning/movement_pruning/0.95
Configuration:
model_type: cv
model_name: resnet101
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet101/cifar100/resnet101_cifar100_movement_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/resnet101/cifar100/resnet101_cifar100_baseline.pt

Epoch [1/5]: Avg Loss: 0.0276 | Avg Accuracy: 71.25 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.0411 | Avg Accuracy: 70.13 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.0652 | Avg Accuracy: 68.76 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.0801 | Avg Accuracy: 68.01 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.1068 | Avg Accuracy: 67.19 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.1172 | Avg Accuracy: 65.69 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.1213 | Avg Accuracy: 67.72 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.1216 | Avg Accuracy: 66.63 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.1199 | Avg Accuracy: 67.82 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.0983 | Avg Accuracy: 67.63 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.0958 | Avg Accuracy: 67.62 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.3483 | Avg Accuracy: 66.76 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.2183 | Avg Accuracy: 66.53 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.1914 | Avg Accuracy: 67.89 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.1607 | Avg Accuracy: 67.22 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.1329 | Avg Accuracy: 68.16 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.1229 | Avg Accuracy: 68.21 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.1123 | Avg Accuracy: 69.08 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.1005 | Avg Accuracy: 68.39 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.0899 | Avg Accuracy: 69.06 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.0863 | Avg Accuracy: 69.45 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.0841 | Avg Accuracy: 68.64 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 0.6639 | Avg Accuracy: 62.51 | Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 0.4226 | Avg Accuracy: 65.30 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 0.3372 | Avg Accuracy: 65.22 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 0.2838 | Avg Accuracy: 64.61 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 0.2342 | Avg Accuracy: 66.71 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 0.2181 | Avg Accuracy: 65.39 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 0.2001 | Avg Accuracy: 65.21 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 0.1747 | Avg Accuracy: 66.49 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 0.1605 | Avg Accuracy: 66.99 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 0.1553 | Avg Accuracy: 67.95 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 0.1503 | Avg Accuracy: 67.09 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: 0.6823 | Avg Accuracy: 62.70 | Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: 0.4751 | Avg Accuracy: 63.71 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: 0.3971 | Avg Accuracy: 64.63 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: 0.3474 | Avg Accuracy: 65.44 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: 0.3048 | Avg Accuracy: 65.40 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: 0.2782 | Avg Accuracy: 65.50 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: 0.2448 | Avg Accuracy: 65.01 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: 0.2259 | Avg Accuracy: 65.26 | Model Sparsity: 0.9424
Recovery epoch [8/10]: Avg Loss: 0.2139 | Avg Accuracy: 67.37 | Model Sparsity: 0.9424
Recovery epoch [9/10]: Avg Loss: 0.1915 | Avg Accuracy: 67.56 | Model Sparsity: 0.9424
Recovery epoch [10/10]: Avg Loss: 0.1749 | Avg Accuracy: 68.30 | Model Sparsity: 0.9424
Epoch [5/5]: Avg Loss: 0.2582 | Avg Accuracy: 64.20 | Model Sparsity: 0.95
Recovery epoch [1/10]: Avg Loss: 0.2330 | Avg Accuracy: 63.96 | Model Sparsity: 0.95
Recovery epoch [2/10]: Avg Loss: 0.2216 | Avg Accuracy: 65.42 | Model Sparsity: 0.95
Recovery epoch [3/10]: Avg Loss: 0.2037 | Avg Accuracy: 65.97 | Model Sparsity: 0.95
Recovery epoch [4/10]: Avg Loss: 0.1797 | Avg Accuracy: 66.78 | Model Sparsity: 0.95
Recovery epoch [5/10]: Avg Loss: 0.1662 | Avg Accuracy: 66.31 | Model Sparsity: 0.95
Recovery epoch [6/10]: Avg Loss: 0.1669 | Avg Accuracy: 66.57 | Model Sparsity: 0.95
Recovery epoch [7/10]: Avg Loss: 0.1560 | Avg Accuracy: 67.56 | Model Sparsity: 0.95
Recovery epoch [8/10]: Avg Loss: 0.1435 | Avg Accuracy: 66.22 | Model Sparsity: 0.95
Recovery epoch [9/10]: Avg Loss: 0.1434 | Avg Accuracy: 66.57 | Model Sparsity: 0.95
Recovery epoch [10/10]: Avg Loss: 0.1375 | Avg Accuracy: 67.05 | Model Sparsity: 0.95
