Model : resnet101 - Learning Type: emnist/bacp_pruning/magnitude_pruning/0.95
Configuration:
model_name: resnet101
model_task: emnist
model_type: cv
num_classes: 47
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 187
val_batches: 33
current_model_path: /dbfs/research/resnet101/emnist/resnet101_emnist_magnitude_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 7.7948 | Avg PrC Loss: 3.6400 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.9585 | Avg CE Loss: 0.1963 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 9.1232 | Avg PrC Loss: 3.2964 | Avg SnC Loss: 3.0422 | Avg FiC Loss: 2.6909 | Avg CE Loss: 0.0937 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 8.4837 | Avg PrC Loss: 3.1611 | Avg SnC Loss: 3.1059 | Avg FiC Loss: 2.1374 | Avg CE Loss: 0.0793 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 8.4041 | Avg PrC Loss: 3.1208 | Avg SnC Loss: 3.1219 | Avg FiC Loss: 2.0901 | Avg CE Loss: 0.0713 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 8.3577 | Avg PrC Loss: 3.0985 | Avg SnC Loss: 3.1331 | Avg FiC Loss: 2.0587 | Avg CE Loss: 0.0675 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 8.3321 | Avg PrC Loss: 3.0860 | Avg SnC Loss: 3.1408 | Avg FiC Loss: 2.0390 | Avg CE Loss: 0.0663 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 8.3139 | Avg PrC Loss: 3.0778 | Avg SnC Loss: 3.1462 | Avg FiC Loss: 2.0240 | Avg CE Loss: 0.0660 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 8.3058 | Avg PrC Loss: 3.0731 | Avg SnC Loss: 3.1493 | Avg FiC Loss: 2.0168 | Avg CE Loss: 0.0666 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 8.2980 | Avg PrC Loss: 3.0687 | Avg SnC Loss: 3.1520 | Avg FiC Loss: 2.0102 | Avg CE Loss: 0.0671 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 8.2936 | Avg PrC Loss: 3.0658 | Avg SnC Loss: 3.1537 | Avg FiC Loss: 2.0067 | Avg CE Loss: 0.0675 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 8.2931 | Avg PrC Loss: 3.0641 | Avg SnC Loss: 3.1546 | Avg FiC Loss: 2.0057 | Avg CE Loss: 0.0688 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 8.2691 | Avg PrC Loss: 3.0571 | Avg SnC Loss: 3.1569 | Avg FiC Loss: 1.9900 | Avg CE Loss: 0.0652 | Model Sparsity: 0.7448
Retraining Epoch [1/10]: Avg Total Loss: 9.9452 | Avg PrC Loss: 3.0782 | Avg SnC Loss: 4.8529 | Avg FiC Loss: 1.9445 | Avg CE Loss: 0.0696 | Model Sparsity: 0.7448
Retraining Epoch [2/10]: Avg Total Loss: 9.9539 | Avg PrC Loss: 3.0781 | Avg SnC Loss: 4.8569 | Avg FiC Loss: 1.9468 | Avg CE Loss: 0.0720 | Model Sparsity: 0.7448
Retraining Epoch [3/10]: Avg Total Loss: 9.9452 | Avg PrC Loss: 3.0762 | Avg SnC Loss: 4.8549 | Avg FiC Loss: 1.9428 | Avg CE Loss: 0.0713 | Model Sparsity: 0.7448
Retraining Epoch [4/10]: Avg Total Loss: 9.9361 | Avg PrC Loss: 3.0750 | Avg SnC Loss: 4.8517 | Avg FiC Loss: 1.9394 | Avg CE Loss: 0.0700 | Model Sparsity: 0.7448
