Model : resnet101 - Learning Type: fmnist/bacp_finetune/magnitude_pruning/0.97
Configuration:
model_type: cv
model_name: resnet101
model_task: fmnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet101/fmnist/resnet101_fmnist_magnitude_pruning_0.97_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet101/fmnist/resnet101_fmnist_magnitude_pruning_0.97_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.6411 | Avg Accuracy: 97.04 | Model Sparsity: 0.97
Epoch [2/50]: Avg Loss: 0.0905 | Avg Accuracy: 97.58 | Model Sparsity: 0.97
Epoch [3/50]: Avg Loss: 0.0573 | Avg Accuracy: 97.70 | Model Sparsity: 0.97
Epoch [4/50]: Avg Loss: 0.0435 | Avg Accuracy: 97.68 | Model Sparsity: 0.97
Epoch [5/50]: Avg Loss: 0.0349 | Avg Accuracy: 97.74 | Model Sparsity: 0.97
Epoch [6/50]: Avg Loss: 0.0290 | Avg Accuracy: 97.61 | Model Sparsity: 0.97
Epoch [7/50]: Avg Loss: 0.0241 | Avg Accuracy: 97.76 | Model Sparsity: 0.97
Epoch [8/50]: Avg Loss: 0.0195 | Avg Accuracy: 97.66 | Model Sparsity: 0.97
Epoch [9/50]: Avg Loss: 0.0180 | Avg Accuracy: 97.66 | Model Sparsity: 0.97
Epoch [10/50]: Avg Loss: 0.0160 | Avg Accuracy: 97.46 | Model Sparsity: 0.97
Epoch [11/50]: Avg Loss: 0.0138 | Avg Accuracy: 97.71 | Model Sparsity: 0.97
Epoch [12/50]: Avg Loss: 0.0129 | Avg Accuracy: 97.76 | Model Sparsity: 0.97
Epoch [13/50]: Avg Loss: 0.0110 | Avg Accuracy: 97.75 | Model Sparsity: 0.97
Epoch [14/50]: Avg Loss: 0.0091 | Avg Accuracy: 97.93 | Model Sparsity: 0.97
Epoch [15/50]: Avg Loss: 0.0097 | Avg Accuracy: 97.61 | Model Sparsity: 0.97
Epoch [16/50]: Avg Loss: 0.0084 | Avg Accuracy: 97.89 | Model Sparsity: 0.97
Epoch [17/50]: Avg Loss: 0.0067 | Avg Accuracy: 97.53 | Model Sparsity: 0.97
Epoch [18/50]: Avg Loss: 0.0067 | Avg Accuracy: 97.54 | Model Sparsity: 0.97
Epoch [19/50]: Avg Loss: 0.0055 | Avg Accuracy: 97.62 | Model Sparsity: 0.97
Epoch [20/50]: Avg Loss: 0.0058 | Avg Accuracy: 97.45 | Model Sparsity: 0.97
Epoch [21/50]: Avg Loss: 0.0051 | Avg Accuracy: 97.54 | Model Sparsity: 0.97
Epoch [22/50]: Avg Loss: 0.0060 | Avg Accuracy: 97.68 | Model Sparsity: 0.97
Epoch [23/50]: Avg Loss: 0.0063 | Avg Accuracy: 97.69 | Model Sparsity: 0.97
Epoch [24/50]: Avg Loss: 0.0052 | Avg Accuracy: 97.61 | Model Sparsity: 0.97
Epoch [25/50]: Avg Loss: 0.0052 | Avg Accuracy: 97.59 | Model Sparsity: 0.97
Epoch [26/50]: Avg Loss: 0.0047 | Avg Accuracy: 97.59 | Model Sparsity: 0.97
Epoch [27/50]: Avg Loss: 0.0044 | Avg Accuracy: 97.33 | Model Sparsity: 0.97
Epoch [28/50]: Avg Loss: 0.0046 | Avg Accuracy: 97.43 | Model Sparsity: 0.97
Epoch [29/50]: Avg Loss: 0.0043 | Avg Accuracy: 97.32 | Model Sparsity: 0.97
Epoch [30/50]: Avg Loss: 0.0044 | Avg Accuracy: 97.52 | Model Sparsity: 0.97
Epoch [31/50]: Avg Loss: 0.0049 | Avg Accuracy: 97.51 | Model Sparsity: 0.97
Epoch [32/50]: Avg Loss: 0.0036 | Avg Accuracy: 97.70 | Model Sparsity: 0.97
Epoch [33/50]: Avg Loss: 0.0042 | Avg Accuracy: 97.60 | Model Sparsity: 0.97
Epoch [34/50]: Avg Loss: 0.0031 | Avg Accuracy: 97.59 | Model Sparsity: 0.97
