Model : resnet101 - Learning Type: fmnist/bacp_pruning/movement_pruning/0.95
Configuration:
model_name: resnet101
model_task: fmnist
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 99
val_batches: 17
current_model_path: /dbfs/research/resnet101/fmnist/resnet101_fmnist_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: 0.0000 | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.5408
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.5408
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.5408
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.5408
Retraining Epoch [4/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.5408
Retraining Epoch [5/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.5408
Retraining Epoch [6/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.5408
Retraining Epoch [7/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.5408
Retraining Epoch [8/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.5408
Retraining Epoch [9/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.5408
Retraining Epoch [10/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 0.5408
Epoch [2/5]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: nan | Model Sparsity: 1.0
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2310 | Avg SnC Loss: nan | Avg FiC Loss: 6.1573 | Avg CE Loss: 0.5756 | Model Sparsity: 1.0
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2307 | Avg SnC Loss: nan | Avg FiC Loss: 6.1576 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2307 | Avg SnC Loss: nan | Avg FiC Loss: 6.1563 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [4/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2312 | Avg SnC Loss: nan | Avg FiC Loss: 6.1563 | Avg CE Loss: 0.5756 | Model Sparsity: 1.0
Retraining Epoch [5/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2314 | Avg SnC Loss: nan | Avg FiC Loss: 6.1571 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [6/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2310 | Avg SnC Loss: nan | Avg FiC Loss: 6.1565 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [7/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2314 | Avg SnC Loss: nan | Avg FiC Loss: 6.1563 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [8/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2307 | Avg SnC Loss: nan | Avg FiC Loss: 6.1566 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [9/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2314 | Avg SnC Loss: nan | Avg FiC Loss: 6.1578 | Avg CE Loss: 0.5756 | Model Sparsity: 1.0
Retraining Epoch [10/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2304 | Avg SnC Loss: nan | Avg FiC Loss: 6.1560 | Avg CE Loss: 0.5756 | Model Sparsity: 1.0
Epoch [3/5]: Avg Total Loss: nan | Avg PrC Loss: 5.2305 | Avg SnC Loss: nan | Avg FiC Loss: 6.1561 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2306 | Avg SnC Loss: nan | Avg FiC Loss: 6.1573 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2311 | Avg SnC Loss: nan | Avg FiC Loss: 6.1568 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2312 | Avg SnC Loss: nan | Avg FiC Loss: 6.1571 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [4/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2317 | Avg SnC Loss: nan | Avg FiC Loss: 6.1573 | Avg CE Loss: 0.5756 | Model Sparsity: 1.0
Retraining Epoch [5/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2321 | Avg SnC Loss: nan | Avg FiC Loss: 6.1565 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [6/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2299 | Avg SnC Loss: nan | Avg FiC Loss: 6.1574 | Avg CE Loss: 0.5756 | Model Sparsity: 1.0
Retraining Epoch [7/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2302 | Avg SnC Loss: nan | Avg FiC Loss: 6.1565 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [8/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2305 | Avg SnC Loss: nan | Avg FiC Loss: 6.1564 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
Retraining Epoch [9/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2304 | Avg SnC Loss: nan | Avg FiC Loss: 6.1554 | Avg CE Loss: 0.5756 | Model Sparsity: 1.0
Retraining Epoch [10/10]: Avg Total Loss: nan | Avg PrC Loss: 5.2315 | Avg SnC Loss: nan | Avg FiC Loss: 6.1562 | Avg CE Loss: 0.5757 | Model Sparsity: 1.0
