Model : resnet101 - Learning Type: fmnist/bacp_pruning/movement_pruning/0.99
Configuration:
model_name: resnet101
model_task: fmnist
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 99
val_batches: 17
current_model_path: /dbfs/research/resnet101/fmnist/resnet101_fmnist_movement_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 8.1729 | Avg PrC Loss: 3.7321 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 4.3130 | Avg CE Loss: 0.1278 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 10.9874 | Avg PrC Loss: 3.5958 | Avg SnC Loss: 3.4230 | Avg FiC Loss: 3.8999 | Avg CE Loss: 0.0687 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 10.2964 | Avg PrC Loss: 3.4630 | Avg SnC Loss: 3.4389 | Avg FiC Loss: 3.3264 | Avg CE Loss: 0.0681 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 9.9787 | Avg PrC Loss: 3.4115 | Avg SnC Loss: 3.4634 | Avg FiC Loss: 3.0444 | Avg CE Loss: 0.0593 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 9.8480 | Avg PrC Loss: 3.3799 | Avg SnC Loss: 3.4764 | Avg FiC Loss: 2.9383 | Avg CE Loss: 0.0534 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 9.7923 | Avg PrC Loss: 3.3606 | Avg SnC Loss: 3.4843 | Avg FiC Loss: 2.9001 | Avg CE Loss: 0.0473 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 9.7617 | Avg PrC Loss: 3.3453 | Avg SnC Loss: 3.4911 | Avg FiC Loss: 2.8807 | Avg CE Loss: 0.0446 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 9.7356 | Avg PrC Loss: 3.3375 | Avg SnC Loss: 3.4951 | Avg FiC Loss: 2.8616 | Avg CE Loss: 0.0414 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 9.6988 | Avg PrC Loss: 3.3239 | Avg SnC Loss: 3.5037 | Avg FiC Loss: 2.8324 | Avg CE Loss: 0.0389 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 9.6689 | Avg PrC Loss: 3.3110 | Avg SnC Loss: 3.5121 | Avg FiC Loss: 2.8080 | Avg CE Loss: 0.0378 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 9.6380 | Avg PrC Loss: 3.2997 | Avg SnC Loss: 3.5204 | Avg FiC Loss: 2.7819 | Avg CE Loss: 0.0360 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 9.6243 | Avg PrC Loss: 3.2911 | Avg SnC Loss: 3.5275 | Avg FiC Loss: 2.7673 | Avg CE Loss: 0.0384 | Model Sparsity: 0.7762
Retraining Epoch [1/10]: Avg Total Loss: 11.9592 | Avg PrC Loss: 3.2933 | Avg SnC Loss: 5.9136 | Avg FiC Loss: 2.7130 | Avg CE Loss: 0.0393 | Model Sparsity: 0.7762
Retraining Epoch [2/10]: Avg Total Loss: 11.9371 | Avg PrC Loss: 3.2873 | Avg SnC Loss: 5.9165 | Avg FiC Loss: 2.6954 | Avg CE Loss: 0.0379 | Model Sparsity: 0.7762
Retraining Epoch [3/10]: Avg Total Loss: 11.9183 | Avg PrC Loss: 3.2822 | Avg SnC Loss: 5.9179 | Avg FiC Loss: 2.6816 | Avg CE Loss: 0.0367 | Model Sparsity: 0.7762
Retraining Epoch [4/10]: Avg Total Loss: 11.9017 | Avg PrC Loss: 3.2788 | Avg SnC Loss: 5.9196 | Avg FiC Loss: 2.6691 | Avg CE Loss: 0.0342 | Model Sparsity: 0.7762
Retraining Epoch [5/10]: Avg Total Loss: 11.8921 | Avg PrC Loss: 3.2767 | Avg SnC Loss: 5.9215 | Avg FiC Loss: 2.6601 | Avg CE Loss: 0.0338 | Model Sparsity: 0.7762
Retraining Epoch [6/10]: Avg Total Loss: 11.8837 | Avg PrC Loss: 3.2742 | Avg SnC Loss: 5.9237 | Avg FiC Loss: 2.6523 | Avg CE Loss: 0.0336 | Model Sparsity: 0.7762
Retraining Epoch [7/10]: Avg Total Loss: 11.8808 | Avg PrC Loss: 3.2723 | Avg SnC Loss: 5.9270 | Avg FiC Loss: 2.6479 | Avg CE Loss: 0.0337 | Model Sparsity: 0.7762
Retraining Epoch [8/10]: Avg Total Loss: 11.8717 | Avg PrC Loss: 3.2709 | Avg SnC Loss: 5.9282 | Avg FiC Loss: 2.6397 | Avg CE Loss: 0.0328 | Model Sparsity: 0.7762
Retraining Epoch [9/10]: Avg Total Loss: 11.8708 | Avg PrC Loss: 3.2688 | Avg SnC Loss: 5.9303 | Avg FiC Loss: 2.6380 | Avg CE Loss: 0.0337 | Model Sparsity: 0.7762
Retraining Epoch [10/10]: Avg Total Loss: 11.8648 | Avg PrC Loss: 3.2679 | Avg SnC Loss: 5.9314 | Avg FiC Loss: 2.6321 | Avg CE Loss: 0.0333 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Total Loss: 11.9099 | Avg PrC Loss: 3.2739 | Avg SnC Loss: 5.9361 | Avg FiC Loss: 2.6528 | Avg CE Loss: 0.0471 | Model Sparsity: 0.9266
Retraining Epoch [1/10]: Avg Total Loss: 14.1368 | Avg PrC Loss: 3.2816 | Avg SnC Loss: 8.1987 | Avg FiC Loss: 2.6129 | Avg CE Loss: 0.0436 | Model Sparsity: 0.9266
Retraining Epoch [2/10]: Avg Total Loss: 14.1185 | Avg PrC Loss: 3.2790 | Avg SnC Loss: 8.1949 | Avg FiC Loss: 2.6038 | Avg CE Loss: 0.0408 | Model Sparsity: 0.9266
Retraining Epoch [3/10]: Avg Total Loss: 14.1085 | Avg PrC Loss: 3.2771 | Avg SnC Loss: 8.1936 | Avg FiC Loss: 2.5986 | Avg CE Loss: 0.0392 | Model Sparsity: 0.9266
Retraining Epoch [4/10]: Avg Total Loss: 14.1104 | Avg PrC Loss: 3.2773 | Avg SnC Loss: 8.1950 | Avg FiC Loss: 2.5989 | Avg CE Loss: 0.0392 | Model Sparsity: 0.9266
