Model : resnet101 - Learning Type: fmnist/baseline
Configuration:
model_type: cv
model_name: resnet101
model_task: fmnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 150
pruning_epochs: 150
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: sgd
total_steps: 14850
warmup_steps: 1485
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet101/fmnist/resnet101_fmnist_baseline.pt

Epoch [1/150]: Avg Loss: 1.6616 | Avg Accuracy: 75.74 | Model Sparsity: 0.0
Epoch [2/150]: Avg Loss: 0.5466 | Avg Accuracy: 84.32 | Model Sparsity: 0.0
Epoch [3/150]: Avg Loss: 0.3654 | Avg Accuracy: 87.43 | Model Sparsity: 0.0
Epoch [4/150]: Avg Loss: 0.2915 | Avg Accuracy: 88.71 | Model Sparsity: 0.0
Epoch [5/150]: Avg Loss: 0.2498 | Avg Accuracy: 87.97 | Model Sparsity: 0.0
Epoch [6/150]: Avg Loss: 0.2178 | Avg Accuracy: 84.67 | Model Sparsity: 0.0
Epoch [7/150]: Avg Loss: 0.1955 | Avg Accuracy: 90.64 | Model Sparsity: 0.0
Epoch [8/150]: Avg Loss: 0.1740 | Avg Accuracy: 89.32 | Model Sparsity: 0.0
Epoch [9/150]: Avg Loss: 0.1552 | Avg Accuracy: 90.03 | Model Sparsity: 0.0
Epoch [10/150]: Avg Loss: 0.1474 | Avg Accuracy: 89.77 | Model Sparsity: 0.0
Epoch [11/150]: Avg Loss: 0.1308 | Avg Accuracy: 91.25 | Model Sparsity: 0.0
Epoch [12/150]: Avg Loss: 0.1204 | Avg Accuracy: 91.53 | Model Sparsity: 0.0
Epoch [13/150]: Avg Loss: 0.1110 | Avg Accuracy: 85.48 | Model Sparsity: 0.0
Epoch [14/150]: Avg Loss: 0.1044 | Avg Accuracy: 90.44 | Model Sparsity: 0.0
Epoch [15/150]: Avg Loss: 0.0987 | Avg Accuracy: 90.42 | Model Sparsity: 0.0
Epoch [16/150]: Avg Loss: 0.0908 | Avg Accuracy: 89.88 | Model Sparsity: 0.0
Epoch [17/150]: Avg Loss: 0.0822 | Avg Accuracy: 91.48 | Model Sparsity: 0.0
Epoch [18/150]: Avg Loss: 0.0679 | Avg Accuracy: 90.64 | Model Sparsity: 0.0
Epoch [19/150]: Avg Loss: 0.0618 | Avg Accuracy: 91.42 | Model Sparsity: 0.0
Epoch [20/150]: Avg Loss: 0.0553 | Avg Accuracy: 91.13 | Model Sparsity: 0.0
Epoch [21/150]: Avg Loss: 0.0481 | Avg Accuracy: 92.10 | Model Sparsity: 0.0
Epoch [22/150]: Avg Loss: 0.0417 | Avg Accuracy: 92.31 | Model Sparsity: 0.0
Epoch [23/150]: Avg Loss: 0.0420 | Avg Accuracy: 91.77 | Model Sparsity: 0.0
Epoch [24/150]: Avg Loss: 0.0341 | Avg Accuracy: 90.22 | Model Sparsity: 0.0
Epoch [25/150]: Avg Loss: 0.0359 | Avg Accuracy: 92.27 | Model Sparsity: 0.0
Epoch [26/150]: Avg Loss: 0.0303 | Avg Accuracy: 92.23 | Model Sparsity: 0.0
Epoch [27/150]: Avg Loss: 0.0242 | Avg Accuracy: 92.70 | Model Sparsity: 0.0
Epoch [28/150]: Avg Loss: 0.0254 | Avg Accuracy: 92.15 | Model Sparsity: 0.0
Epoch [29/150]: Avg Loss: 0.0244 | Avg Accuracy: 92.72 | Model Sparsity: 0.0
Epoch [30/150]: Avg Loss: 0.0207 | Avg Accuracy: 92.56 | Model Sparsity: 0.0
Epoch [31/150]: Avg Loss: 0.0206 | Avg Accuracy: 91.62 | Model Sparsity: 0.0
Epoch [32/150]: Avg Loss: 0.0197 | Avg Accuracy: 92.58 | Model Sparsity: 0.0
Epoch [33/150]: Avg Loss: 0.0182 | Avg Accuracy: 92.08 | Model Sparsity: 0.0
Epoch [34/150]: Avg Loss: 0.0169 | Avg Accuracy: 92.37 | Model Sparsity: 0.0
Epoch [35/150]: Avg Loss: 0.0156 | Avg Accuracy: 92.91 | Model Sparsity: 0.0
Epoch [36/150]: Avg Loss: 0.0156 | Avg Accuracy: 92.66 | Model Sparsity: 0.0
Epoch [37/150]: Avg Loss: 0.0129 | Avg Accuracy: 93.06 | Model Sparsity: 0.0
Epoch [38/150]: Avg Loss: 0.0102 | Avg Accuracy: 91.91 | Model Sparsity: 0.0
Epoch [39/150]: Avg Loss: 0.0134 | Avg Accuracy: 93.16 | Model Sparsity: 0.0
Epoch [40/150]: Avg Loss: 0.0087 | Avg Accuracy: 93.15 | Model Sparsity: 0.0
Epoch [41/150]: Avg Loss: 0.0094 | Avg Accuracy: 93.14 | Model Sparsity: 0.0
Epoch [42/150]: Avg Loss: 0.0089 | Avg Accuracy: 92.62 | Model Sparsity: 0.0
Epoch [43/150]: Avg Loss: 0.0095 | Avg Accuracy: 92.59 | Model Sparsity: 0.0
Epoch [44/150]: Avg Loss: 0.0071 | Avg Accuracy: 93.10 | Model Sparsity: 0.0
Epoch [45/150]: Avg Loss: 0.0059 | Avg Accuracy: 92.66 | Model Sparsity: 0.0
Epoch [46/150]: Avg Loss: 0.0074 | Avg Accuracy: 92.61 | Model Sparsity: 0.0
Epoch [47/150]: Avg Loss: 0.0083 | Avg Accuracy: 93.04 | Model Sparsity: 0.0
Epoch [48/150]: Avg Loss: 0.0072 | Avg Accuracy: 92.84 | Model Sparsity: 0.0
Epoch [49/150]: Avg Loss: 0.0058 | Avg Accuracy: 93.08 | Model Sparsity: 0.0
Epoch [50/150]: Avg Loss: 0.0048 | Avg Accuracy: 93.00 | Model Sparsity: 0.0
Epoch [51/150]: Avg Loss: 0.0041 | Avg Accuracy: 92.80 | Model Sparsity: 0.0
Epoch [52/150]: Avg Loss: 0.0032 | Avg Accuracy: 93.11 | Model Sparsity: 0.0
Epoch [53/150]: Avg Loss: 0.0041 | Avg Accuracy: 93.55 | Model Sparsity: 0.0
Epoch [54/150]: Avg Loss: 0.0031 | Avg Accuracy: 93.21 | Model Sparsity: 0.0
Epoch [55/150]: Avg Loss: 0.0034 | Avg Accuracy: 93.41 | Model Sparsity: 0.0
Epoch [56/150]: Avg Loss: 0.0033 | Avg Accuracy: 93.22 | Model Sparsity: 0.0
Epoch [57/150]: Avg Loss: 0.0032 | Avg Accuracy: 93.44 | Model Sparsity: 0.0
Epoch [58/150]: Avg Loss: 0.0029 | Avg Accuracy: 93.00 | Model Sparsity: 0.0
Epoch [59/150]: Avg Loss: 0.0030 | Avg Accuracy: 93.24 | Model Sparsity: 0.0
Epoch [60/150]: Avg Loss: 0.0027 | Avg Accuracy: 93.21 | Model Sparsity: 0.0
Epoch [61/150]: Avg Loss: 0.0038 | Avg Accuracy: 93.32 | Model Sparsity: 0.0
Epoch [62/150]: Avg Loss: 0.0029 | Avg Accuracy: 93.13 | Model Sparsity: 0.0
Epoch [63/150]: Avg Loss: 0.0042 | Avg Accuracy: 93.61 | Model Sparsity: 0.0
Epoch [64/150]: Avg Loss: 0.0035 | Avg Accuracy: 92.59 | Model Sparsity: 0.0
Epoch [65/150]: Avg Loss: 0.0022 | Avg Accuracy: 93.32 | Model Sparsity: 0.0
Epoch [66/150]: Avg Loss: 0.0014 | Avg Accuracy: 93.58 | Model Sparsity: 0.0
Epoch [67/150]: Avg Loss: 0.0020 | Avg Accuracy: 93.36 | Model Sparsity: 0.0
Epoch [68/150]: Avg Loss: 0.0021 | Avg Accuracy: 93.39 | Model Sparsity: 0.0
Epoch [69/150]: Avg Loss: 0.0019 | Avg Accuracy: 93.59 | Model Sparsity: 0.0
Epoch [70/150]: Avg Loss: 0.0016 | Avg Accuracy: 93.59 | Model Sparsity: 0.0
Epoch [71/150]: Avg Loss: 0.0016 | Avg Accuracy: 93.53 | Model Sparsity: 0.0
Epoch [72/150]: Avg Loss: 0.0020 | Avg Accuracy: 93.26 | Model Sparsity: 0.0
Epoch [73/150]: Avg Loss: 0.0014 | Avg Accuracy: 93.77 | Model Sparsity: 0.0
Epoch [74/150]: Avg Loss: 0.0012 | Avg Accuracy: 93.31 | Model Sparsity: 0.0
Epoch [75/150]: Avg Loss: 0.0010 | Avg Accuracy: 93.44 | Model Sparsity: 0.0
Epoch [76/150]: Avg Loss: 0.0008 | Avg Accuracy: 93.54 | Model Sparsity: 0.0
Epoch [77/150]: Avg Loss: 0.0010 | Avg Accuracy: 93.73 | Model Sparsity: 0.0
Epoch [78/150]: Avg Loss: 0.0010 | Avg Accuracy: 93.55 | Model Sparsity: 0.0
