Model : resnet101 - Learning Type: mnist/bacp_pruning/movement_pruning/0.95
Configuration:
model_name: resnet101
model_task: mnist
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 99
val_batches: 17
current_model_path: /dbfs/research/resnet101/mnist/resnet101_mnist_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 7.9512 | Avg PrC Loss: 3.7206 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 4.1663 | Avg CE Loss: 0.0643 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 10.5952 | Avg PrC Loss: 3.5924 | Avg SnC Loss: 3.3981 | Avg FiC Loss: 3.5889 | Avg CE Loss: 0.0158 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 9.7393 | Avg PrC Loss: 3.4676 | Avg SnC Loss: 3.4115 | Avg FiC Loss: 2.8486 | Avg CE Loss: 0.0116 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 9.5845 | Avg PrC Loss: 3.4329 | Avg SnC Loss: 3.4180 | Avg FiC Loss: 2.7263 | Avg CE Loss: 0.0073 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 9.5667 | Avg PrC Loss: 3.4193 | Avg SnC Loss: 3.4234 | Avg FiC Loss: 2.7188 | Avg CE Loss: 0.0051 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 9.5476 | Avg PrC Loss: 3.4042 | Avg SnC Loss: 3.4299 | Avg FiC Loss: 2.7089 | Avg CE Loss: 0.0047 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 9.5025 | Avg PrC Loss: 3.3637 | Avg SnC Loss: 3.4438 | Avg FiC Loss: 2.6904 | Avg CE Loss: 0.0046 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 9.4652 | Avg PrC Loss: 3.3336 | Avg SnC Loss: 3.4551 | Avg FiC Loss: 2.6723 | Avg CE Loss: 0.0042 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 9.4313 | Avg PrC Loss: 3.3090 | Avg SnC Loss: 3.4659 | Avg FiC Loss: 2.6521 | Avg CE Loss: 0.0042 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 9.4018 | Avg PrC Loss: 3.2924 | Avg SnC Loss: 3.4756 | Avg FiC Loss: 2.6296 | Avg CE Loss: 0.0042 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 9.3773 | Avg PrC Loss: 3.2817 | Avg SnC Loss: 3.4836 | Avg FiC Loss: 2.6078 | Avg CE Loss: 0.0041 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 9.3615 | Avg PrC Loss: 3.2750 | Avg SnC Loss: 3.4892 | Avg FiC Loss: 2.5925 | Avg CE Loss: 0.0047 | Model Sparsity: 0.7448
Retraining Epoch [1/10]: Avg Total Loss: 11.6108 | Avg PrC Loss: 3.2759 | Avg SnC Loss: 5.7817 | Avg FiC Loss: 2.5463 | Avg CE Loss: 0.0070 | Model Sparsity: 0.7448
Retraining Epoch [2/10]: Avg Total Loss: 11.5972 | Avg PrC Loss: 3.2718 | Avg SnC Loss: 5.7834 | Avg FiC Loss: 2.5354 | Avg CE Loss: 0.0066 | Model Sparsity: 0.7448
Retraining Epoch [3/10]: Avg Total Loss: 11.5872 | Avg PrC Loss: 3.2666 | Avg SnC Loss: 5.7848 | Avg FiC Loss: 2.5293 | Avg CE Loss: 0.0065 | Model Sparsity: 0.7448
Retraining Epoch [4/10]: Avg Total Loss: 11.5828 | Avg PrC Loss: 3.2650 | Avg SnC Loss: 5.7868 | Avg FiC Loss: 2.5244 | Avg CE Loss: 0.0066 | Model Sparsity: 0.7448
Retraining Epoch [5/10]: Avg Total Loss: 11.5706 | Avg PrC Loss: 3.2603 | Avg SnC Loss: 5.7866 | Avg FiC Loss: 2.5177 | Avg CE Loss: 0.0059 | Model Sparsity: 0.7448
Retraining Epoch [6/10]: Avg Total Loss: 11.5668 | Avg PrC Loss: 3.2581 | Avg SnC Loss: 5.7882 | Avg FiC Loss: 2.5142 | Avg CE Loss: 0.0064 | Model Sparsity: 0.7448
Retraining Epoch [7/10]: Avg Total Loss: 11.5678 | Avg PrC Loss: 3.2585 | Avg SnC Loss: 5.7902 | Avg FiC Loss: 2.5123 | Avg CE Loss: 0.0069 | Model Sparsity: 0.7448
