Model : resnet101 - Learning Type: pruning
Configuration:
model_type: cv
model_name: resnet101
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
use_scheduler: False
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
delta_t: 41
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet101/cifar10/resnet101_magnitude_pruning_0.95.pt
finetuned_weights: /dbfs/research/resnet101/cifar10/resnet101_cifar10_baseline.pt
current_sparsity: 0.0

Epoch [1/5]: Avg Loss: 0.0166 | Avg Accuracy: 26.49 | Model Sparsity: 0.8449
Recovery epoch [1/10]: Avg Loss: 0.2122 | Avg Accuracy: 87.65 | Model Sparsity: 0.8449
Recovery epoch [2/10]: Avg Loss: 0.1248 | Avg Accuracy: 88.09 | Model Sparsity: 0.8449
Recovery epoch [3/10]: Avg Loss: 0.1018 | Avg Accuracy: 87.97 | Model Sparsity: 0.8449
Recovery epoch [4/10]: Avg Loss: 0.0812 | Avg Accuracy: 89.52 | Model Sparsity: 0.8449
Recovery epoch [5/10]: Avg Loss: 0.0690 | Avg Accuracy: 89.02 | Model Sparsity: 0.8449
Recovery epoch [6/10]: Avg Loss: 0.0607 | Avg Accuracy: 89.34 | Model Sparsity: 0.8449
Recovery epoch [7/10]: Avg Loss: 0.0553 | Avg Accuracy: 89.79 | Model Sparsity: 0.8449
Recovery epoch [8/10]: Avg Loss: 0.0506 | Avg Accuracy: 90.37 | Model Sparsity: 0.8449
Recovery epoch [9/10]: Avg Loss: 0.0455 | Avg Accuracy: 90.11 | Model Sparsity: 0.8449
Recovery epoch [10/10]: Avg Loss: 0.0400 | Avg Accuracy: 89.66 | Model Sparsity: 0.8449
Epoch [2/5]: Avg Loss: 0.0905 | Avg Accuracy: 51.66 | Model Sparsity: 0.9384
Recovery epoch [1/10]: Avg Loss: 0.2545 | Avg Accuracy: 88.46 | Model Sparsity: 0.9384
Recovery epoch [2/10]: Avg Loss: 0.1381 | Avg Accuracy: 88.88 | Model Sparsity: 0.9384
Recovery epoch [3/10]: Avg Loss: 0.1141 | Avg Accuracy: 88.77 | Model Sparsity: 0.9384
Recovery epoch [4/10]: Avg Loss: 0.0927 | Avg Accuracy: 89.61 | Model Sparsity: 0.9384
Recovery epoch [5/10]: Avg Loss: 0.0808 | Avg Accuracy: 89.68 | Model Sparsity: 0.9384
Recovery epoch [6/10]: Avg Loss: 0.0724 | Avg Accuracy: 89.73 | Model Sparsity: 0.9384
Recovery epoch [7/10]: Avg Loss: 0.0642 | Avg Accuracy: 90.12 | Model Sparsity: 0.9384
