Model : resnet50 - Learning Type: bacp_finetune
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 0
recovery_epochs: 0
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
prune: False
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
delta_t: 41
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_movement_pruning_0.99_bacp_cm.pt
current_sparsity: 0.9899858115448339

Epoch [1/50]: Avg Loss: 2.1596 | Avg Accuracy: 70.10 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 1.7194 | Avg Accuracy: 72.96 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 1.2384 | Avg Accuracy: 79.02 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 0.8737 | Avg Accuracy: 83.45 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 0.6394 | Avg Accuracy: 85.87 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 0.5065 | Avg Accuracy: 87.12 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 0.4300 | Avg Accuracy: 88.21 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 0.3793 | Avg Accuracy: 88.73 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 0.3492 | Avg Accuracy: 89.43 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 0.3247 | Avg Accuracy: 89.05 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 0.3070 | Avg Accuracy: 89.65 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 0.2933 | Avg Accuracy: 90.00 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 0.2805 | Avg Accuracy: 90.36 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 0.2673 | Avg Accuracy: 90.25 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.2569 | Avg Accuracy: 90.25 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 0.2509 | Avg Accuracy: 90.23 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 0.2455 | Avg Accuracy: 90.53 | Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 0.2383 | Avg Accuracy: 91.06 | Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 0.2331 | Avg Accuracy: 90.95 | Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 0.2261 | Avg Accuracy: 90.75 | Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 0.2225 | Avg Accuracy: 91.39 | Model Sparsity: 0.99
Epoch [22/50]: Avg Loss: 0.2147 | Avg Accuracy: 91.46 | Model Sparsity: 0.99
Epoch [23/50]: Avg Loss: 0.2109 | Avg Accuracy: 90.65 | Model Sparsity: 0.99
Epoch [24/50]: Avg Loss: 0.2081 | Avg Accuracy: 91.09 | Model Sparsity: 0.99
