Model : resnet50 - Learning Type: bacp_finetune
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.001
learning_type: bacp_finetune
optimizer_type: adamw
use_scheduler: False
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
delta_t: 41
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_bacp_finetune_magnitude_pruning_0.92.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_magnitude_pruning_0.95_bacp_cm.pt
current_sparsity: 0.9165750140570964

Epoch [1/50]: Avg Loss: 1.6946 | Avg Accuracy: 44.66 | Model Sparsity: 0.9166
Epoch [2/50]: Avg Loss: 1.2709 | Avg Accuracy: 57.88 | Model Sparsity: 0.9166
Epoch [3/50]: Avg Loss: 1.0723 | Avg Accuracy: 62.90 | Model Sparsity: 0.9166
Epoch [4/50]: Avg Loss: 0.9449 | Avg Accuracy: 64.58 | Model Sparsity: 0.9166
Epoch [5/50]: Avg Loss: 0.8691 | Avg Accuracy: 68.51 | Model Sparsity: 0.9166
Epoch [6/50]: Avg Loss: 0.7884 | Avg Accuracy: 69.80 | Model Sparsity: 0.9166
Epoch [7/50]: Avg Loss: 0.7242 | Avg Accuracy: 71.64 | Model Sparsity: 0.9166
Epoch [8/50]: Avg Loss: 0.6660 | Avg Accuracy: 72.59 | Model Sparsity: 0.9166
Epoch [9/50]: Avg Loss: 0.6227 | Avg Accuracy: 74.48 | Model Sparsity: 0.9166
Epoch [10/50]: Avg Loss: 0.5884 | Avg Accuracy: 76.94 | Model Sparsity: 0.9166
Epoch [11/50]: Avg Loss: 0.5497 | Avg Accuracy: 77.58 | Model Sparsity: 0.9166
Epoch [12/50]: Avg Loss: 0.5137 | Avg Accuracy: 77.47 | Model Sparsity: 0.9166
Epoch [13/50]: Avg Loss: 0.4939 | Avg Accuracy: 79.74 | Model Sparsity: 0.9166
Epoch [14/50]: Avg Loss: 0.4632 | Avg Accuracy: 78.88 | Model Sparsity: 0.9166
Epoch [15/50]: Avg Loss: 0.4415 | Avg Accuracy: 78.86 | Model Sparsity: 0.9166
Epoch [16/50]: Avg Loss: 0.4255 | Avg Accuracy: 79.73 | Model Sparsity: 0.9166
Epoch [17/50]: Avg Loss: 0.4035 | Avg Accuracy: 79.81 | Model Sparsity: 0.9166
Epoch [18/50]: Avg Loss: 0.3941 | Avg Accuracy: 80.45 | Model Sparsity: 0.9166
Epoch [19/50]: Avg Loss: 0.3773 | Avg Accuracy: 80.52 | Model Sparsity: 0.9166
Epoch [20/50]: Avg Loss: 0.3567 | Avg Accuracy: 81.42 | Model Sparsity: 0.9166
Epoch [21/50]: Avg Loss: 0.3492 | Avg Accuracy: 81.82 | Model Sparsity: 0.9166
