Model : resnet50 - Learning Type: bacp_pruning/sparsity_0.95
Configuration:
model_type: cnn
model_name: resnet50
model_task: cifar10
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
pruning_type: magnitude_pruning
target_sparsity: 0.95
n_views: 2
temperature: 0.07
base_temperature: 0.07
num_classes: 10
lambda1: 0.25
lambda2: 0.25
lambda3: 0.25
lambda4: 0.25
embedding_dim: 2048
save_path: {'current_model': '/dbfs/research/resnet50/cifar10/resnet50_magnitude_pruning_0.95_bacp_cm.pt', 'pretrained_model': '/dbfs/research/resnet50/cifar10/resnet50_magnitude_pruning_0.95_bacp_pm.pt', 'finetuned_model': '/dbfs/research/resnet50/cifar10/resnet50_magnitude_pruning_0.95_bacp_fm.pt'}

Epoch [1/5]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: 0.0000 | Avg FiC Loss: nan | Avg CE Loss: 0.5164 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6888 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6897 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6886 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6859 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 11.9007 | Avg PrC Loss: 3.7734 | Avg SnC Loss: 3.4663 | Avg FiC Loss: 3.9816 | Avg CE Loss: 0.6795 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6805 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6790 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6744 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6742 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 11.8942 | Avg PrC Loss: 3.7731 | Avg SnC Loss: 3.4663 | Avg FiC Loss: 3.9830 | Avg CE Loss: 0.6720 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 11.8924 | Avg PrC Loss: 3.7732 | Avg SnC Loss: 3.4663 | Avg FiC Loss: 3.9821 | Avg CE Loss: 0.6709 | Model Sparsity: 0.701
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6788 | Model Sparsity: 0.701
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6773 | Model Sparsity: 0.701
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6757 | Model Sparsity: 0.701
Retraining Epoch [4/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6754 | Model Sparsity: 0.701
Retraining Epoch [5/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6743 | Model Sparsity: 0.701
Retraining Epoch [6/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6700 | Model Sparsity: 0.701
Retraining Epoch [7/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6666 | Model Sparsity: 0.701
Retraining Epoch [8/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6675 | Model Sparsity: 0.701
Retraining Epoch [9/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6646 | Model Sparsity: 0.701
Retraining Epoch [10/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6630 | Model Sparsity: 0.701
Epoch [3/5]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6616 | Model Sparsity: 0.8225
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6584 | Model Sparsity: 0.8225
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6561 | Model Sparsity: 0.8225
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6548 | Model Sparsity: 0.8225
Retraining Epoch [4/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6531 | Model Sparsity: 0.8225
Retraining Epoch [5/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6544 | Model Sparsity: 0.8225
Retraining Epoch [6/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6513 | Model Sparsity: 0.8225
Retraining Epoch [7/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6492 | Model Sparsity: 0.8225
Retraining Epoch [8/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6487 | Model Sparsity: 0.8225
Retraining Epoch [9/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6475 | Model Sparsity: 0.8225
Retraining Epoch [10/10]: Avg Total Loss: 18.7980 | Avg PrC Loss: 3.7735 | Avg SnC Loss: 10.3968 | Avg FiC Loss: 3.9830 | Avg CE Loss: 0.6447 | Model Sparsity: 0.8225
Epoch [4/5]: Avg Total Loss: 18.7981 | Avg PrC Loss: 3.7737 | Avg SnC Loss: 10.3968 | Avg FiC Loss: 3.9824 | Avg CE Loss: 0.6451 | Model Sparsity: 0.8847
Retraining Epoch [1/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6358 | Model Sparsity: 0.8847
Retraining Epoch [2/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6328 | Model Sparsity: 0.8847
Retraining Epoch [3/10]: Avg Total Loss: nan | Avg PrC Loss: nan | Avg SnC Loss: nan | Avg FiC Loss: nan | Avg CE Loss: 0.6345 | Model Sparsity: 0.8847
Retraining Epoch [4/10]: Avg Total Loss: 22.2499 | Avg PrC Loss: 3.7739 | Avg SnC Loss: 13.8621 | Avg FiC Loss: 3.9823 | Avg CE Loss: 0.6316 | Model Sparsity: 0.8847
Retraining Epoch [5/10]: Avg Total Loss: 22.2495 | Avg PrC Loss: 3.7731 | Avg SnC Loss: 13.8621 | Avg FiC Loss: 3.9831 | Avg CE Loss: 0.6313 | Model Sparsity: 0.8847
Retraining Epoch [6/10]: Avg Total Loss: 22.2468 | Avg PrC Loss: 3.7735 | Avg SnC Loss: 13.8621 | Avg FiC Loss: 3.9825 | Avg CE Loss: 0.6288 | Model Sparsity: 0.8847
Retraining Epoch [7/10]: Avg Total Loss: 22.2445 | Avg PrC Loss: 3.7738 | Avg SnC Loss: 13.8621 | Avg FiC Loss: 3.9811 | Avg CE Loss: 0.6275 | Model Sparsity: 0.8847
Retraining Epoch [8/10]: Avg Total Loss: 22.2437 | Avg PrC Loss: 3.7735 | Avg SnC Loss: 13.8621 | Avg FiC Loss: 3.9823 | Avg CE Loss: 0.6258 | Model Sparsity: 0.8847
Retraining Epoch [9/10]: Avg Total Loss: 22.2428 | Avg PrC Loss: 3.7737 | Avg SnC Loss: 13.8621 | Avg FiC Loss: 3.9827 | Avg CE Loss: 0.6244 | Model Sparsity: 0.8847
Retraining Epoch [10/10]: Avg Total Loss: 22.2430 | Avg PrC Loss: 3.7734 | Avg SnC Loss: 13.8621 | Avg FiC Loss: 3.9831 | Avg CE Loss: 0.6244 | Model Sparsity: 0.8847
Epoch [5/5]: Avg Total Loss: 22.2422 | Avg PrC Loss: 3.7739 | Avg SnC Loss: 13.8621 | Avg FiC Loss: 3.9828 | Avg CE Loss: 0.6235 | Model Sparsity: 0.9166
Retraining Epoch [1/10]: Avg Total Loss: 25.7020 | Avg PrC Loss: 3.7741 | Avg SnC Loss: 17.3273 | Avg FiC Loss: 3.9835 | Avg CE Loss: 0.6172 | Model Sparsity: 0.9166
Retraining Epoch [2/10]: Avg Total Loss: 25.6985 | Avg PrC Loss: 3.7735 | Avg SnC Loss: 17.3273 | Avg FiC Loss: 3.9823 | Avg CE Loss: 0.6153 | Model Sparsity: 0.9166
Retraining Epoch [3/10]: Avg Total Loss: 25.6966 | Avg PrC Loss: 3.7731 | Avg SnC Loss: 17.3273 | Avg FiC Loss: 3.9809 | Avg CE Loss: 0.6153 | Model Sparsity: 0.9166
