Model : resnet50 - Learning Type: baseline
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 100
pruning_epochs: 0
recovery_epochs: 0
batch_size: 512
learning_rate: 0.01
learning_type: baseline
prune: False
target_sparsity: 0
sparsity_scheduler: linear
delta_t: 41
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_baseline.pt
current_sparsity: 0.0

Epoch [1/100]: Avg Loss: 1.4489 | Avg Accuracy: 62.51 | Model Sparsity: 0.00
Epoch [2/100]: Avg Loss: 0.7635 | Avg Accuracy: 75.84 | Model Sparsity: 0.00
Epoch [3/100]: Avg Loss: 0.5370 | Avg Accuracy: 79.34 | Model Sparsity: 0.00
Epoch [4/100]: Avg Loss: 0.4200 | Avg Accuracy: 82.60 | Model Sparsity: 0.00
Epoch [5/100]: Avg Loss: 0.3423 | Avg Accuracy: 84.67 | Model Sparsity: 0.00
Epoch [6/100]: Avg Loss: 0.2860 | Avg Accuracy: 85.44 | Model Sparsity: 0.00
Epoch [7/100]: Avg Loss: 0.2378 | Avg Accuracy: 86.79 | Model Sparsity: 0.00
Epoch [8/100]: Avg Loss: 0.2055 | Avg Accuracy: 86.94 | Model Sparsity: 0.00
Epoch [9/100]: Avg Loss: 0.1811 | Avg Accuracy: 87.47 | Model Sparsity: 0.00
Epoch [10/100]: Avg Loss: 0.1592 | Avg Accuracy: 87.65 | Model Sparsity: 0.00
Epoch [11/100]: Avg Loss: 0.1387 | Avg Accuracy: 88.36 | Model Sparsity: 0.00
Epoch [12/100]: Avg Loss: 0.1188 | Avg Accuracy: 87.67 | Model Sparsity: 0.00
Epoch [13/100]: Avg Loss: 0.1099 | Avg Accuracy: 88.57 | Model Sparsity: 0.00
Epoch [14/100]: Avg Loss: 0.0923 | Avg Accuracy: 88.78 | Model Sparsity: 0.00
Epoch [15/100]: Avg Loss: 0.0883 | Avg Accuracy: 89.19 | Model Sparsity: 0.00
Epoch [16/100]: Avg Loss: 0.0789 | Avg Accuracy: 88.92 | Model Sparsity: 0.00
Epoch [17/100]: Avg Loss: 0.0682 | Avg Accuracy: 89.69 | Model Sparsity: 0.00
Epoch [18/100]: Avg Loss: 0.0635 | Avg Accuracy: 89.82 | Model Sparsity: 0.00
Epoch [19/100]: Avg Loss: 0.0560 | Avg Accuracy: 89.86 | Model Sparsity: 0.00
Epoch [20/100]: Avg Loss: 0.0519 | Avg Accuracy: 89.22 | Model Sparsity: 0.00
Epoch [21/100]: Avg Loss: 0.0526 | Avg Accuracy: 89.80 | Model Sparsity: 0.00
Epoch [22/100]: Avg Loss: 0.0493 | Avg Accuracy: 89.52 | Model Sparsity: 0.00
Epoch [23/100]: Avg Loss: 0.0462 | Avg Accuracy: 89.31 | Model Sparsity: 0.00
Epoch [24/100]: Avg Loss: 0.0438 | Avg Accuracy: 89.83 | Model Sparsity: 0.00
Epoch [25/100]: Avg Loss: 0.0411 | Avg Accuracy: 89.87 | Model Sparsity: 0.00
Epoch [26/100]: Avg Loss: 0.0362 | Avg Accuracy: 90.18 | Model Sparsity: 0.00
Epoch [27/100]: Avg Loss: 0.0340 | Avg Accuracy: 90.09 | Model Sparsity: 0.00
Epoch [28/100]: Avg Loss: 0.0350 | Avg Accuracy: 90.08 | Model Sparsity: 0.00
Epoch [29/100]: Avg Loss: 0.0323 | Avg Accuracy: 90.49 | Model Sparsity: 0.00
Epoch [30/100]: Avg Loss: 0.0279 | Avg Accuracy: 89.75 | Model Sparsity: 0.00
Epoch [31/100]: Avg Loss: 0.0257 | Avg Accuracy: 90.53 | Model Sparsity: 0.00
Epoch [32/100]: Avg Loss: 0.0268 | Avg Accuracy: 90.36 | Model Sparsity: 0.00
Epoch [33/100]: Avg Loss: 0.0260 | Avg Accuracy: 89.51 | Model Sparsity: 0.00
Epoch [34/100]: Avg Loss: 0.0239 | Avg Accuracy: 90.88 | Model Sparsity: 0.00
Epoch [35/100]: Avg Loss: 0.0235 | Avg Accuracy: 90.99 | Model Sparsity: 0.00
Epoch [36/100]: Avg Loss: 0.0217 | Avg Accuracy: 90.95 | Model Sparsity: 0.00
Epoch [37/100]: Avg Loss: 0.0211 | Avg Accuracy: 90.18 | Model Sparsity: 0.00
Epoch [38/100]: Avg Loss: 0.0227 | Avg Accuracy: 91.00 | Model Sparsity: 0.00
Epoch [39/100]: Avg Loss: 0.0225 | Avg Accuracy: 90.04 | Model Sparsity: 0.00
