Model : resnet50 - Learning Type: cifar10/bacp_finetune/wanda_pruning/0.99
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: wanda_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_wanda_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_cifar10_wanda_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 1.7758 | Avg Accuracy: 78.57 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 1.0505 | Avg Accuracy: 82.41 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 0.7218 | Avg Accuracy: 85.27 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 0.5635 | Avg Accuracy: 86.10 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 0.4748 | Avg Accuracy: 87.08 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 0.4193 | Avg Accuracy: 87.68 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 0.3862 | Avg Accuracy: 88.36 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 0.3602 | Avg Accuracy: 88.42 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 0.3415 | Avg Accuracy: 88.46 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 0.3256 | Avg Accuracy: 88.84 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 0.3124 | Avg Accuracy: 88.73 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 0.3028 | Avg Accuracy: 88.84 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 0.2945 | Avg Accuracy: 88.83 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 0.2840 | Avg Accuracy: 89.19 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.2784 | Avg Accuracy: 89.03 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 0.2708 | Avg Accuracy: 89.43 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 0.2642 | Avg Accuracy: 89.55 | Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 0.2621 | Avg Accuracy: 89.52 | Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 0.2570 | Avg Accuracy: 89.59 | Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 0.2529 | Avg Accuracy: 89.70 | Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 0.2472 | Avg Accuracy: 89.37 | Model Sparsity: 0.99
Epoch [22/50]: Avg Loss: 0.2470 | Avg Accuracy: 89.66 | Model Sparsity: 0.99
Epoch [23/50]: Avg Loss: 0.2421 | Avg Accuracy: 90.33 | Model Sparsity: 0.99
Epoch [24/50]: Avg Loss: 0.2371 | Avg Accuracy: 89.96 | Model Sparsity: 0.99
Epoch [25/50]: Avg Loss: 0.2351 | Avg Accuracy: 89.87 | Model Sparsity: 0.99
Epoch [26/50]: Avg Loss: 0.2275 | Avg Accuracy: 90.22 | Model Sparsity: 0.99
Epoch [27/50]: Avg Loss: 0.2264 | Avg Accuracy: 89.90 | Model Sparsity: 0.99
Epoch [28/50]: Avg Loss: 0.2230 | Avg Accuracy: 90.28 | Model Sparsity: 0.99
Epoch [29/50]: Avg Loss: 0.2183 | Avg Accuracy: 90.11 | Model Sparsity: 0.99
Epoch [30/50]: Avg Loss: 0.2180 | Avg Accuracy: 89.94 | Model Sparsity: 0.99
Epoch [31/50]: Avg Loss: 0.2158 | Avg Accuracy: 90.81 | Model Sparsity: 0.99
Epoch [32/50]: Avg Loss: 0.2086 | Avg Accuracy: 90.12 | Model Sparsity: 0.99
Epoch [33/50]: Avg Loss: 0.2110 | Avg Accuracy: 90.39 | Model Sparsity: 0.99
Epoch [34/50]: Avg Loss: 0.2061 | Avg Accuracy: 90.36 | Model Sparsity: 0.99
Epoch [35/50]: Avg Loss: 0.2031 | Avg Accuracy: 90.43 | Model Sparsity: 0.99
Epoch [36/50]: Avg Loss: 0.2024 | Avg Accuracy: 90.37 | Model Sparsity: 0.99
Epoch [37/50]: Avg Loss: 0.1995 | Avg Accuracy: 90.16 | Model Sparsity: 0.99
Epoch [38/50]: Avg Loss: 0.1960 | Avg Accuracy: 90.62 | Model Sparsity: 0.99
Epoch [39/50]: Avg Loss: 0.1935 | Avg Accuracy: 90.40 | Model Sparsity: 0.99
Epoch [40/50]: Avg Loss: 0.1937 | Avg Accuracy: 90.25 | Model Sparsity: 0.99
Epoch [41/50]: Avg Loss: 0.1904 | Avg Accuracy: 90.39 | Model Sparsity: 0.99
Epoch [42/50]: Avg Loss: 0.1864 | Avg Accuracy: 90.28 | Model Sparsity: 0.99
Epoch [43/50]: Avg Loss: 0.1846 | Avg Accuracy: 90.26 | Model Sparsity: 0.99
Epoch [44/50]: Avg Loss: 0.1834 | Avg Accuracy: 90.43 | Model Sparsity: 0.99
Epoch [45/50]: Avg Loss: 0.1819 | Avg Accuracy: 90.46 | Model Sparsity: 0.99
Epoch [46/50]: Avg Loss: 0.1777 | Avg Accuracy: 90.40 | Model Sparsity: 0.99
Epoch [47/50]: Avg Loss: 0.1773 | Avg Accuracy: 90.65 | Model Sparsity: 0.99
Epoch [48/50]: Avg Loss: 0.1714 | Avg Accuracy: 90.42 | Model Sparsity: 0.99
Epoch [49/50]: Avg Loss: 0.1743 | Avg Accuracy: 90.37 | Model Sparsity: 0.99
Epoch [50/50]: Avg Loss: 0.1709 | Avg Accuracy: 90.16 | Model Sparsity: 0.99
