Model : resnet50 - Learning Type: cifar10/bacp_pruning/movement_pruning/0.95
Configuration:
model_name: resnet50
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 8.2063 | Avg PrC Loss: 3.8171 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.9887 | Avg CE Loss: 0.4005 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 11.2754 | Avg PrC Loss: 3.7562 | Avg SnC Loss: 3.4604 | Avg FiC Loss: 3.8411 | Avg CE Loss: 0.2177 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 10.8231 | Avg PrC Loss: 3.6598 | Avg SnC Loss: 3.4769 | Avg FiC Loss: 3.5135 | Avg CE Loss: 0.1729 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 10.3390 | Avg PrC Loss: 3.5451 | Avg SnC Loss: 3.5200 | Avg FiC Loss: 3.1232 | Avg CE Loss: 0.1507 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 10.1175 | Avg PrC Loss: 3.4786 | Avg SnC Loss: 3.5457 | Avg FiC Loss: 2.9668 | Avg CE Loss: 0.1263 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 9.9990 | Avg PrC Loss: 3.4298 | Avg SnC Loss: 3.5634 | Avg FiC Loss: 2.9024 | Avg CE Loss: 0.1034 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 9.8916 | Avg PrC Loss: 3.3641 | Avg SnC Loss: 3.5884 | Avg FiC Loss: 2.8469 | Avg CE Loss: 0.0922 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 9.7945 | Avg PrC Loss: 3.3125 | Avg SnC Loss: 3.6102 | Avg FiC Loss: 2.7890 | Avg CE Loss: 0.0828 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 9.7258 | Avg PrC Loss: 3.2772 | Avg SnC Loss: 3.6288 | Avg FiC Loss: 2.7409 | Avg CE Loss: 0.0789 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 9.6676 | Avg PrC Loss: 3.2521 | Avg SnC Loss: 3.6410 | Avg FiC Loss: 2.7017 | Avg CE Loss: 0.0728 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 9.6318 | Avg PrC Loss: 3.2344 | Avg SnC Loss: 3.6496 | Avg FiC Loss: 2.6785 | Avg CE Loss: 0.0693 | Model Sparsity: 0.4636
