Model : resnet50 - Learning Type: cifar10/pruning/wanda_pruning/0.99
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: wanda_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_wanda_pruning_0.99_pruning.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 0.0796 | Avg Accuracy: 97.03 | Model Sparsity: 0.4831
Recovery epoch [1/10]: Avg Loss: 0.0596 | Avg Accuracy: 97.66 | Model Sparsity: 0.4831
Recovery epoch [2/10]: Avg Loss: 0.0464 | Avg Accuracy: 96.99 | Model Sparsity: 0.4831
Recovery epoch [3/10]: Avg Loss: 0.0432 | Avg Accuracy: 97.24 | Model Sparsity: 0.4831
Recovery epoch [4/10]: Avg Loss: 0.0367 | Avg Accuracy: 97.50 | Model Sparsity: 0.4831
Recovery epoch [5/10]: Avg Loss: 0.0333 | Avg Accuracy: 97.25 | Model Sparsity: 0.4831
Recovery epoch [6/10]: Avg Loss: 0.0287 | Avg Accuracy: 96.79 | Model Sparsity: 0.4831
Recovery epoch [7/10]: Avg Loss: 0.0331 | Avg Accuracy: 96.12 | Model Sparsity: 0.4831
Recovery epoch [8/10]: Avg Loss: 0.0320 | Avg Accuracy: 96.21 | Model Sparsity: 0.4831
Recovery epoch [9/10]: Avg Loss: 0.0302 | Avg Accuracy: 95.87 | Model Sparsity: 0.4831
Recovery epoch [10/10]: Avg Loss: 0.0302 | Avg Accuracy: 96.57 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Loss: 0.2136 | Avg Accuracy: 92.72 | Model Sparsity: 0.7762
Recovery epoch [1/10]: Avg Loss: 0.0981 | Avg Accuracy: 93.04 | Model Sparsity: 0.7762
Recovery epoch [2/10]: Avg Loss: 0.0804 | Avg Accuracy: 93.25 | Model Sparsity: 0.7762
Recovery epoch [3/10]: Avg Loss: 0.0676 | Avg Accuracy: 93.43 | Model Sparsity: 0.7762
Recovery epoch [4/10]: Avg Loss: 0.0623 | Avg Accuracy: 93.71 | Model Sparsity: 0.7762
Recovery epoch [5/10]: Avg Loss: 0.0553 | Avg Accuracy: 94.11 | Model Sparsity: 0.7762
Recovery epoch [6/10]: Avg Loss: 0.0509 | Avg Accuracy: 93.48 | Model Sparsity: 0.7762
Recovery epoch [7/10]: Avg Loss: 0.0473 | Avg Accuracy: 94.08 | Model Sparsity: 0.7762
Recovery epoch [8/10]: Avg Loss: 0.0433 | Avg Accuracy: 94.48 | Model Sparsity: 0.7762
Recovery epoch [9/10]: Avg Loss: 0.0374 | Avg Accuracy: 93.57 | Model Sparsity: 0.7762
Recovery epoch [10/10]: Avg Loss: 0.0377 | Avg Accuracy: 93.96 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Loss: 0.7012 | Avg Accuracy: 85.62 | Model Sparsity: 0.9266
Recovery epoch [1/10]: Avg Loss: 0.2854 | Avg Accuracy: 87.33 | Model Sparsity: 0.9266
Recovery epoch [2/10]: Avg Loss: 0.2216 | Avg Accuracy: 89.54 | Model Sparsity: 0.9266
Recovery epoch [3/10]: Avg Loss: 0.1860 | Avg Accuracy: 88.67 | Model Sparsity: 0.9266
Recovery epoch [4/10]: Avg Loss: 0.1703 | Avg Accuracy: 88.78 | Model Sparsity: 0.9266
Recovery epoch [5/10]: Avg Loss: 0.1513 | Avg Accuracy: 90.50 | Model Sparsity: 0.9266
Recovery epoch [6/10]: Avg Loss: 0.1341 | Avg Accuracy: 89.94 | Model Sparsity: 0.9266
Recovery epoch [7/10]: Avg Loss: 0.1261 | Avg Accuracy: 90.25 | Model Sparsity: 0.9266
Recovery epoch [8/10]: Avg Loss: 0.1174 | Avg Accuracy: 90.12 | Model Sparsity: 0.9266
Recovery epoch [9/10]: Avg Loss: 0.1113 | Avg Accuracy: 90.79 | Model Sparsity: 0.9266
Recovery epoch [10/10]: Avg Loss: 0.1032 | Avg Accuracy: 90.21 | Model Sparsity: 0.9266
Epoch [4/5]: Avg Loss: 1.2427 | Avg Accuracy: 71.99 | Model Sparsity: 0.9821
Recovery epoch [1/10]: Avg Loss: 0.6956 | Avg Accuracy: 78.43 | Model Sparsity: 0.9821
Recovery epoch [2/10]: Avg Loss: 0.5243 | Avg Accuracy: 81.12 | Model Sparsity: 0.9821
Recovery epoch [3/10]: Avg Loss: 0.4424 | Avg Accuracy: 82.06 | Model Sparsity: 0.9821
Recovery epoch [4/10]: Avg Loss: 0.3909 | Avg Accuracy: 84.07 | Model Sparsity: 0.9821
Recovery epoch [5/10]: Avg Loss: 0.3600 | Avg Accuracy: 84.60 | Model Sparsity: 0.9821
Recovery epoch [6/10]: Avg Loss: 0.3327 | Avg Accuracy: 85.56 | Model Sparsity: 0.9821
Recovery epoch [7/10]: Avg Loss: 0.3138 | Avg Accuracy: 82.59 | Model Sparsity: 0.9821
Recovery epoch [8/10]: Avg Loss: 0.2986 | Avg Accuracy: 85.83 | Model Sparsity: 0.9821
Recovery epoch [9/10]: Avg Loss: 0.2832 | Avg Accuracy: 84.93 | Model Sparsity: 0.9821
Recovery epoch [10/10]: Avg Loss: 0.2667 | Avg Accuracy: 86.02 | Model Sparsity: 0.9821
Epoch [5/5]: Avg Loss: 0.5119 | Avg Accuracy: 81.26 | Model Sparsity: 0.99
Recovery epoch [1/10]: Avg Loss: 0.3663 | Avg Accuracy: 84.54 | Model Sparsity: 0.99
Recovery epoch [2/10]: Avg Loss: 0.3389 | Avg Accuracy: 84.35 | Model Sparsity: 0.99
Recovery epoch [3/10]: Avg Loss: 0.3166 | Avg Accuracy: 84.93 | Model Sparsity: 0.99
Recovery epoch [4/10]: Avg Loss: 0.3005 | Avg Accuracy: 85.92 | Model Sparsity: 0.99
Recovery epoch [5/10]: Avg Loss: 0.2860 | Avg Accuracy: 84.63 | Model Sparsity: 0.99
Recovery epoch [6/10]: Avg Loss: 0.2851 | Avg Accuracy: 85.21 | Model Sparsity: 0.99
Recovery epoch [7/10]: Avg Loss: 0.2696 | Avg Accuracy: 85.28 | Model Sparsity: 0.99
Recovery epoch [8/10]: Avg Loss: 0.2657 | Avg Accuracy: 85.60 | Model Sparsity: 0.99
Recovery epoch [9/10]: Avg Loss: 0.2587 | Avg Accuracy: 84.46 | Model Sparsity: 0.99
Recovery epoch [10/10]: Avg Loss: 0.2504 | Avg Accuracy: 86.47 | Model Sparsity: 0.99
