Model : resnet50 - Learning Type: cifar100/bacp_finetune/magnitude_pruning/0.99
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar100/resnet50_cifar100_magnitude_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet50/cifar100/resnet50_cifar100_magnitude_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 3.4558 | Avg Accuracy: 49.33 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 2.0882 | Avg Accuracy: 56.79 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 1.6344 | Avg Accuracy: 59.56 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 1.4339 | Avg Accuracy: 61.57 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 1.3215 | Avg Accuracy: 63.27 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 1.2507 | Avg Accuracy: 63.59 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 1.1963 | Avg Accuracy: 64.68 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 1.1512 | Avg Accuracy: 64.96 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 1.1205 | Avg Accuracy: 66.41 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 1.0875 | Avg Accuracy: 65.33 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 1.0615 | Avg Accuracy: 65.82 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 1.0403 | Avg Accuracy: 66.13 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 1.0175 | Avg Accuracy: 67.15 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 1.0000 | Avg Accuracy: 67.15 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.9837 | Avg Accuracy: 66.71 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 0.9640 | Avg Accuracy: 67.17 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 0.9531 | Avg Accuracy: 67.22 | Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 0.9367 | Avg Accuracy: 67.15 | Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 0.9179 | Avg Accuracy: 67.23 | Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 0.9045 | Avg Accuracy: 67.55 | Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 0.8943 | Avg Accuracy: 68.33 | Model Sparsity: 0.99
Epoch [22/50]: Avg Loss: 0.8810 | Avg Accuracy: 67.56 | Model Sparsity: 0.99
Epoch [23/50]: Avg Loss: 0.8715 | Avg Accuracy: 68.01 | Model Sparsity: 0.99
Epoch [24/50]: Avg Loss: 0.8545 | Avg Accuracy: 68.53 | Model Sparsity: 0.99
Epoch [25/50]: Avg Loss: 0.8507 | Avg Accuracy: 68.76 | Model Sparsity: 0.99
Epoch [26/50]: Avg Loss: 0.8355 | Avg Accuracy: 67.68 | Model Sparsity: 0.99
Epoch [27/50]: Avg Loss: 0.8303 | Avg Accuracy: 68.89 | Model Sparsity: 0.99
Epoch [28/50]: Avg Loss: 0.8192 | Avg Accuracy: 68.46 | Model Sparsity: 0.99
Epoch [29/50]: Avg Loss: 0.8098 | Avg Accuracy: 68.36 | Model Sparsity: 0.99
Epoch [30/50]: Avg Loss: 0.8020 | Avg Accuracy: 68.89 | Model Sparsity: 0.99
Epoch [31/50]: Avg Loss: 0.7914 | Avg Accuracy: 68.40 | Model Sparsity: 0.99
Epoch [32/50]: Avg Loss: 0.7840 | Avg Accuracy: 68.93 | Model Sparsity: 0.99
Epoch [33/50]: Avg Loss: 0.7785 | Avg Accuracy: 68.46 | Model Sparsity: 0.99
Epoch [34/50]: Avg Loss: 0.7658 | Avg Accuracy: 68.78 | Model Sparsity: 0.99
Epoch [35/50]: Avg Loss: 0.7637 | Avg Accuracy: 69.38 | Model Sparsity: 0.99
Epoch [36/50]: Avg Loss: 0.7469 | Avg Accuracy: 68.97 | Model Sparsity: 0.99
Epoch [37/50]: Avg Loss: 0.7429 | Avg Accuracy: 68.81 | Model Sparsity: 0.99
Epoch [38/50]: Avg Loss: 0.7358 | Avg Accuracy: 68.81 | Model Sparsity: 0.99
Epoch [39/50]: Avg Loss: 0.7279 | Avg Accuracy: 69.02 | Model Sparsity: 0.99
Epoch [40/50]: Avg Loss: 0.7199 | Avg Accuracy: 68.99 | Model Sparsity: 0.99
Epoch [41/50]: Avg Loss: 0.7104 | Avg Accuracy: 68.54 | Model Sparsity: 0.99
Epoch [42/50]: Avg Loss: 0.7082 | Avg Accuracy: 69.64 | Model Sparsity: 0.99
Epoch [43/50]: Avg Loss: 0.6975 | Avg Accuracy: 68.53 | Model Sparsity: 0.99
Epoch [44/50]: Avg Loss: 0.6954 | Avg Accuracy: 68.54 | Model Sparsity: 0.99
Epoch [45/50]: Avg Loss: 0.6907 | Avg Accuracy: 69.28 | Model Sparsity: 0.99
Epoch [46/50]: Avg Loss: 0.6769 | Avg Accuracy: 69.10 | Model Sparsity: 0.99
Epoch [47/50]: Avg Loss: 0.6725 | Avg Accuracy: 69.18 | Model Sparsity: 0.99
Epoch [48/50]: Avg Loss: 0.6679 | Avg Accuracy: 68.43 | Model Sparsity: 0.99
Epoch [49/50]: Avg Loss: 0.6619 | Avg Accuracy: 69.25 | Model Sparsity: 0.99
