Model : resnet50 - Learning Type: cifar100/bacp_pruning/wanda_pruning/0.95
Configuration:
model_name: resnet50
model_task: cifar100
model_type: cv
num_classes: 100
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: wanda_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet50/cifar100/resnet50_cifar100_wanda_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 8.3686 | Avg PrC Loss: 3.5988 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.6484 | Avg CE Loss: 1.1213 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 8.2254 | Avg PrC Loss: 3.5903 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.6392 | Avg CE Loss: 0.9958 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 8.0523 | Avg PrC Loss: 3.5671 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.5940 | Avg CE Loss: 0.8912 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 7.7856 | Avg PrC Loss: 3.5158 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.4536 | Avg CE Loss: 0.8162 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 7.5968 | Avg PrC Loss: 3.4874 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.3482 | Avg CE Loss: 0.7612 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 7.5045 | Avg PrC Loss: 3.4794 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.3083 | Avg CE Loss: 0.7168 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 7.4606 | Avg PrC Loss: 3.4768 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2930 | Avg CE Loss: 0.6908 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 7.4270 | Avg PrC Loss: 3.4742 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2803 | Avg CE Loss: 0.6724 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 7.4058 | Avg PrC Loss: 3.4719 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2751 | Avg CE Loss: 0.6588 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 7.3881 | Avg PrC Loss: 3.4738 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2688 | Avg CE Loss: 0.6455 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 7.3690 | Avg PrC Loss: 3.4707 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2633 | Avg CE Loss: 0.6349 | Model Sparsity: 0.4636
