Model : resnet50 - Learning Type: cifar100/baseline
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 100
pruning_epochs: 100
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: sgd
total_steps: 8300
warmup_steps: 830
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar100/resnet50_cifar100_baseline.pt

Epoch [1/100]: Avg Loss: 4.6475 | Avg Accuracy: 2.19 | Model Sparsity: 0.0
Epoch [2/100]: Avg Loss: 4.3663 | Avg Accuracy: 10.24 | Model Sparsity: 0.0
Epoch [3/100]: Avg Loss: 3.7208 | Avg Accuracy: 20.68 | Model Sparsity: 0.0
Epoch [4/100]: Avg Loss: 2.9685 | Avg Accuracy: 32.70 | Model Sparsity: 0.0
Epoch [5/100]: Avg Loss: 2.3126 | Avg Accuracy: 42.17 | Model Sparsity: 0.0
Epoch [6/100]: Avg Loss: 1.8234 | Avg Accuracy: 47.68 | Model Sparsity: 0.0
Epoch [7/100]: Avg Loss: 1.4665 | Avg Accuracy: 56.26 | Model Sparsity: 0.0
Epoch [8/100]: Avg Loss: 1.2199 | Avg Accuracy: 59.39 | Model Sparsity: 0.0
Epoch [9/100]: Avg Loss: 1.0392 | Avg Accuracy: 61.75 | Model Sparsity: 0.0
Epoch [10/100]: Avg Loss: 0.8876 | Avg Accuracy: 63.92 | Model Sparsity: 0.0
Epoch [11/100]: Avg Loss: 0.7590 | Avg Accuracy: 64.93 | Model Sparsity: 0.0
Epoch [12/100]: Avg Loss: 0.6426 | Avg Accuracy: 65.83 | Model Sparsity: 0.0
Epoch [13/100]: Avg Loss: 0.5405 | Avg Accuracy: 67.27 | Model Sparsity: 0.0
Epoch [14/100]: Avg Loss: 0.4576 | Avg Accuracy: 66.48 | Model Sparsity: 0.0
Epoch [15/100]: Avg Loss: 0.3912 | Avg Accuracy: 67.51 | Model Sparsity: 0.0
Epoch [16/100]: Avg Loss: 0.3279 | Avg Accuracy: 68.43 | Model Sparsity: 0.0
Epoch [17/100]: Avg Loss: 0.2771 | Avg Accuracy: 69.02 | Model Sparsity: 0.0
Epoch [18/100]: Avg Loss: 0.2414 | Avg Accuracy: 67.84 | Model Sparsity: 0.0
Epoch [19/100]: Avg Loss: 0.2003 | Avg Accuracy: 69.03 | Model Sparsity: 0.0
Epoch [20/100]: Avg Loss: 0.1742 | Avg Accuracy: 68.97 | Model Sparsity: 0.0
