Model : resnet50 - Learning Type: emnist/bacp_finetune/movement_pruning/0.97
Configuration:
model_type: cv
model_name: resnet50
model_task: emnist
num_classes: 47
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/emnist/resnet50_emnist_movement_pruning_0.97_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet50/emnist/resnet50_emnist_movement_pruning_0.97_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.9321 | Avg Accuracy: 91.40 | Model Sparsity: 0.97
Epoch [2/50]: Avg Loss: 0.2285 | Avg Accuracy: 91.92 | Model Sparsity: 0.97
Epoch [3/50]: Avg Loss: 0.2010 | Avg Accuracy: 91.71 | Model Sparsity: 0.97
Epoch [4/50]: Avg Loss: 0.1864 | Avg Accuracy: 91.81 | Model Sparsity: 0.97
Epoch [5/50]: Avg Loss: 0.1775 | Avg Accuracy: 91.80 | Model Sparsity: 0.97
Epoch [6/50]: Avg Loss: 0.1690 | Avg Accuracy: 91.97 | Model Sparsity: 0.97
Epoch [7/50]: Avg Loss: 0.1626 | Avg Accuracy: 91.63 | Model Sparsity: 0.97
Epoch [8/50]: Avg Loss: 0.1559 | Avg Accuracy: 91.89 | Model Sparsity: 0.97
Epoch [9/50]: Avg Loss: 0.1488 | Avg Accuracy: 91.82 | Model Sparsity: 0.97
Epoch [10/50]: Avg Loss: 0.1428 | Avg Accuracy: 91.61 | Model Sparsity: 0.97
Epoch [11/50]: Avg Loss: 0.1368 | Avg Accuracy: 91.54 | Model Sparsity: 0.97
Epoch [12/50]: Avg Loss: 0.1319 | Avg Accuracy: 91.50 | Model Sparsity: 0.97
Epoch [13/50]: Avg Loss: 0.1264 | Avg Accuracy: 91.19 | Model Sparsity: 0.97
Epoch [14/50]: Avg Loss: 0.1216 | Avg Accuracy: 91.55 | Model Sparsity: 0.97
Epoch [15/50]: Avg Loss: 0.1170 | Avg Accuracy: 91.46 | Model Sparsity: 0.97
Epoch [16/50]: Avg Loss: 0.1129 | Avg Accuracy: 91.22 | Model Sparsity: 0.97
Epoch [17/50]: Avg Loss: 0.1079 | Avg Accuracy: 91.19 | Model Sparsity: 0.97
Epoch [18/50]: Avg Loss: 0.1051 | Avg Accuracy: 91.26 | Model Sparsity: 0.97
Epoch [19/50]: Avg Loss: 0.1001 | Avg Accuracy: 91.08 | Model Sparsity: 0.97
Epoch [20/50]: Avg Loss: 0.0965 | Avg Accuracy: 90.87 | Model Sparsity: 0.97
Epoch [21/50]: Avg Loss: 0.0939 | Avg Accuracy: 90.88 | Model Sparsity: 0.97
Epoch [22/50]: Avg Loss: 0.0912 | Avg Accuracy: 90.87 | Model Sparsity: 0.97
Epoch [23/50]: Avg Loss: 0.0871 | Avg Accuracy: 91.10 | Model Sparsity: 0.97
Epoch [24/50]: Avg Loss: 0.0857 | Avg Accuracy: 90.80 | Model Sparsity: 0.97
Epoch [25/50]: Avg Loss: 0.0824 | Avg Accuracy: 90.93 | Model Sparsity: 0.97
Epoch [26/50]: Avg Loss: 0.0793 | Avg Accuracy: 90.64 | Model Sparsity: 0.97
