Model : resnet50 - Learning Type: emnist/bacp_pruning/movement_pruning/0.99
Configuration:
model_name: resnet50
model_task: emnist
model_type: cv
num_classes: 47
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 187
val_batches: 33
current_model_path: /dbfs/research/resnet50/emnist/resnet50_emnist_movement_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 7.9075 | Avg PrC Loss: 3.6556 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 4.0511 | Avg CE Loss: 0.2007 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 10.2827 | Avg PrC Loss: 3.4526 | Avg SnC Loss: 3.4515 | Avg FiC Loss: 3.2860 | Avg CE Loss: 0.0926 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 9.0430 | Avg PrC Loss: 3.2786 | Avg SnC Loss: 3.5157 | Avg FiC Loss: 2.1634 | Avg CE Loss: 0.0853 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 8.9449 | Avg PrC Loss: 3.2455 | Avg SnC Loss: 3.5298 | Avg FiC Loss: 2.0950 | Avg CE Loss: 0.0746 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 8.9025 | Avg PrC Loss: 3.2235 | Avg SnC Loss: 3.5408 | Avg FiC Loss: 2.0676 | Avg CE Loss: 0.0705 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 8.8761 | Avg PrC Loss: 3.2099 | Avg SnC Loss: 3.5488 | Avg FiC Loss: 2.0488 | Avg CE Loss: 0.0686 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 8.8603 | Avg PrC Loss: 3.2007 | Avg SnC Loss: 3.5545 | Avg FiC Loss: 2.0361 | Avg CE Loss: 0.0690 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 8.8458 | Avg PrC Loss: 3.1938 | Avg SnC Loss: 3.5587 | Avg FiC Loss: 2.0248 | Avg CE Loss: 0.0685 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 8.8415 | Avg PrC Loss: 3.1912 | Avg SnC Loss: 3.5616 | Avg FiC Loss: 2.0189 | Avg CE Loss: 0.0697 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 8.8346 | Avg PrC Loss: 3.1871 | Avg SnC Loss: 3.5638 | Avg FiC Loss: 2.0137 | Avg CE Loss: 0.0700 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 8.8351 | Avg PrC Loss: 3.1864 | Avg SnC Loss: 3.5652 | Avg FiC Loss: 2.0119 | Avg CE Loss: 0.0716 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 8.8480 | Avg PrC Loss: 3.1870 | Avg SnC Loss: 3.5640 | Avg FiC Loss: 2.0176 | Avg CE Loss: 0.0794 | Model Sparsity: 0.7762
Retraining Epoch [1/10]: Avg Total Loss: 10.6204 | Avg PrC Loss: 3.2102 | Avg SnC Loss: 5.3652 | Avg FiC Loss: 1.9635 | Avg CE Loss: 0.0815 | Model Sparsity: 0.7762
Retraining Epoch [2/10]: Avg Total Loss: 10.6062 | Avg PrC Loss: 3.2074 | Avg SnC Loss: 5.3624 | Avg FiC Loss: 1.9565 | Avg CE Loss: 0.0799 | Model Sparsity: 0.7762
Retraining Epoch [3/10]: Avg Total Loss: 10.5921 | Avg PrC Loss: 3.2046 | Avg SnC Loss: 5.3596 | Avg FiC Loss: 1.9507 | Avg CE Loss: 0.0773 | Model Sparsity: 0.7762
Retraining Epoch [4/10]: Avg Total Loss: 10.5820 | Avg PrC Loss: 3.2028 | Avg SnC Loss: 5.3577 | Avg FiC Loss: 1.9461 | Avg CE Loss: 0.0754 | Model Sparsity: 0.7762
Retraining Epoch [5/10]: Avg Total Loss: 10.5757 | Avg PrC Loss: 3.2016 | Avg SnC Loss: 5.3569 | Avg FiC Loss: 1.9430 | Avg CE Loss: 0.0742 | Model Sparsity: 0.7762
Retraining Epoch [6/10]: Avg Total Loss: 10.5734 | Avg PrC Loss: 3.2006 | Avg SnC Loss: 5.3568 | Avg FiC Loss: 1.9418 | Avg CE Loss: 0.0742 | Model Sparsity: 0.7762
Retraining Epoch [7/10]: Avg Total Loss: 10.5696 | Avg PrC Loss: 3.2004 | Avg SnC Loss: 5.3561 | Avg FiC Loss: 1.9399 | Avg CE Loss: 0.0732 | Model Sparsity: 0.7762
Retraining Epoch [8/10]: Avg Total Loss: 10.5698 | Avg PrC Loss: 3.1995 | Avg SnC Loss: 5.3566 | Avg FiC Loss: 1.9399 | Avg CE Loss: 0.0739 | Model Sparsity: 0.7762
Retraining Epoch [9/10]: Avg Total Loss: 10.5645 | Avg PrC Loss: 3.1990 | Avg SnC Loss: 5.3551 | Avg FiC Loss: 1.9375 | Avg CE Loss: 0.0728 | Model Sparsity: 0.7762
Retraining Epoch [10/10]: Avg Total Loss: 10.5687 | Avg PrC Loss: 3.1988 | Avg SnC Loss: 5.3568 | Avg FiC Loss: 1.9395 | Avg CE Loss: 0.0735 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Total Loss: 10.6321 | Avg PrC Loss: 3.2065 | Avg SnC Loss: 5.3644 | Avg FiC Loss: 1.9600 | Avg CE Loss: 0.1011 | Model Sparsity: 0.9266
Retraining Epoch [1/10]: Avg Total Loss: 12.2859 | Avg PrC Loss: 3.2245 | Avg SnC Loss: 7.0484 | Avg FiC Loss: 1.9238 | Avg CE Loss: 0.0892 | Model Sparsity: 0.9266
Retraining Epoch [2/10]: Avg Total Loss: 12.2604 | Avg PrC Loss: 3.2228 | Avg SnC Loss: 7.0382 | Avg FiC Loss: 1.9158 | Avg CE Loss: 0.0836 | Model Sparsity: 0.9266
Retraining Epoch [3/10]: Avg Total Loss: 12.2373 | Avg PrC Loss: 3.2197 | Avg SnC Loss: 7.0293 | Avg FiC Loss: 1.9086 | Avg CE Loss: 0.0796 | Model Sparsity: 0.9266
Retraining Epoch [4/10]: Avg Total Loss: 12.2287 | Avg PrC Loss: 3.2192 | Avg SnC Loss: 7.0264 | Avg FiC Loss: 1.9056 | Avg CE Loss: 0.0775 | Model Sparsity: 0.9266
Retraining Epoch [5/10]: Avg Total Loss: 12.2268 | Avg PrC Loss: 3.2189 | Avg SnC Loss: 7.0262 | Avg FiC Loss: 1.9047 | Avg CE Loss: 0.0770 | Model Sparsity: 0.9266
Retraining Epoch [6/10]: Avg Total Loss: 12.2225 | Avg PrC Loss: 3.2179 | Avg SnC Loss: 7.0250 | Avg FiC Loss: 1.9032 | Avg CE Loss: 0.0765 | Model Sparsity: 0.9266
Retraining Epoch [7/10]: Avg Total Loss: 12.2244 | Avg PrC Loss: 3.2184 | Avg SnC Loss: 7.0255 | Avg FiC Loss: 1.9037 | Avg CE Loss: 0.0767 | Model Sparsity: 0.9266
Retraining Epoch [8/10]: Avg Total Loss: 12.2238 | Avg PrC Loss: 3.2175 | Avg SnC Loss: 7.0261 | Avg FiC Loss: 1.9035 | Avg CE Loss: 0.0767 | Model Sparsity: 0.9266
Retraining Epoch [9/10]: Avg Total Loss: 12.2146 | Avg PrC Loss: 3.2171 | Avg SnC Loss: 7.0220 | Avg FiC Loss: 1.9004 | Avg CE Loss: 0.0751 | Model Sparsity: 0.9266
Retraining Epoch [10/10]: Avg Total Loss: 12.2213 | Avg PrC Loss: 3.2179 | Avg SnC Loss: 7.0253 | Avg FiC Loss: 1.9020 | Avg CE Loss: 0.0760 | Model Sparsity: 0.9266
Epoch [4/5]: Avg Total Loss: 12.7444 | Avg PrC Loss: 3.2800 | Avg SnC Loss: 7.2294 | Avg FiC Loss: 2.0379 | Avg CE Loss: 0.1971 | Model Sparsity: 0.9821
Retraining Epoch [1/10]: Avg Total Loss: 14.0347 | Avg PrC Loss: 3.2561 | Avg SnC Loss: 8.7278 | Avg FiC Loss: 1.9238 | Avg CE Loss: 0.1270 | Model Sparsity: 0.9821
Retraining Epoch [2/10]: Avg Total Loss: 13.9705 | Avg PrC Loss: 3.2474 | Avg SnC Loss: 8.7030 | Avg FiC Loss: 1.9098 | Avg CE Loss: 0.1103 | Model Sparsity: 0.9821
Retraining Epoch [3/10]: Avg Total Loss: 13.9489 | Avg PrC Loss: 3.2451 | Avg SnC Loss: 8.6956 | Avg FiC Loss: 1.9042 | Avg CE Loss: 0.1040 | Model Sparsity: 0.9821
Retraining Epoch [4/10]: Avg Total Loss: 13.9365 | Avg PrC Loss: 3.2442 | Avg SnC Loss: 8.6908 | Avg FiC Loss: 1.9010 | Avg CE Loss: 0.1005 | Model Sparsity: 0.9821
Retraining Epoch [5/10]: Avg Total Loss: 13.9305 | Avg PrC Loss: 3.2432 | Avg SnC Loss: 8.6891 | Avg FiC Loss: 1.8994 | Avg CE Loss: 0.0989 | Model Sparsity: 0.9821
Retraining Epoch [6/10]: Avg Total Loss: 13.9274 | Avg PrC Loss: 3.2428 | Avg SnC Loss: 8.6888 | Avg FiC Loss: 1.8982 | Avg CE Loss: 0.0977 | Model Sparsity: 0.9821
Retraining Epoch [7/10]: Avg Total Loss: 13.9295 | Avg PrC Loss: 3.2432 | Avg SnC Loss: 8.6905 | Avg FiC Loss: 1.8981 | Avg CE Loss: 0.0978 | Model Sparsity: 0.9821
Retraining Epoch [8/10]: Avg Total Loss: 13.9210 | Avg PrC Loss: 3.2421 | Avg SnC Loss: 8.6860 | Avg FiC Loss: 1.8964 | Avg CE Loss: 0.0966 | Model Sparsity: 0.9821
Retraining Epoch [9/10]: Avg Total Loss: 13.9212 | Avg PrC Loss: 3.2420 | Avg SnC Loss: 8.6864 | Avg FiC Loss: 1.8964 | Avg CE Loss: 0.0965 | Model Sparsity: 0.9821
Retraining Epoch [10/10]: Avg Total Loss: 13.9205 | Avg PrC Loss: 3.2420 | Avg SnC Loss: 8.6869 | Avg FiC Loss: 1.8955 | Avg CE Loss: 0.0961 | Model Sparsity: 0.9821
