Model : resnet50 - Learning Type: emnist/baseline
Configuration:
model_type: cv
model_name: resnet50
model_task: emnist
num_classes: 47
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 100
pruning_epochs: 100
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: sgd
total_steps: 18700
warmup_steps: 1870
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/emnist/resnet50_emnist_baseline.pt

Epoch [1/100]: Avg Loss: 3.2323 | Avg Accuracy: 62.23 | Model Sparsity: 0.0
Epoch [2/100]: Avg Loss: 0.8090 | Avg Accuracy: 84.05 | Model Sparsity: 0.0
Epoch [3/100]: Avg Loss: 0.4006 | Avg Accuracy: 86.48 | Model Sparsity: 0.0
Epoch [4/100]: Avg Loss: 0.3291 | Avg Accuracy: 87.43 | Model Sparsity: 0.0
Epoch [5/100]: Avg Loss: 0.2874 | Avg Accuracy: 87.62 | Model Sparsity: 0.0
Epoch [6/100]: Avg Loss: 0.2661 | Avg Accuracy: 87.65 | Model Sparsity: 0.0
Epoch [7/100]: Avg Loss: 0.2467 | Avg Accuracy: 88.02 | Model Sparsity: 0.0
Epoch [8/100]: Avg Loss: 0.2378 | Avg Accuracy: 88.22 | Model Sparsity: 0.0
Epoch [9/100]: Avg Loss: 0.2256 | Avg Accuracy: 88.70 | Model Sparsity: 0.0
Epoch [10/100]: Avg Loss: 0.2188 | Avg Accuracy: 87.83 | Model Sparsity: 0.0
Epoch [11/100]: Avg Loss: 0.2101 | Avg Accuracy: 87.86 | Model Sparsity: 0.0
Epoch [12/100]: Avg Loss: 0.1991 | Avg Accuracy: 88.62 | Model Sparsity: 0.0
Epoch [13/100]: Avg Loss: 0.1850 | Avg Accuracy: 88.68 | Model Sparsity: 0.0
Epoch [14/100]: Avg Loss: 0.1733 | Avg Accuracy: 88.96 | Model Sparsity: 0.0
Epoch [15/100]: Avg Loss: 0.1671 | Avg Accuracy: 88.42 | Model Sparsity: 0.0
Epoch [16/100]: Avg Loss: 0.1598 | Avg Accuracy: 88.57 | Model Sparsity: 0.0
Epoch [17/100]: Avg Loss: 0.1543 | Avg Accuracy: 88.54 | Model Sparsity: 0.0
Epoch [18/100]: Avg Loss: 0.1433 | Avg Accuracy: 88.18 | Model Sparsity: 0.0
Epoch [19/100]: Avg Loss: 0.1385 | Avg Accuracy: 88.53 | Model Sparsity: 0.0
Epoch [20/100]: Avg Loss: 0.1340 | Avg Accuracy: 88.53 | Model Sparsity: 0.0
Epoch [21/100]: Avg Loss: 0.1273 | Avg Accuracy: 89.19 | Model Sparsity: 0.0
Epoch [22/100]: Avg Loss: 0.1253 | Avg Accuracy: 88.64 | Model Sparsity: 0.0
Epoch [23/100]: Avg Loss: 0.1167 | Avg Accuracy: 88.78 | Model Sparsity: 0.0
Epoch [24/100]: Avg Loss: 0.1152 | Avg Accuracy: 88.74 | Model Sparsity: 0.0
Epoch [25/100]: Avg Loss: 0.1129 | Avg Accuracy: 88.43 | Model Sparsity: 0.0
Epoch [26/100]: Avg Loss: 0.1084 | Avg Accuracy: 88.83 | Model Sparsity: 0.0
Epoch [27/100]: Avg Loss: 0.1029 | Avg Accuracy: 88.69 | Model Sparsity: 0.0
Epoch [28/100]: Avg Loss: 0.1009 | Avg Accuracy: 88.37 | Model Sparsity: 0.0
Epoch [29/100]: Avg Loss: 0.0979 | Avg Accuracy: 89.10 | Model Sparsity: 0.0
Epoch [30/100]: Avg Loss: 0.0922 | Avg Accuracy: 88.86 | Model Sparsity: 0.0
Epoch [31/100]: Avg Loss: 0.0911 | Avg Accuracy: 88.58 | Model Sparsity: 0.0
Epoch [32/100]: Avg Loss: 0.0873 | Avg Accuracy: 88.34 | Model Sparsity: 0.0
Epoch [33/100]: Avg Loss: 0.0855 | Avg Accuracy: 88.24 | Model Sparsity: 0.0
Epoch [34/100]: Avg Loss: 0.0832 | Avg Accuracy: 88.70 | Model Sparsity: 0.0
Epoch [35/100]: Avg Loss: 0.0804 | Avg Accuracy: 88.76 | Model Sparsity: 0.0
Epoch [36/100]: Avg Loss: 0.0776 | Avg Accuracy: 88.46 | Model Sparsity: 0.0
Epoch [37/100]: Avg Loss: 0.0749 | Avg Accuracy: 88.45 | Model Sparsity: 0.0
Epoch [38/100]: Avg Loss: 0.0737 | Avg Accuracy: 88.84 | Model Sparsity: 0.0
Epoch [39/100]: Avg Loss: 0.0726 | Avg Accuracy: 88.83 | Model Sparsity: 0.0
Epoch [40/100]: Avg Loss: 0.0704 | Avg Accuracy: 88.61 | Model Sparsity: 0.0
Epoch [41/100]: Avg Loss: 0.0671 | Avg Accuracy: 88.46 | Model Sparsity: 0.0
Epoch [42/100]: Avg Loss: 0.0665 | Avg Accuracy: 88.38 | Model Sparsity: 0.0
Epoch [43/100]: Avg Loss: 0.0619 | Avg Accuracy: 88.60 | Model Sparsity: 0.0
Epoch [44/100]: Avg Loss: 0.0610 | Avg Accuracy: 88.56 | Model Sparsity: 0.0
Epoch [45/100]: Avg Loss: 0.0587 | Avg Accuracy: 88.55 | Model Sparsity: 0.0
