Model : resnet50 - Learning Type: emnist/pruning/magnitude_pruning/0.99
Configuration:
model_type: cv
model_name: resnet50
model_task: emnist
num_classes: 47
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/emnist/resnet50_emnist_magnitude_pruning_0.99_pruning.pt
finetuned_weights: /dbfs/research/resnet50/emnist/resnet50_emnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.1269 | Avg Accuracy: 88.23 | Model Sparsity: 0.4831
Recovery epoch [1/10]: Avg Loss: 0.1191 | Avg Accuracy: 88.74 | Model Sparsity: 0.4831
Recovery epoch [2/10]: Avg Loss: 0.1137 | Avg Accuracy: 88.52 | Model Sparsity: 0.4831
Recovery epoch [3/10]: Avg Loss: 0.1131 | Avg Accuracy: 88.73 | Model Sparsity: 0.4831
Recovery epoch [4/10]: Avg Loss: 0.1063 | Avg Accuracy: 88.62 | Model Sparsity: 0.4831
Recovery epoch [5/10]: Avg Loss: 0.1057 | Avg Accuracy: 88.77 | Model Sparsity: 0.4831
Recovery epoch [6/10]: Avg Loss: 0.1012 | Avg Accuracy: 88.48 | Model Sparsity: 0.4831
Recovery epoch [7/10]: Avg Loss: 0.1017 | Avg Accuracy: 88.23 | Model Sparsity: 0.4831
Recovery epoch [8/10]: Avg Loss: 0.1016 | Avg Accuracy: 88.23 | Model Sparsity: 0.4831
Recovery epoch [9/10]: Avg Loss: 0.0999 | Avg Accuracy: 88.33 | Model Sparsity: 0.4831
Recovery epoch [10/10]: Avg Loss: 0.0996 | Avg Accuracy: 88.59 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Loss: 0.1828 | Avg Accuracy: 88.41 | Model Sparsity: 0.7762
Recovery epoch [1/10]: Avg Loss: 0.1341 | Avg Accuracy: 88.42 | Model Sparsity: 0.7762
Recovery epoch [2/10]: Avg Loss: 0.1172 | Avg Accuracy: 88.13 | Model Sparsity: 0.7762
Recovery epoch [3/10]: Avg Loss: 0.1106 | Avg Accuracy: 88.16 | Model Sparsity: 0.7762
Recovery epoch [4/10]: Avg Loss: 0.1029 | Avg Accuracy: 88.16 | Model Sparsity: 0.7762
Recovery epoch [5/10]: Avg Loss: 0.1010 | Avg Accuracy: 88.42 | Model Sparsity: 0.7762
Recovery epoch [6/10]: Avg Loss: 0.0973 | Avg Accuracy: 88.03 | Model Sparsity: 0.7762
Recovery epoch [7/10]: Avg Loss: 0.0938 | Avg Accuracy: 88.28 | Model Sparsity: 0.7762
Recovery epoch [8/10]: Avg Loss: 0.0928 | Avg Accuracy: 88.80 | Model Sparsity: 0.7762
Recovery epoch [9/10]: Avg Loss: 0.0901 | Avg Accuracy: 88.12 | Model Sparsity: 0.7762
Recovery epoch [10/10]: Avg Loss: 0.0856 | Avg Accuracy: 88.12 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Loss: 0.3336 | Avg Accuracy: 88.90 | Model Sparsity: 0.9266
Recovery epoch [1/10]: Avg Loss: 0.2116 | Avg Accuracy: 88.82 | Model Sparsity: 0.9266
Recovery epoch [2/10]: Avg Loss: 0.1825 | Avg Accuracy: 88.55 | Model Sparsity: 0.9266
Recovery epoch [3/10]: Avg Loss: 0.1648 | Avg Accuracy: 88.45 | Model Sparsity: 0.9266
Recovery epoch [4/10]: Avg Loss: 0.1514 | Avg Accuracy: 88.37 | Model Sparsity: 0.9266
Recovery epoch [5/10]: Avg Loss: 0.1429 | Avg Accuracy: 88.57 | Model Sparsity: 0.9266
Recovery epoch [6/10]: Avg Loss: 0.1327 | Avg Accuracy: 88.67 | Model Sparsity: 0.9266
Recovery epoch [7/10]: Avg Loss: 0.1290 | Avg Accuracy: 88.50 | Model Sparsity: 0.9266
Recovery epoch [8/10]: Avg Loss: 0.1240 | Avg Accuracy: 88.41 | Model Sparsity: 0.9266
Recovery epoch [9/10]: Avg Loss: 0.1190 | Avg Accuracy: 88.12 | Model Sparsity: 0.9266
Recovery epoch [10/10]: Avg Loss: 0.1129 | Avg Accuracy: 88.61 | Model Sparsity: 0.9266
Epoch [4/5]: Avg Loss: 0.4954 | Avg Accuracy: 87.88 | Model Sparsity: 0.9821
Recovery epoch [1/10]: Avg Loss: 0.2786 | Avg Accuracy: 88.20 | Model Sparsity: 0.9821
Recovery epoch [2/10]: Avg Loss: 0.2513 | Avg Accuracy: 88.34 | Model Sparsity: 0.9821
Recovery epoch [3/10]: Avg Loss: 0.2340 | Avg Accuracy: 88.94 | Model Sparsity: 0.9821
Recovery epoch [4/10]: Avg Loss: 0.2218 | Avg Accuracy: 88.58 | Model Sparsity: 0.9821
Recovery epoch [5/10]: Avg Loss: 0.2125 | Avg Accuracy: 88.87 | Model Sparsity: 0.9821
Recovery epoch [6/10]: Avg Loss: 0.2025 | Avg Accuracy: 88.07 | Model Sparsity: 0.9821
Recovery epoch [7/10]: Avg Loss: 0.1986 | Avg Accuracy: 88.19 | Model Sparsity: 0.9821
Recovery epoch [8/10]: Avg Loss: 0.1938 | Avg Accuracy: 88.81 | Model Sparsity: 0.9821
Recovery epoch [9/10]: Avg Loss: 0.1885 | Avg Accuracy: 88.09 | Model Sparsity: 0.9821
Recovery epoch [10/10]: Avg Loss: 0.1828 | Avg Accuracy: 88.66 | Model Sparsity: 0.9821
Epoch [5/5]: Avg Loss: 0.2791 | Avg Accuracy: 88.55 | Model Sparsity: 0.99
Recovery epoch [1/10]: Avg Loss: 0.2335 | Avg Accuracy: 88.65 | Model Sparsity: 0.99
Recovery epoch [2/10]: Avg Loss: 0.2186 | Avg Accuracy: 88.33 | Model Sparsity: 0.99
Recovery epoch [3/10]: Avg Loss: 0.2111 | Avg Accuracy: 88.61 | Model Sparsity: 0.99
Recovery epoch [4/10]: Avg Loss: 0.2025 | Avg Accuracy: 88.80 | Model Sparsity: 0.99
Recovery epoch [5/10]: Avg Loss: 0.1971 | Avg Accuracy: 88.62 | Model Sparsity: 0.99
Recovery epoch [6/10]: Avg Loss: 0.1933 | Avg Accuracy: 88.78 | Model Sparsity: 0.99
Recovery epoch [7/10]: Avg Loss: 0.1882 | Avg Accuracy: 88.31 | Model Sparsity: 0.99
Recovery epoch [8/10]: Avg Loss: 0.1844 | Avg Accuracy: 88.64 | Model Sparsity: 0.99
Recovery epoch [9/10]: Avg Loss: 0.1811 | Avg Accuracy: 88.48 | Model Sparsity: 0.99
Recovery epoch [10/10]: Avg Loss: 0.1792 | Avg Accuracy: 88.29 | Model Sparsity: 0.99
