Model : resnet50 - Learning Type: emnist/pruning/movement_pruning/0.99
Configuration:
model_type: cv
model_name: resnet50
model_task: emnist
num_classes: 47
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/emnist/resnet50_emnist_movement_pruning_0.99_pruning.pt
finetuned_weights: /dbfs/research/resnet50/emnist/resnet50_emnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.1629 | Avg Accuracy: 88.84 | Model Sparsity: 0.4831
Recovery epoch [1/10]: Avg Loss: 0.1498 | Avg Accuracy: 88.52 | Model Sparsity: 0.4831
Recovery epoch [2/10]: Avg Loss: 0.1396 | Avg Accuracy: 88.70 | Model Sparsity: 0.4831
Recovery epoch [3/10]: Avg Loss: 0.1325 | Avg Accuracy: 88.73 | Model Sparsity: 0.4831
Recovery epoch [4/10]: Avg Loss: 0.1259 | Avg Accuracy: 89.15 | Model Sparsity: 0.4831
Recovery epoch [5/10]: Avg Loss: 0.1217 | Avg Accuracy: 88.67 | Model Sparsity: 0.4831
Recovery epoch [6/10]: Avg Loss: 0.1183 | Avg Accuracy: 88.38 | Model Sparsity: 0.4831
Recovery epoch [7/10]: Avg Loss: 0.1150 | Avg Accuracy: 88.95 | Model Sparsity: 0.4831
Recovery epoch [8/10]: Avg Loss: 0.1131 | Avg Accuracy: 89.07 | Model Sparsity: 0.4831
Recovery epoch [9/10]: Avg Loss: 0.1093 | Avg Accuracy: 88.84 | Model Sparsity: 0.4831
Recovery epoch [10/10]: Avg Loss: 0.1044 | Avg Accuracy: 88.93 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Loss: 0.2337 | Avg Accuracy: 89.16 | Model Sparsity: 0.7762
Recovery epoch [1/10]: Avg Loss: 0.1656 | Avg Accuracy: 88.32 | Model Sparsity: 0.7762
Recovery epoch [2/10]: Avg Loss: 0.1482 | Avg Accuracy: 88.87 | Model Sparsity: 0.7762
Recovery epoch [3/10]: Avg Loss: 0.1365 | Avg Accuracy: 88.57 | Model Sparsity: 0.7762
Recovery epoch [4/10]: Avg Loss: 0.1250 | Avg Accuracy: 88.65 | Model Sparsity: 0.7762
Recovery epoch [5/10]: Avg Loss: 0.1218 | Avg Accuracy: 88.66 | Model Sparsity: 0.7762
Recovery epoch [6/10]: Avg Loss: 0.1168 | Avg Accuracy: 88.45 | Model Sparsity: 0.7762
Recovery epoch [7/10]: Avg Loss: 0.1142 | Avg Accuracy: 88.54 | Model Sparsity: 0.7762
Recovery epoch [8/10]: Avg Loss: 0.1093 | Avg Accuracy: 88.90 | Model Sparsity: 0.7762
Recovery epoch [9/10]: Avg Loss: 0.1061 | Avg Accuracy: 88.49 | Model Sparsity: 0.7762
Recovery epoch [10/10]: Avg Loss: 0.1028 | Avg Accuracy: 88.30 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Loss: 0.3781 | Avg Accuracy: 88.38 | Model Sparsity: 0.9266
Recovery epoch [1/10]: Avg Loss: 0.2293 | Avg Accuracy: 88.96 | Model Sparsity: 0.9266
Recovery epoch [2/10]: Avg Loss: 0.2005 | Avg Accuracy: 89.07 | Model Sparsity: 0.9266
Recovery epoch [3/10]: Avg Loss: 0.1844 | Avg Accuracy: 88.75 | Model Sparsity: 0.9266
Recovery epoch [4/10]: Avg Loss: 0.1682 | Avg Accuracy: 88.90 | Model Sparsity: 0.9266
Recovery epoch [5/10]: Avg Loss: 0.1594 | Avg Accuracy: 89.00 | Model Sparsity: 0.9266
Recovery epoch [6/10]: Avg Loss: 0.1513 | Avg Accuracy: 88.64 | Model Sparsity: 0.9266
Recovery epoch [7/10]: Avg Loss: 0.1446 | Avg Accuracy: 88.67 | Model Sparsity: 0.9266
Recovery epoch [8/10]: Avg Loss: 0.1422 | Avg Accuracy: 88.59 | Model Sparsity: 0.9266
Recovery epoch [9/10]: Avg Loss: 0.1353 | Avg Accuracy: 88.61 | Model Sparsity: 0.9266
Recovery epoch [10/10]: Avg Loss: 0.1322 | Avg Accuracy: 88.32 | Model Sparsity: 0.9266
Epoch [4/5]: Avg Loss: 0.6191 | Avg Accuracy: 87.72 | Model Sparsity: 0.9821
Recovery epoch [1/10]: Avg Loss: 0.2962 | Avg Accuracy: 88.37 | Model Sparsity: 0.9821
Recovery epoch [2/10]: Avg Loss: 0.2642 | Avg Accuracy: 88.85 | Model Sparsity: 0.9821
Recovery epoch [3/10]: Avg Loss: 0.2468 | Avg Accuracy: 88.53 | Model Sparsity: 0.9821
Recovery epoch [4/10]: Avg Loss: 0.2338 | Avg Accuracy: 89.02 | Model Sparsity: 0.9821
Recovery epoch [5/10]: Avg Loss: 0.2228 | Avg Accuracy: 89.37 | Model Sparsity: 0.9821
Recovery epoch [6/10]: Avg Loss: 0.2165 | Avg Accuracy: 89.37 | Model Sparsity: 0.9821
Recovery epoch [7/10]: Avg Loss: 0.2078 | Avg Accuracy: 89.23 | Model Sparsity: 0.9821
Recovery epoch [8/10]: Avg Loss: 0.2017 | Avg Accuracy: 89.06 | Model Sparsity: 0.9821
Recovery epoch [9/10]: Avg Loss: 0.1955 | Avg Accuracy: 88.95 | Model Sparsity: 0.9821
Recovery epoch [10/10]: Avg Loss: 0.1912 | Avg Accuracy: 89.16 | Model Sparsity: 0.9821
Epoch [5/5]: Avg Loss: 0.3467 | Avg Accuracy: 88.48 | Model Sparsity: 0.99
Recovery epoch [1/10]: Avg Loss: 0.2589 | Avg Accuracy: 89.00 | Model Sparsity: 0.99
Recovery epoch [2/10]: Avg Loss: 0.2420 | Avg Accuracy: 88.33 | Model Sparsity: 0.99
Recovery epoch [3/10]: Avg Loss: 0.2330 | Avg Accuracy: 88.65 | Model Sparsity: 0.99
Recovery epoch [4/10]: Avg Loss: 0.2232 | Avg Accuracy: 88.99 | Model Sparsity: 0.99
Recovery epoch [5/10]: Avg Loss: 0.2165 | Avg Accuracy: 88.70 | Model Sparsity: 0.99
Recovery epoch [6/10]: Avg Loss: 0.2104 | Avg Accuracy: 88.73 | Model Sparsity: 0.99
Recovery epoch [7/10]: Avg Loss: 0.2058 | Avg Accuracy: 88.88 | Model Sparsity: 0.99
Recovery epoch [8/10]: Avg Loss: 0.2042 | Avg Accuracy: 89.04 | Model Sparsity: 0.99
Recovery epoch [9/10]: Avg Loss: 0.1984 | Avg Accuracy: 89.38 | Model Sparsity: 0.99
Recovery epoch [10/10]: Avg Loss: 0.1956 | Avg Accuracy: 89.26 | Model Sparsity: 0.99
