Model : resnet50 - Learning Type: flowers102/bacp_finetune/magnitude_pruning/0.99
Configuration:
model_type: cv
model_name: resnet50
model_task: flowers102
num_classes: 102
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 16
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/flowers102/resnet50_flowers102_magnitude_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet50/flowers102/resnet50_flowers102_magnitude_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 4.4769 | Avg Accuracy: 19.44 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 3.2043 | Avg Accuracy: 44.44 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 2.4915 | Avg Accuracy: 54.17 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 1.9569 | Avg Accuracy: 65.28 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 1.6092 | Avg Accuracy: 72.22 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 1.3516 | Avg Accuracy: 75.69 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 1.1863 | Avg Accuracy: 75.00 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 1.0607 | Avg Accuracy: 76.39 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 0.9494 | Avg Accuracy: 81.25 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 0.8450 | Avg Accuracy: 79.17 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 0.7775 | Avg Accuracy: 77.78 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 0.7038 | Avg Accuracy: 80.56 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 0.6664 | Avg Accuracy: 78.47 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 0.6230 | Avg Accuracy: 80.56 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.6095 | Avg Accuracy: 79.17 | Model Sparsity: 0.99
