Model : resnet50 - Learning Type: flowers102/bacp_finetune/movement_pruning/0.95
Configuration:
model_type: cv
model_name: resnet50
model_task: flowers102
num_classes: 102
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 16
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/flowers102/resnet50_flowers102_movement_pruning_0.95_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet50/flowers102/resnet50_flowers102_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 4.4991 | Avg Accuracy: 18.75 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 3.1714 | Avg Accuracy: 38.19 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 2.4082 | Avg Accuracy: 58.33 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 1.8946 | Avg Accuracy: 64.58 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 1.5796 | Avg Accuracy: 70.83 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 1.3855 | Avg Accuracy: 68.75 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 1.2095 | Avg Accuracy: 72.92 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 1.0699 | Avg Accuracy: 75.69 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.9607 | Avg Accuracy: 77.08 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.8496 | Avg Accuracy: 75.00 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.7924 | Avg Accuracy: 77.08 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.7064 | Avg Accuracy: 72.92 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.6695 | Avg Accuracy: 74.31 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.6152 | Avg Accuracy: 74.31 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.5554 | Avg Accuracy: 77.78 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.5433 | Avg Accuracy: 79.17 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.5117 | Avg Accuracy: 81.94 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.4905 | Avg Accuracy: 79.86 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.4502 | Avg Accuracy: 79.17 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.4319 | Avg Accuracy: 79.86 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.4109 | Avg Accuracy: 77.78 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.3828 | Avg Accuracy: 78.47 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.3424 | Avg Accuracy: 79.17 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.3545 | Avg Accuracy: 77.78 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.3050 | Avg Accuracy: 79.86 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.2994 | Avg Accuracy: 77.08 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.2899 | Avg Accuracy: 77.78 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.2825 | Avg Accuracy: 79.86 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.2558 | Avg Accuracy: 79.86 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.2454 | Avg Accuracy: 81.25 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.2351 | Avg Accuracy: 77.78 | Model Sparsity: 0.95
Epoch [32/50]: Avg Loss: 0.2112 | Avg Accuracy: 76.39 | Model Sparsity: 0.95
Epoch [33/50]: Avg Loss: 0.2129 | Avg Accuracy: 79.17 | Model Sparsity: 0.95
Epoch [34/50]: Avg Loss: 0.2051 | Avg Accuracy: 79.17 | Model Sparsity: 0.95
Epoch [35/50]: Avg Loss: 0.2032 | Avg Accuracy: 77.78 | Model Sparsity: 0.95
Epoch [36/50]: Avg Loss: 0.1853 | Avg Accuracy: 77.78 | Model Sparsity: 0.95
Epoch [37/50]: Avg Loss: 0.1688 | Avg Accuracy: 81.25 | Model Sparsity: 0.95
