Model : resnet50 - Learning Type: flowers102/bacp_pruning/magnitude_pruning/0.95
Configuration:
model_name: resnet50
model_task: flowers102
model_type: cv
num_classes: 102
batch_size: 16
learning_rate: 0.001
optimizer_type: adamw
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 54
val_batches: 9
current_model_path: /dbfs/research/resnet50/flowers102/resnet50_flowers102_magnitude_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 5.6380 | Avg PrC Loss: 1.9892 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.5698 | Avg CE Loss: 1.0790 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 6.3307 | Avg PrC Loss: 1.7595 | Avg SnC Loss: 1.4841 | Avg FiC Loss: 2.1631 | Avg CE Loss: 0.9239 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 6.0226 | Avg PrC Loss: 1.7072 | Avg SnC Loss: 1.4894 | Avg FiC Loss: 1.9736 | Avg CE Loss: 0.8524 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 5.8461 | Avg PrC Loss: 1.6727 | Avg SnC Loss: 1.5214 | Avg FiC Loss: 1.8615 | Avg CE Loss: 0.7905 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 5.6570 | Avg PrC Loss: 1.6615 | Avg SnC Loss: 1.5373 | Avg FiC Loss: 1.7373 | Avg CE Loss: 0.7208 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 5.5105 | Avg PrC Loss: 1.6495 | Avg SnC Loss: 1.5530 | Avg FiC Loss: 1.6340 | Avg CE Loss: 0.6740 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 5.3731 | Avg PrC Loss: 1.6421 | Avg SnC Loss: 1.5752 | Avg FiC Loss: 1.5393 | Avg CE Loss: 0.6165 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 5.2445 | Avg PrC Loss: 1.6429 | Avg SnC Loss: 1.5931 | Avg FiC Loss: 1.4329 | Avg CE Loss: 0.5757 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 5.1349 | Avg PrC Loss: 1.6344 | Avg SnC Loss: 1.6065 | Avg FiC Loss: 1.3577 | Avg CE Loss: 0.5363 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 4.9819 | Avg PrC Loss: 1.6296 | Avg SnC Loss: 1.6131 | Avg FiC Loss: 1.2627 | Avg CE Loss: 0.4766 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 4.8519 | Avg PrC Loss: 1.6294 | Avg SnC Loss: 1.6350 | Avg FiC Loss: 1.1712 | Avg CE Loss: 0.4163 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 4.6829 | Avg PrC Loss: 1.6364 | Avg SnC Loss: 1.6403 | Avg FiC Loss: 1.0630 | Avg CE Loss: 0.3432 | Model Sparsity: 0.7448
Retraining Epoch [1/10]: Avg Total Loss: 4.9647 | Avg PrC Loss: 1.6672 | Avg SnC Loss: 2.1130 | Avg FiC Loss: 0.9023 | Avg CE Loss: 0.2822 | Model Sparsity: 0.7448
