Model : resnet50 - Learning Type: flowers102/bacp_pruning/movement_pruning/0.97
Configuration:
model_name: resnet50
model_task: flowers102
model_type: cv
num_classes: 102
batch_size: 16
learning_rate: 0.001
optimizer_type: adamw
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 54
val_batches: 9
current_model_path: /dbfs/research/resnet50/flowers102/resnet50_flowers102_movement_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 5.6158 | Avg PrC Loss: 1.9887 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.5188 | Avg CE Loss: 1.1083 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 6.3626 | Avg PrC Loss: 1.7669 | Avg SnC Loss: 1.4432 | Avg FiC Loss: 2.1649 | Avg CE Loss: 0.9876 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 6.1382 | Avg PrC Loss: 1.7136 | Avg SnC Loss: 1.4603 | Avg FiC Loss: 2.0408 | Avg CE Loss: 0.9234 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 5.9215 | Avg PrC Loss: 1.6654 | Avg SnC Loss: 1.4742 | Avg FiC Loss: 1.9096 | Avg CE Loss: 0.8722 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 5.7335 | Avg PrC Loss: 1.6273 | Avg SnC Loss: 1.4911 | Avg FiC Loss: 1.8001 | Avg CE Loss: 0.8150 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 5.6904 | Avg PrC Loss: 1.6249 | Avg SnC Loss: 1.5203 | Avg FiC Loss: 1.7464 | Avg CE Loss: 0.7988 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 5.5581 | Avg PrC Loss: 1.6048 | Avg SnC Loss: 1.5079 | Avg FiC Loss: 1.6852 | Avg CE Loss: 0.7602 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 5.4791 | Avg PrC Loss: 1.6010 | Avg SnC Loss: 1.5192 | Avg FiC Loss: 1.6349 | Avg CE Loss: 0.7239 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 5.3900 | Avg PrC Loss: 1.5956 | Avg SnC Loss: 1.5361 | Avg FiC Loss: 1.5690 | Avg CE Loss: 0.6892 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 5.3056 | Avg PrC Loss: 1.5901 | Avg SnC Loss: 1.5407 | Avg FiC Loss: 1.5124 | Avg CE Loss: 0.6624 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 5.2053 | Avg PrC Loss: 1.5776 | Avg SnC Loss: 1.5463 | Avg FiC Loss: 1.4592 | Avg CE Loss: 0.6221 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Total Loss: 5.1382 | Avg PrC Loss: 1.5805 | Avg SnC Loss: 1.5532 | Avg FiC Loss: 1.4106 | Avg CE Loss: 0.5939 | Model Sparsity: 0.7605
Retraining Epoch [1/10]: Avg Total Loss: 5.7504 | Avg PrC Loss: 1.6057 | Avg SnC Loss: 2.2703 | Avg FiC Loss: 1.3139 | Avg CE Loss: 0.5605 | Model Sparsity: 0.7605
Retraining Epoch [2/10]: Avg Total Loss: 5.6913 | Avg PrC Loss: 1.6061 | Avg SnC Loss: 2.2679 | Avg FiC Loss: 1.2742 | Avg CE Loss: 0.5431 | Model Sparsity: 0.7605
Retraining Epoch [3/10]: Avg Total Loss: 5.5697 | Avg PrC Loss: 1.5960 | Avg SnC Loss: 2.2578 | Avg FiC Loss: 1.2113 | Avg CE Loss: 0.5046 | Model Sparsity: 0.7605
Retraining Epoch [4/10]: Avg Total Loss: 5.4322 | Avg PrC Loss: 1.5918 | Avg SnC Loss: 2.2330 | Avg FiC Loss: 1.1490 | Avg CE Loss: 0.4584 | Model Sparsity: 0.7605
Retraining Epoch [5/10]: Avg Total Loss: 5.3714 | Avg PrC Loss: 1.5930 | Avg SnC Loss: 2.2588 | Avg FiC Loss: 1.1008 | Avg CE Loss: 0.4189 | Model Sparsity: 0.7605
Retraining Epoch [6/10]: Avg Total Loss: 5.3092 | Avg PrC Loss: 1.5892 | Avg SnC Loss: 2.2552 | Avg FiC Loss: 1.0713 | Avg CE Loss: 0.3935 | Model Sparsity: 0.7605
Retraining Epoch [7/10]: Avg Total Loss: 5.2784 | Avg PrC Loss: 1.5939 | Avg SnC Loss: 2.2809 | Avg FiC Loss: 1.0375 | Avg CE Loss: 0.3662 | Model Sparsity: 0.7605
Retraining Epoch [8/10]: Avg Total Loss: 5.1870 | Avg PrC Loss: 1.5934 | Avg SnC Loss: 2.2744 | Avg FiC Loss: 0.9917 | Avg CE Loss: 0.3275 | Model Sparsity: 0.7605
Retraining Epoch [9/10]: Avg Total Loss: 5.1371 | Avg PrC Loss: 1.5866 | Avg SnC Loss: 2.2904 | Avg FiC Loss: 0.9590 | Avg CE Loss: 0.3011 | Model Sparsity: 0.7605
Retraining Epoch [10/10]: Avg Total Loss: 5.0640 | Avg PrC Loss: 1.5786 | Avg SnC Loss: 2.2857 | Avg FiC Loss: 0.9215 | Avg CE Loss: 0.2782 | Model Sparsity: 0.7605
