Model : resnet50 - Learning Type: flowers102/baseline
Configuration:
model_type: cv
model_name: resnet50
model_task: flowers102
num_classes: 102
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 16
learning_rate: 0.01
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: sgd
total_steps: 2700
warmup_steps: 270
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/flowers102/resnet50_flowers102_baseline.pt

Epoch [1/50]: Avg Loss: 4.4353 | Avg Accuracy: 22.92 | Model Sparsity: 0.0046
Epoch [2/50]: Avg Loss: 2.9404 | Avg Accuracy: 45.14 | Model Sparsity: 0.0046
Epoch [3/50]: Avg Loss: 1.7565 | Avg Accuracy: 50.69 | Model Sparsity: 0.0046
Epoch [4/50]: Avg Loss: 1.3894 | Avg Accuracy: 43.75 | Model Sparsity: 0.0046
Epoch [5/50]: Avg Loss: 1.3008 | Avg Accuracy: 29.86 | Model Sparsity: 0.0046
Epoch [6/50]: Avg Loss: 1.4375 | Avg Accuracy: 47.92 | Model Sparsity: 0.0046
Epoch [7/50]: Avg Loss: 1.0106 | Avg Accuracy: 54.17 | Model Sparsity: 0.0046
Epoch [8/50]: Avg Loss: 0.7232 | Avg Accuracy: 50.69 | Model Sparsity: 0.0046
Epoch [9/50]: Avg Loss: 0.4909 | Avg Accuracy: 64.58 | Model Sparsity: 0.0046
Epoch [10/50]: Avg Loss: 0.3070 | Avg Accuracy: 68.06 | Model Sparsity: 0.0046
Epoch [11/50]: Avg Loss: 0.1428 | Avg Accuracy: 73.61 | Model Sparsity: 0.0046
Epoch [12/50]: Avg Loss: 0.0864 | Avg Accuracy: 78.47 | Model Sparsity: 0.0046
Epoch [13/50]: Avg Loss: 0.0865 | Avg Accuracy: 82.64 | Model Sparsity: 0.0046
Epoch [14/50]: Avg Loss: 0.0396 | Avg Accuracy: 81.94 | Model Sparsity: 0.0046
Epoch [15/50]: Avg Loss: 0.0254 | Avg Accuracy: 86.81 | Model Sparsity: 0.0046
Epoch [16/50]: Avg Loss: 0.0190 | Avg Accuracy: 87.50 | Model Sparsity: 0.0046
Epoch [17/50]: Avg Loss: 0.0138 | Avg Accuracy: 87.50 | Model Sparsity: 0.0046
Epoch [18/50]: Avg Loss: 0.0131 | Avg Accuracy: 86.81 | Model Sparsity: 0.0046
Epoch [19/50]: Avg Loss: 0.0149 | Avg Accuracy: 88.89 | Model Sparsity: 0.0046
Epoch [20/50]: Avg Loss: 0.0128 | Avg Accuracy: 86.81 | Model Sparsity: 0.0046
Epoch [21/50]: Avg Loss: 0.0139 | Avg Accuracy: 88.89 | Model Sparsity: 0.0046
Epoch [22/50]: Avg Loss: 0.0107 | Avg Accuracy: 90.28 | Model Sparsity: 0.0046
Epoch [23/50]: Avg Loss: 0.0113 | Avg Accuracy: 88.89 | Model Sparsity: 0.0046
Epoch [24/50]: Avg Loss: 0.0106 | Avg Accuracy: 87.50 | Model Sparsity: 0.0046
Epoch [25/50]: Avg Loss: 0.0102 | Avg Accuracy: 88.89 | Model Sparsity: 0.0046
Epoch [26/50]: Avg Loss: 0.0079 | Avg Accuracy: 88.89 | Model Sparsity: 0.0046
Epoch [27/50]: Avg Loss: 0.0099 | Avg Accuracy: 88.19 | Model Sparsity: 0.0046
Epoch [28/50]: Avg Loss: 0.0068 | Avg Accuracy: 89.58 | Model Sparsity: 0.0046
Epoch [29/50]: Avg Loss: 0.0068 | Avg Accuracy: 88.89 | Model Sparsity: 0.0046
Epoch [30/50]: Avg Loss: 0.0068 | Avg Accuracy: 88.19 | Model Sparsity: 0.0046
Epoch [31/50]: Avg Loss: 0.0071 | Avg Accuracy: 90.97 | Model Sparsity: 0.0046
Epoch [32/50]: Avg Loss: 0.0070 | Avg Accuracy: 88.89 | Model Sparsity: 0.0046
Epoch [33/50]: Avg Loss: 0.0065 | Avg Accuracy: 89.58 | Model Sparsity: 0.0046
Epoch [34/50]: Avg Loss: 0.0077 | Avg Accuracy: 87.50 | Model Sparsity: 0.0046
Epoch [35/50]: Avg Loss: 0.0056 | Avg Accuracy: 88.19 | Model Sparsity: 0.0046
Epoch [36/50]: Avg Loss: 0.0047 | Avg Accuracy: 89.58 | Model Sparsity: 0.0046
Epoch [37/50]: Avg Loss: 0.0061 | Avg Accuracy: 88.89 | Model Sparsity: 0.0046
Epoch [38/50]: Avg Loss: 0.0050 | Avg Accuracy: 88.19 | Model Sparsity: 0.0046
Epoch [39/50]: Avg Loss: 0.0060 | Avg Accuracy: 88.19 | Model Sparsity: 0.0046
Epoch [40/50]: Avg Loss: 0.0050 | Avg Accuracy: 88.89 | Model Sparsity: 0.0046
Epoch [41/50]: Avg Loss: 0.0049 | Avg Accuracy: 90.28 | Model Sparsity: 0.0046
