Model : resnet50 - Learning Type: flowers102/baseline
Configuration:
model_type: cv
model_name: resnet50
model_task: flowers102
num_classes: 102
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 16
learning_rate: 0.0001
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: adamw
total_steps: 3150
warmup_steps: 315
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/flowers102/resnet50_flowers102_baseline.pt

Epoch [1/50]: Avg Loss: 4.5692 | Avg Accuracy: 15.28 | Model Sparsity: 0.0
Epoch [2/50]: Avg Loss: 3.8088 | Avg Accuracy: 66.47 | Model Sparsity: 0.0
Epoch [3/50]: Avg Loss: 2.6732 | Avg Accuracy: 78.57 | Model Sparsity: 0.0
Epoch [4/50]: Avg Loss: 1.6637 | Avg Accuracy: 80.65 | Model Sparsity: 0.0
Epoch [5/50]: Avg Loss: 1.1066 | Avg Accuracy: 76.09 | Model Sparsity: 0.0
Epoch [6/50]: Avg Loss: 0.7470 | Avg Accuracy: 82.54 | Model Sparsity: 0.0
Epoch [7/50]: Avg Loss: 0.5516 | Avg Accuracy: 82.94 | Model Sparsity: 0.0
Epoch [8/50]: Avg Loss: 0.4778 | Avg Accuracy: 85.12 | Model Sparsity: 0.0
Epoch [9/50]: Avg Loss: 0.4092 | Avg Accuracy: 83.23 | Model Sparsity: 0.0
Epoch [10/50]: Avg Loss: 0.3630 | Avg Accuracy: 84.52 | Model Sparsity: 0.0
Epoch [11/50]: Avg Loss: 0.3294 | Avg Accuracy: 84.03 | Model Sparsity: 0.0
Epoch [12/50]: Avg Loss: 0.2705 | Avg Accuracy: 85.22 | Model Sparsity: 0.0
Epoch [13/50]: Avg Loss: 0.2915 | Avg Accuracy: 86.21 | Model Sparsity: 0.0
Epoch [14/50]: Avg Loss: 0.2785 | Avg Accuracy: 84.52 | Model Sparsity: 0.0
Epoch [15/50]: Avg Loss: 0.2167 | Avg Accuracy: 86.21 | Model Sparsity: 0.0
Epoch [16/50]: Avg Loss: 0.1820 | Avg Accuracy: 86.61 | Model Sparsity: 0.0
Epoch [17/50]: Avg Loss: 0.2312 | Avg Accuracy: 85.22 | Model Sparsity: 0.0
Epoch [18/50]: Avg Loss: 0.1943 | Avg Accuracy: 85.62 | Model Sparsity: 0.0
Epoch [19/50]: Avg Loss: 0.2172 | Avg Accuracy: 88.79 | Model Sparsity: 0.0
Epoch [20/50]: Avg Loss: 0.1530 | Avg Accuracy: 87.20 | Model Sparsity: 0.0
Epoch [21/50]: Avg Loss: 0.1569 | Avg Accuracy: 85.22 | Model Sparsity: 0.0
Epoch [22/50]: Avg Loss: 0.1425 | Avg Accuracy: 84.52 | Model Sparsity: 0.0
Epoch [23/50]: Avg Loss: 0.1429 | Avg Accuracy: 87.90 | Model Sparsity: 0.0
Epoch [24/50]: Avg Loss: 0.1635 | Avg Accuracy: 88.29 | Model Sparsity: 0.0
Epoch [25/50]: Avg Loss: 0.1490 | Avg Accuracy: 86.71 | Model Sparsity: 0.0
Epoch [26/50]: Avg Loss: 0.1647 | Avg Accuracy: 88.89 | Model Sparsity: 0.0
Epoch [27/50]: Avg Loss: 0.1245 | Avg Accuracy: 87.60 | Model Sparsity: 0.0
Epoch [28/50]: Avg Loss: 0.1150 | Avg Accuracy: 89.29 | Model Sparsity: 0.0
Epoch [29/50]: Avg Loss: 0.1244 | Avg Accuracy: 89.68 | Model Sparsity: 0.0
Epoch [30/50]: Avg Loss: 0.1414 | Avg Accuracy: 88.79 | Model Sparsity: 0.0
Epoch [31/50]: Avg Loss: 0.0971 | Avg Accuracy: 89.78 | Model Sparsity: 0.0
Epoch [32/50]: Avg Loss: 0.1402 | Avg Accuracy: 88.19 | Model Sparsity: 0.0
Epoch [33/50]: Avg Loss: 0.0719 | Avg Accuracy: 88.29 | Model Sparsity: 0.0
Epoch [34/50]: Avg Loss: 0.0985 | Avg Accuracy: 89.19 | Model Sparsity: 0.0
Epoch [35/50]: Avg Loss: 0.0920 | Avg Accuracy: 89.88 | Model Sparsity: 0.0
Epoch [36/50]: Avg Loss: 0.0777 | Avg Accuracy: 89.98 | Model Sparsity: 0.0
Epoch [37/50]: Avg Loss: 0.0782 | Avg Accuracy: 90.97 | Model Sparsity: 0.0
Epoch [38/50]: Avg Loss: 0.0714 | Avg Accuracy: 90.67 | Model Sparsity: 0.0
Epoch [39/50]: Avg Loss: 0.0602 | Avg Accuracy: 89.48 | Model Sparsity: 0.0
Epoch [40/50]: Avg Loss: 0.0838 | Avg Accuracy: 89.58 | Model Sparsity: 0.0
Epoch [41/50]: Avg Loss: 0.0801 | Avg Accuracy: 90.77 | Model Sparsity: 0.0
Epoch [42/50]: Avg Loss: 0.0658 | Avg Accuracy: 90.58 | Model Sparsity: 0.0
Epoch [43/50]: Avg Loss: 0.0737 | Avg Accuracy: 90.77 | Model Sparsity: 0.0
Epoch [44/50]: Avg Loss: 0.0644 | Avg Accuracy: 90.38 | Model Sparsity: 0.0
Epoch [45/50]: Avg Loss: 0.0535 | Avg Accuracy: 91.67 | Model Sparsity: 0.0
Epoch [46/50]: Avg Loss: 0.0548 | Avg Accuracy: 91.87 | Model Sparsity: 0.0
Epoch [47/50]: Avg Loss: 0.0799 | Avg Accuracy: 91.77 | Model Sparsity: 0.0
Epoch [48/50]: Avg Loss: 0.0648 | Avg Accuracy: 89.98 | Model Sparsity: 0.0
Epoch [49/50]: Avg Loss: 0.0779 | Avg Accuracy: 90.08 | Model Sparsity: 0.0
Epoch [50/50]: Avg Loss: 0.0702 | Avg Accuracy: 90.58 | Model Sparsity: 0.0
