Model : resnet50 - Learning Type: flowers102/pruning/magnitude_pruning/0.97
Configuration:
model_type: cv
model_name: resnet50
model_task: flowers102
num_classes: 102
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 16
learning_rate: 1e-05
learning_type: pruning
optimizer_type: adamw
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/flowers102/resnet50_flowers102_magnitude_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/resnet50/flowers102/resnet50_flowers102_baseline.pt

Epoch [1/5]: Avg Loss: 0.3464 | Avg Accuracy: 85.42 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.2736 | Avg Accuracy: 89.58 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.2564 | Avg Accuracy: 86.81 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.2096 | Avg Accuracy: 83.33 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.1797 | Avg Accuracy: 86.81 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.1790 | Avg Accuracy: 85.42 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.1487 | Avg Accuracy: 86.11 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.1350 | Avg Accuracy: 86.11 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.1274 | Avg Accuracy: 88.89 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.1217 | Avg Accuracy: 86.81 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.1119 | Avg Accuracy: 85.42 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 0.4344 | Avg Accuracy: 81.25 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.3093 | Avg Accuracy: 81.25 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.2447 | Avg Accuracy: 82.64 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.2269 | Avg Accuracy: 83.33 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.1895 | Avg Accuracy: 84.03 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.1741 | Avg Accuracy: 82.64 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.1477 | Avg Accuracy: 81.25 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.1460 | Avg Accuracy: 81.94 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.1362 | Avg Accuracy: 82.64 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.1278 | Avg Accuracy: 81.25 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.1143 | Avg Accuracy: 84.03 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 2.1105 | Avg Accuracy: 73.61 | Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 1.6280 | Avg Accuracy: 72.92 | Model Sparsity: 0.9079
Recovery epoch [2/10]: Avg Loss: 1.3960 | Avg Accuracy: 77.08 | Model Sparsity: 0.9079
Recovery epoch [3/10]: Avg Loss: 1.2016 | Avg Accuracy: 77.08 | Model Sparsity: 0.9079
Recovery epoch [4/10]: Avg Loss: 1.0750 | Avg Accuracy: 74.31 | Model Sparsity: 0.9079
Recovery epoch [5/10]: Avg Loss: 0.9982 | Avg Accuracy: 79.17 | Model Sparsity: 0.9079
Recovery epoch [6/10]: Avg Loss: 0.8747 | Avg Accuracy: 78.47 | Model Sparsity: 0.9079
Recovery epoch [7/10]: Avg Loss: 0.8470 | Avg Accuracy: 79.17 | Model Sparsity: 0.9079
Recovery epoch [8/10]: Avg Loss: 0.7606 | Avg Accuracy: 78.47 | Model Sparsity: 0.9079
Recovery epoch [9/10]: Avg Loss: 0.7301 | Avg Accuracy: 79.17 | Model Sparsity: 0.9079
Recovery epoch [10/10]: Avg Loss: 0.6470 | Avg Accuracy: 79.17 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Loss: 3.4734 | Avg Accuracy: 42.36 | Model Sparsity: 0.9622
Recovery epoch [1/10]: Avg Loss: 3.2285 | Avg Accuracy: 45.83 | Model Sparsity: 0.9622
Recovery epoch [2/10]: Avg Loss: 3.0271 | Avg Accuracy: 49.31 | Model Sparsity: 0.9622
Recovery epoch [3/10]: Avg Loss: 2.8945 | Avg Accuracy: 55.56 | Model Sparsity: 0.9622
Recovery epoch [4/10]: Avg Loss: 2.7559 | Avg Accuracy: 53.47 | Model Sparsity: 0.9622
Recovery epoch [5/10]: Avg Loss: 2.6588 | Avg Accuracy: 52.78 | Model Sparsity: 0.9622
Recovery epoch [6/10]: Avg Loss: 2.5293 | Avg Accuracy: 53.47 | Model Sparsity: 0.9622
Recovery epoch [7/10]: Avg Loss: 2.4455 | Avg Accuracy: 54.86 | Model Sparsity: 0.9622
Recovery epoch [8/10]: Avg Loss: 2.3630 | Avg Accuracy: 54.17 | Model Sparsity: 0.9622
Recovery epoch [9/10]: Avg Loss: 2.2846 | Avg Accuracy: 61.81 | Model Sparsity: 0.9622
Recovery epoch [10/10]: Avg Loss: 2.2274 | Avg Accuracy: 59.72 | Model Sparsity: 0.9622
Epoch [5/5]: Avg Loss: 2.5055 | Avg Accuracy: 40.28 | Model Sparsity: 0.97
Recovery epoch [1/10]: Avg Loss: 2.3458 | Avg Accuracy: 42.36 | Model Sparsity: 0.97
Recovery epoch [2/10]: Avg Loss: 2.2783 | Avg Accuracy: 45.83 | Model Sparsity: 0.97
Recovery epoch [3/10]: Avg Loss: 2.1927 | Avg Accuracy: 51.39 | Model Sparsity: 0.97
Recovery epoch [4/10]: Avg Loss: 2.1134 | Avg Accuracy: 50.00 | Model Sparsity: 0.97
Recovery epoch [5/10]: Avg Loss: 2.0571 | Avg Accuracy: 50.69 | Model Sparsity: 0.97
Recovery epoch [6/10]: Avg Loss: 2.0129 | Avg Accuracy: 52.78 | Model Sparsity: 0.97
Recovery epoch [7/10]: Avg Loss: 1.9686 | Avg Accuracy: 54.86 | Model Sparsity: 0.97
Recovery epoch [8/10]: Avg Loss: 1.9411 | Avg Accuracy: 56.25 | Model Sparsity: 0.97
Recovery epoch [9/10]: Avg Loss: 1.9036 | Avg Accuracy: 59.03 | Model Sparsity: 0.97
Recovery epoch [10/10]: Avg Loss: 1.8107 | Avg Accuracy: 58.33 | Model Sparsity: 0.97
