Model : resnet50 - Learning Type: flowers102/pruning/magnitude_pruning/0.99
Configuration:
model_type: cv
model_name: resnet50
model_task: flowers102
num_classes: 102
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 16
learning_rate: 0.0001
learning_type: pruning
optimizer_type: adamw
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/flowers102/resnet50_flowers102_magnitude_pruning_0.99_pruning.pt
finetuned_weights: /dbfs/research/resnet50/flowers102/resnet50_flowers102_baseline.pt

Epoch [1/5]: Avg Loss: 0.0757 | Avg Accuracy: 88.69 | Model Sparsity: 0.4831
Recovery epoch [1/10]: Avg Loss: 0.1475 | Avg Accuracy: 86.81 | Model Sparsity: 0.4831
Recovery epoch [2/10]: Avg Loss: 0.1437 | Avg Accuracy: 87.30 | Model Sparsity: 0.4831
Recovery epoch [3/10]: Avg Loss: 0.1556 | Avg Accuracy: 87.10 | Model Sparsity: 0.4831
Recovery epoch [4/10]: Avg Loss: 0.1350 | Avg Accuracy: 88.10 | Model Sparsity: 0.4831
Recovery epoch [5/10]: Avg Loss: 0.1024 | Avg Accuracy: 85.71 | Model Sparsity: 0.4831
Recovery epoch [6/10]: Avg Loss: 0.1516 | Avg Accuracy: 83.43 | Model Sparsity: 0.4831
Recovery epoch [7/10]: Avg Loss: 0.1798 | Avg Accuracy: 86.11 | Model Sparsity: 0.4831
Recovery epoch [8/10]: Avg Loss: 0.1407 | Avg Accuracy: 84.72 | Model Sparsity: 0.4831
Recovery epoch [9/10]: Avg Loss: 0.1477 | Avg Accuracy: 84.92 | Model Sparsity: 0.4831
Recovery epoch [10/10]: Avg Loss: 0.1171 | Avg Accuracy: 87.30 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Loss: 0.3830 | Avg Accuracy: 85.32 | Model Sparsity: 0.7762
Recovery epoch [1/10]: Avg Loss: 0.1597 | Avg Accuracy: 86.21 | Model Sparsity: 0.7762
Recovery epoch [2/10]: Avg Loss: 0.1624 | Avg Accuracy: 85.22 | Model Sparsity: 0.7762
Recovery epoch [3/10]: Avg Loss: 0.1337 | Avg Accuracy: 87.40 | Model Sparsity: 0.7762
Recovery epoch [4/10]: Avg Loss: 0.1450 | Avg Accuracy: 87.80 | Model Sparsity: 0.7762
Recovery epoch [5/10]: Avg Loss: 0.1237 | Avg Accuracy: 86.31 | Model Sparsity: 0.7762
Recovery epoch [6/10]: Avg Loss: 0.1032 | Avg Accuracy: 86.71 | Model Sparsity: 0.7762
Recovery epoch [7/10]: Avg Loss: 0.0812 | Avg Accuracy: 88.00 | Model Sparsity: 0.7762
Recovery epoch [8/10]: Avg Loss: 0.0863 | Avg Accuracy: 87.60 | Model Sparsity: 0.7762
Recovery epoch [9/10]: Avg Loss: 0.0899 | Avg Accuracy: 85.71 | Model Sparsity: 0.7762
Recovery epoch [10/10]: Avg Loss: 0.1190 | Avg Accuracy: 86.01 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Loss: 1.3445 | Avg Accuracy: 79.27 | Model Sparsity: 0.9266
Recovery epoch [1/10]: Avg Loss: 0.5602 | Avg Accuracy: 81.94 | Model Sparsity: 0.9266
Recovery epoch [2/10]: Avg Loss: 0.3842 | Avg Accuracy: 85.22 | Model Sparsity: 0.9266
Recovery epoch [3/10]: Avg Loss: 0.3053 | Avg Accuracy: 86.51 | Model Sparsity: 0.9266
Recovery epoch [4/10]: Avg Loss: 0.2656 | Avg Accuracy: 85.02 | Model Sparsity: 0.9266
Recovery epoch [5/10]: Avg Loss: 0.2109 | Avg Accuracy: 85.62 | Model Sparsity: 0.9266
Recovery epoch [6/10]: Avg Loss: 0.2218 | Avg Accuracy: 84.92 | Model Sparsity: 0.9266
Recovery epoch [7/10]: Avg Loss: 0.1891 | Avg Accuracy: 85.71 | Model Sparsity: 0.9266
Recovery epoch [8/10]: Avg Loss: 0.1788 | Avg Accuracy: 85.91 | Model Sparsity: 0.9266
Recovery epoch [9/10]: Avg Loss: 0.1628 | Avg Accuracy: 86.31 | Model Sparsity: 0.9266
