Model : resnet50 - Learning Type: flowers102/pruning/movement_pruning/0.97
Configuration:
model_type: cv
model_name: resnet50
model_task: flowers102
num_classes: 102
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 16
learning_rate: 0.0001
learning_type: pruning
optimizer_type: adamw
prune: True
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/flowers102/resnet50_flowers102_movement_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/resnet50/flowers102/resnet50_flowers102_baseline.pt

Epoch [1/5]: Avg Loss: 0.2317 | Avg Accuracy: 85.42 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.1984 | Avg Accuracy: 86.71 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.1781 | Avg Accuracy: 87.30 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.1388 | Avg Accuracy: 86.31 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.2182 | Avg Accuracy: 85.91 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.2034 | Avg Accuracy: 84.13 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.2324 | Avg Accuracy: 86.90 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.1651 | Avg Accuracy: 84.33 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.2040 | Avg Accuracy: 83.13 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.1563 | Avg Accuracy: 84.72 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.1671 | Avg Accuracy: 84.92 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 0.5556 | Avg Accuracy: 80.95 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.3213 | Avg Accuracy: 84.62 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.2184 | Avg Accuracy: 87.20 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.1847 | Avg Accuracy: 87.00 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.2086 | Avg Accuracy: 86.31 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.1869 | Avg Accuracy: 86.41 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.1765 | Avg Accuracy: 87.60 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.1684 | Avg Accuracy: 85.42 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.1541 | Avg Accuracy: 87.00 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.1569 | Avg Accuracy: 86.51 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.1393 | Avg Accuracy: 85.32 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 1.3301 | Avg Accuracy: 75.99 | Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 0.6093 | Avg Accuracy: 79.66 | Model Sparsity: 0.9079
Recovery epoch [2/10]: Avg Loss: 0.4381 | Avg Accuracy: 84.62 | Model Sparsity: 0.9079
Recovery epoch [3/10]: Avg Loss: 0.3650 | Avg Accuracy: 82.94 | Model Sparsity: 0.9079
Recovery epoch [4/10]: Avg Loss: 0.3095 | Avg Accuracy: 83.63 | Model Sparsity: 0.9079
Recovery epoch [5/10]: Avg Loss: 0.2912 | Avg Accuracy: 83.04 | Model Sparsity: 0.9079
Recovery epoch [6/10]: Avg Loss: 0.2451 | Avg Accuracy: 84.33 | Model Sparsity: 0.9079
Recovery epoch [7/10]: Avg Loss: 0.2186 | Avg Accuracy: 86.51 | Model Sparsity: 0.9079
Recovery epoch [8/10]: Avg Loss: 0.1996 | Avg Accuracy: 83.53 | Model Sparsity: 0.9079
Recovery epoch [9/10]: Avg Loss: 0.2121 | Avg Accuracy: 84.62 | Model Sparsity: 0.9079
Recovery epoch [10/10]: Avg Loss: 0.2462 | Avg Accuracy: 83.63 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Loss: 1.7865 | Avg Accuracy: 68.25 | Model Sparsity: 0.9622
Recovery epoch [1/10]: Avg Loss: 1.0270 | Avg Accuracy: 76.59 | Model Sparsity: 0.9622
Recovery epoch [2/10]: Avg Loss: 0.7799 | Avg Accuracy: 76.88 | Model Sparsity: 0.9622
Recovery epoch [3/10]: Avg Loss: 0.6201 | Avg Accuracy: 76.19 | Model Sparsity: 0.9622
Recovery epoch [4/10]: Avg Loss: 0.5193 | Avg Accuracy: 78.08 | Model Sparsity: 0.9622
Recovery epoch [5/10]: Avg Loss: 0.4791 | Avg Accuracy: 81.85 | Model Sparsity: 0.9622
Recovery epoch [6/10]: Avg Loss: 0.4199 | Avg Accuracy: 79.46 | Model Sparsity: 0.9622
Recovery epoch [7/10]: Avg Loss: 0.4133 | Avg Accuracy: 80.36 | Model Sparsity: 0.9622
Recovery epoch [8/10]: Avg Loss: 0.3686 | Avg Accuracy: 79.27 | Model Sparsity: 0.9622
Recovery epoch [9/10]: Avg Loss: 0.3478 | Avg Accuracy: 82.74 | Model Sparsity: 0.9622
Recovery epoch [10/10]: Avg Loss: 0.3342 | Avg Accuracy: 80.65 | Model Sparsity: 0.9622
