Model : resnet50 - Learning Type: fmnist/bacp_finetune/movement_pruning/0.99
Configuration:
model_type: cv
model_name: resnet50
model_task: fmnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/fmnist/resnet50_fmnist_movement_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet50/fmnist/resnet50_fmnist_movement_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.9225 | Avg Accuracy: 95.83 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 0.1883 | Avg Accuracy: 96.40 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 0.1232 | Avg Accuracy: 96.40 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 0.0984 | Avg Accuracy: 96.60 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 0.0849 | Avg Accuracy: 96.50 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 0.0761 | Avg Accuracy: 96.62 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 0.0678 | Avg Accuracy: 96.52 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 0.0614 | Avg Accuracy: 96.61 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 0.0561 | Avg Accuracy: 96.70 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 0.0523 | Avg Accuracy: 96.50 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 0.0484 | Avg Accuracy: 96.53 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 0.0431 | Avg Accuracy: 96.61 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 0.0396 | Avg Accuracy: 96.47 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 0.0378 | Avg Accuracy: 96.44 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.0359 | Avg Accuracy: 96.31 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 0.0317 | Avg Accuracy: 96.35 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 0.0298 | Avg Accuracy: 96.32 | Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 0.0280 | Avg Accuracy: 96.61 | Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 0.0255 | Avg Accuracy: 96.43 | Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 0.0246 | Avg Accuracy: 96.40 | Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 0.0212 | Avg Accuracy: 96.28 | Model Sparsity: 0.99
Epoch [22/50]: Avg Loss: 0.0208 | Avg Accuracy: 96.19 | Model Sparsity: 0.99
Epoch [23/50]: Avg Loss: 0.0199 | Avg Accuracy: 96.31 | Model Sparsity: 0.99
Epoch [24/50]: Avg Loss: 0.0208 | Avg Accuracy: 96.04 | Model Sparsity: 0.99
Epoch [25/50]: Avg Loss: 0.0178 | Avg Accuracy: 96.22 | Model Sparsity: 0.99
Epoch [26/50]: Avg Loss: 0.0150 | Avg Accuracy: 96.69 | Model Sparsity: 0.99
Epoch [27/50]: Avg Loss: 0.0150 | Avg Accuracy: 95.76 | Model Sparsity: 0.99
Epoch [28/50]: Avg Loss: 0.0142 | Avg Accuracy: 96.07 | Model Sparsity: 0.99
Epoch [29/50]: Avg Loss: 0.0126 | Avg Accuracy: 96.37 | Model Sparsity: 0.99
