Model : resnet50 - Learning Type: fmnist/pruning/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: resnet50
model_task: fmnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/fmnist/resnet50_fmnist_magnitude_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/resnet50/fmnist/resnet50_fmnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.0008 | Avg Accuracy: 93.82 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.0015 | Avg Accuracy: 93.41 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.0042 | Avg Accuracy: 93.24 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.0113 | Avg Accuracy: 92.53 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.0226 | Avg Accuracy: 92.73 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.0263 | Avg Accuracy: 92.06 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.0157 | Avg Accuracy: 93.50 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.0152 | Avg Accuracy: 93.03 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.0156 | Avg Accuracy: 93.14 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.0122 | Avg Accuracy: 92.69 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.0129 | Avg Accuracy: 92.54 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.0656 | Avg Accuracy: 92.65 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.0306 | Avg Accuracy: 90.10 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.0264 | Avg Accuracy: 92.35 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.0239 | Avg Accuracy: 92.75 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.0141 | Avg Accuracy: 91.35 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.0158 | Avg Accuracy: 92.99 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.0159 | Avg Accuracy: 93.32 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.0135 | Avg Accuracy: 93.43 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.0128 | Avg Accuracy: 93.58 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.0129 | Avg Accuracy: 92.95 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.0116 | Avg Accuracy: 91.19 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 0.1470 | Avg Accuracy: 92.02 | Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 0.0672 | Avg Accuracy: 92.58 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 0.0471 | Avg Accuracy: 91.59 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 0.0355 | Avg Accuracy: 92.91 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 0.0292 | Avg Accuracy: 92.37 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 0.0303 | Avg Accuracy: 92.92 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 0.0247 | Avg Accuracy: 93.06 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 0.0222 | Avg Accuracy: 92.38 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 0.0173 | Avg Accuracy: 92.54 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 0.0174 | Avg Accuracy: 92.80 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 0.0175 | Avg Accuracy: 92.95 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: 0.1309 | Avg Accuracy: 92.30 | Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: 0.0622 | Avg Accuracy: 91.79 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: 0.0473 | Avg Accuracy: 92.65 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: 0.0347 | Avg Accuracy: 93.08 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: 0.0275 | Avg Accuracy: 92.87 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: 0.0249 | Avg Accuracy: 92.95 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: 0.0239 | Avg Accuracy: 92.65 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: 0.0223 | Avg Accuracy: 91.59 | Model Sparsity: 0.9424
