Model : resnet50 - Learning Type: food101/baseline
Configuration:
model_type: cv
model_name: resnet50
model_task: food101
num_classes: 101
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 100
pruning_epochs: 100
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: sgd
total_steps: 12500
warmup_steps: 1250
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/food101/resnet50_food101_baseline.pt

Epoch [1/100]: Avg Loss: 4.6747 | Avg Accuracy: 1.41 | Model Sparsity: 0.0
Epoch [2/100]: Avg Loss: 4.5186 | Avg Accuracy: 6.52 | Model Sparsity: 0.0
Epoch [3/100]: Avg Loss: 4.1275 | Avg Accuracy: 11.72 | Model Sparsity: 0.0
Epoch [4/100]: Avg Loss: 3.7265 | Avg Accuracy: 16.34 | Model Sparsity: 0.0
Epoch [5/100]: Avg Loss: 3.3793 | Avg Accuracy: 21.31 | Model Sparsity: 0.0
Epoch [6/100]: Avg Loss: 3.0973 | Avg Accuracy: 26.46 | Model Sparsity: 0.0
Epoch [7/100]: Avg Loss: 2.8679 | Avg Accuracy: 27.81 | Model Sparsity: 0.0
Epoch [8/100]: Avg Loss: 2.6778 | Avg Accuracy: 30.26 | Model Sparsity: 0.0
Epoch [9/100]: Avg Loss: 2.5032 | Avg Accuracy: 32.71 | Model Sparsity: 0.0
Epoch [10/100]: Avg Loss: 2.3560 | Avg Accuracy: 33.09 | Model Sparsity: 0.0
Epoch [11/100]: Avg Loss: 2.2165 | Avg Accuracy: 35.10 | Model Sparsity: 0.0
Epoch [12/100]: Avg Loss: 2.0755 | Avg Accuracy: 36.63 | Model Sparsity: 0.0
Epoch [13/100]: Avg Loss: 1.9318 | Avg Accuracy: 35.24 | Model Sparsity: 0.0
Epoch [14/100]: Avg Loss: 1.8192 | Avg Accuracy: 36.88 | Model Sparsity: 0.0
Epoch [15/100]: Avg Loss: 1.6982 | Avg Accuracy: 37.75 | Model Sparsity: 0.0
Epoch [16/100]: Avg Loss: 1.5892 | Avg Accuracy: 38.33 | Model Sparsity: 0.0
Epoch [17/100]: Avg Loss: 1.4733 | Avg Accuracy: 37.62 | Model Sparsity: 0.0
Epoch [18/100]: Avg Loss: 1.3636 | Avg Accuracy: 37.89 | Model Sparsity: 0.0
Epoch [19/100]: Avg Loss: 1.2682 | Avg Accuracy: 38.06 | Model Sparsity: 0.0
Epoch [20/100]: Avg Loss: 1.1676 | Avg Accuracy: 38.64 | Model Sparsity: 0.0
