Model : resnet50 - Learning Type: mnist/bacp_finetune/movement_pruning/0.99
Configuration:
model_type: cv
model_name: resnet50
model_task: mnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/mnist/resnet50_mnist_movement_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet50/mnist/resnet50_mnist_movement_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.6753 | Avg Accuracy: 99.52 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 0.0548 | Avg Accuracy: 99.61 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 0.0242 | Avg Accuracy: 99.69 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 0.0150 | Avg Accuracy: 99.59 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 0.0108 | Avg Accuracy: 99.60 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 0.0082 | Avg Accuracy: 99.54 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 0.0065 | Avg Accuracy: 99.57 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 0.0055 | Avg Accuracy: 99.69 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 0.0047 | Avg Accuracy: 99.69 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 0.0044 | Avg Accuracy: 99.67 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 0.0034 | Avg Accuracy: 99.60 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 0.0034 | Avg Accuracy: 99.63 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 0.0031 | Avg Accuracy: 99.63 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 0.0030 | Avg Accuracy: 99.63 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.0030 | Avg Accuracy: 99.68 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 0.0022 | Avg Accuracy: 99.61 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 0.0023 | Avg Accuracy: 99.63 | Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 0.0020 | Avg Accuracy: 99.68 | Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 0.0024 | Avg Accuracy: 99.55 | Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 0.0021 | Avg Accuracy: 99.53 | Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 0.0015 | Avg Accuracy: 99.59 | Model Sparsity: 0.99
Epoch [22/50]: Avg Loss: 0.0015 | Avg Accuracy: 99.67 | Model Sparsity: 0.99
Epoch [23/50]: Avg Loss: 0.0016 | Avg Accuracy: 99.64 | Model Sparsity: 0.99
