Model : resnet50 - Learning Type: mnist/bacp_pruning/magnitude_pruning/0.99
Configuration:
model_name: resnet50
model_task: mnist
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 99
val_batches: 17
current_model_path: /dbfs/research/resnet50/mnist/resnet50_mnist_magnitude_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 7.7188 | Avg PrC Loss: 3.6263 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 4.0243 | Avg CE Loss: 0.0682 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 9.6579 | Avg PrC Loss: 3.3962 | Avg SnC Loss: 3.0757 | Avg FiC Loss: 3.1709 | Avg CE Loss: 0.0151 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 9.1391 | Avg PrC Loss: 3.3043 | Avg SnC Loss: 3.1034 | Avg FiC Loss: 2.7221 | Avg CE Loss: 0.0093 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 9.1074 | Avg PrC Loss: 3.2883 | Avg SnC Loss: 3.1107 | Avg FiC Loss: 2.7024 | Avg CE Loss: 0.0059 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 9.0876 | Avg PrC Loss: 3.2776 | Avg SnC Loss: 3.1170 | Avg FiC Loss: 2.6881 | Avg CE Loss: 0.0048 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 9.0591 | Avg PrC Loss: 3.2622 | Avg SnC Loss: 3.1248 | Avg FiC Loss: 2.6679 | Avg CE Loss: 0.0041 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 9.0119 | Avg PrC Loss: 3.2368 | Avg SnC Loss: 3.1374 | Avg FiC Loss: 2.6336 | Avg CE Loss: 0.0041 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 8.9645 | Avg PrC Loss: 3.2147 | Avg SnC Loss: 3.1507 | Avg FiC Loss: 2.5950 | Avg CE Loss: 0.0041 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 8.9270 | Avg PrC Loss: 3.1992 | Avg SnC Loss: 3.1621 | Avg FiC Loss: 2.5615 | Avg CE Loss: 0.0042 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 8.8971 | Avg PrC Loss: 3.1878 | Avg SnC Loss: 3.1705 | Avg FiC Loss: 2.5345 | Avg CE Loss: 0.0042 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 8.8722 | Avg PrC Loss: 3.1798 | Avg SnC Loss: 3.1775 | Avg FiC Loss: 2.5106 | Avg CE Loss: 0.0043 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 8.8643 | Avg PrC Loss: 3.1767 | Avg SnC Loss: 3.1809 | Avg FiC Loss: 2.5020 | Avg CE Loss: 0.0047 | Model Sparsity: 0.7762
Retraining Epoch [1/10]: Avg Total Loss: 11.0091 | Avg PrC Loss: 3.1849 | Avg SnC Loss: 5.3800 | Avg FiC Loss: 2.4389 | Avg CE Loss: 0.0054 | Model Sparsity: 0.7762
Retraining Epoch [2/10]: Avg Total Loss: 10.9971 | Avg PrC Loss: 3.1808 | Avg SnC Loss: 5.3818 | Avg FiC Loss: 2.4289 | Avg CE Loss: 0.0056 | Model Sparsity: 0.7762
Retraining Epoch [3/10]: Avg Total Loss: 10.9926 | Avg PrC Loss: 3.1783 | Avg SnC Loss: 5.3839 | Avg FiC Loss: 2.4245 | Avg CE Loss: 0.0059 | Model Sparsity: 0.7762
Retraining Epoch [4/10]: Avg Total Loss: 10.9879 | Avg PrC Loss: 3.1764 | Avg SnC Loss: 5.3854 | Avg FiC Loss: 2.4199 | Avg CE Loss: 0.0063 | Model Sparsity: 0.7762
Retraining Epoch [5/10]: Avg Total Loss: 10.9821 | Avg PrC Loss: 3.1738 | Avg SnC Loss: 5.3859 | Avg FiC Loss: 2.4157 | Avg CE Loss: 0.0065 | Model Sparsity: 0.7762
Retraining Epoch [6/10]: Avg Total Loss: 10.9826 | Avg PrC Loss: 3.1729 | Avg SnC Loss: 5.3881 | Avg FiC Loss: 2.4144 | Avg CE Loss: 0.0072 | Model Sparsity: 0.7762
