Model : resnet50 - Learning Type: mnist/baseline
Configuration:
model_type: cv
model_name: resnet50
model_task: mnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 100
pruning_epochs: 100
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: sgd
total_steps: 9900
warmup_steps: 990
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/mnist/resnet50_mnist_baseline.pt

Epoch [1/100]: Avg Loss: 1.5319 | Avg Accuracy: 90.73 | Model Sparsity: 0.0
Epoch [2/100]: Avg Loss: 0.1687 | Avg Accuracy: 97.39 | Model Sparsity: 0.0
Epoch [3/100]: Avg Loss: 0.0633 | Avg Accuracy: 98.21 | Model Sparsity: 0.0
Epoch [4/100]: Avg Loss: 0.0388 | Avg Accuracy: 98.55 | Model Sparsity: 0.0
Epoch [5/100]: Avg Loss: 0.0277 | Avg Accuracy: 98.54 | Model Sparsity: 0.0
Epoch [6/100]: Avg Loss: 0.0209 | Avg Accuracy: 98.67 | Model Sparsity: 0.0
Epoch [7/100]: Avg Loss: 0.0179 | Avg Accuracy: 98.81 | Model Sparsity: 0.0
Epoch [8/100]: Avg Loss: 0.0127 | Avg Accuracy: 98.92 | Model Sparsity: 0.0
Epoch [9/100]: Avg Loss: 0.0125 | Avg Accuracy: 99.00 | Model Sparsity: 0.0
Epoch [10/100]: Avg Loss: 0.0111 | Avg Accuracy: 98.81 | Model Sparsity: 0.0
Epoch [11/100]: Avg Loss: 0.0102 | Avg Accuracy: 98.72 | Model Sparsity: 0.0
Epoch [12/100]: Avg Loss: 0.0093 | Avg Accuracy: 99.07 | Model Sparsity: 0.0
Epoch [13/100]: Avg Loss: 0.0076 | Avg Accuracy: 99.18 | Model Sparsity: 0.0
Epoch [14/100]: Avg Loss: 0.0066 | Avg Accuracy: 99.00 | Model Sparsity: 0.0
Epoch [15/100]: Avg Loss: 0.0037 | Avg Accuracy: 99.06 | Model Sparsity: 0.0
Epoch [16/100]: Avg Loss: 0.0041 | Avg Accuracy: 99.20 | Model Sparsity: 0.0
Epoch [17/100]: Avg Loss: 0.0039 | Avg Accuracy: 99.18 | Model Sparsity: 0.0
Epoch [18/100]: Avg Loss: 0.0033 | Avg Accuracy: 99.06 | Model Sparsity: 0.0
Epoch [19/100]: Avg Loss: 0.0033 | Avg Accuracy: 99.01 | Model Sparsity: 0.0
Epoch [20/100]: Avg Loss: 0.0026 | Avg Accuracy: 99.21 | Model Sparsity: 0.0
Epoch [21/100]: Avg Loss: 0.0024 | Avg Accuracy: 98.99 | Model Sparsity: 0.0
Epoch [22/100]: Avg Loss: 0.0019 | Avg Accuracy: 99.33 | Model Sparsity: 0.0
Epoch [23/100]: Avg Loss: 0.0015 | Avg Accuracy: 99.21 | Model Sparsity: 0.0
Epoch [24/100]: Avg Loss: 0.0017 | Avg Accuracy: 99.14 | Model Sparsity: 0.0
Epoch [25/100]: Avg Loss: 0.0021 | Avg Accuracy: 99.02 | Model Sparsity: 0.0
Epoch [26/100]: Avg Loss: 0.0017 | Avg Accuracy: 99.15 | Model Sparsity: 0.0
Epoch [27/100]: Avg Loss: 0.0011 | Avg Accuracy: 99.28 | Model Sparsity: 0.0
Epoch [28/100]: Avg Loss: 0.0008 | Avg Accuracy: 99.23 | Model Sparsity: 0.0
Epoch [29/100]: Avg Loss: 0.0017 | Avg Accuracy: 99.14 | Model Sparsity: 0.0
Epoch [30/100]: Avg Loss: 0.0010 | Avg Accuracy: 99.22 | Model Sparsity: 0.0
Epoch [31/100]: Avg Loss: 0.0007 | Avg Accuracy: 99.29 | Model Sparsity: 0.0
Epoch [32/100]: Avg Loss: 0.0010 | Avg Accuracy: 99.12 | Model Sparsity: 0.0
Epoch [33/100]: Avg Loss: 0.0007 | Avg Accuracy: 99.31 | Model Sparsity: 0.0
Epoch [34/100]: Avg Loss: 0.0012 | Avg Accuracy: 99.25 | Model Sparsity: 0.0
Epoch [35/100]: Avg Loss: 0.0011 | Avg Accuracy: 99.23 | Model Sparsity: 0.0
Epoch [36/100]: Avg Loss: 0.0009 | Avg Accuracy: 99.10 | Model Sparsity: 0.0
Epoch [37/100]: Avg Loss: 0.0008 | Avg Accuracy: 99.12 | Model Sparsity: 0.0
Epoch [38/100]: Avg Loss: 0.0007 | Avg Accuracy: 99.22 | Model Sparsity: 0.0
Epoch [39/100]: Avg Loss: 0.0006 | Avg Accuracy: 99.29 | Model Sparsity: 0.0
Epoch [40/100]: Avg Loss: 0.0003 | Avg Accuracy: 99.29 | Model Sparsity: 0.0
Epoch [41/100]: Avg Loss: 0.0005 | Avg Accuracy: 99.25 | Model Sparsity: 0.0
Epoch [42/100]: Avg Loss: 0.0004 | Avg Accuracy: 99.22 | Model Sparsity: 0.0
