Model : resnet50 - Learning Type: mnist/pruning/movement_pruning/0.95
Configuration:
model_type: cv
model_name: resnet50
model_task: mnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/mnist/resnet50_mnist_movement_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/resnet50/mnist/resnet50_mnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.0068 | Avg Accuracy: 99.08 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.0034 | Avg Accuracy: 99.36 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.0034 | Avg Accuracy: 99.12 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.0024 | Avg Accuracy: 99.13 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.0023 | Avg Accuracy: 99.09 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.0025 | Avg Accuracy: 99.13 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.0024 | Avg Accuracy: 98.98 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.0035 | Avg Accuracy: 99.10 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.0023 | Avg Accuracy: 99.22 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.0020 | Avg Accuracy: 99.23 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.0014 | Avg Accuracy: 99.29 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.0251 | Avg Accuracy: 99.18 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.0067 | Avg Accuracy: 98.99 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.0048 | Avg Accuracy: 99.14 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.0042 | Avg Accuracy: 99.05 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.0050 | Avg Accuracy: 99.06 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.0046 | Avg Accuracy: 99.15 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.0031 | Avg Accuracy: 99.12 | Model Sparsity: 0.7448
