Model : resnet50 - Learning Type: pruning
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
delta_t: 41
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_magnitude_pruning_0.99.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_baseline.pt
current_sparsity: 0.0

Epoch [1/5]: Avg Loss: 0.0806 | Avg Accuracy: 15.05 | Model Sparsity: 0.88
Recovery epoch [1/10]: Avg Loss: 0.2547 | Avg Accuracy: 93.86 | Model Sparsity: 0.88
Recovery epoch [2/10]: Avg Loss: 0.1229 | Avg Accuracy: 94.66 | Model Sparsity: 0.88
Recovery epoch [3/10]: Avg Loss: 0.0938 | Avg Accuracy: 94.87 | Model Sparsity: 0.88
Recovery epoch [4/10]: Avg Loss: 0.0779 | Avg Accuracy: 95.16 | Model Sparsity: 0.88
Recovery epoch [5/10]: Avg Loss: 0.0703 | Avg Accuracy: 94.88 | Model Sparsity: 0.88
Recovery epoch [6/10]: Avg Loss: 0.0618 | Avg Accuracy: 95.10 | Model Sparsity: 0.88
Recovery epoch [7/10]: Avg Loss: 0.0594 | Avg Accuracy: 95.26 | Model Sparsity: 0.88
Recovery epoch [8/10]: Avg Loss: 0.0495 | Avg Accuracy: 95.58 | Model Sparsity: 0.88
Recovery epoch [9/10]: Avg Loss: 0.0431 | Avg Accuracy: 94.13 | Model Sparsity: 0.88
Recovery epoch [10/10]: Avg Loss: 0.0474 | Avg Accuracy: 94.45 | Model Sparsity: 0.88
Epoch [2/5]: Avg Loss: 0.1299 | Avg Accuracy: 12.30 | Model Sparsity: 0.98
Recovery epoch [1/10]: Avg Loss: 0.6175 | Avg Accuracy: 84.89 | Model Sparsity: 0.98
Recovery epoch [2/10]: Avg Loss: 0.3225 | Avg Accuracy: 86.72 | Model Sparsity: 0.98
Recovery epoch [3/10]: Avg Loss: 0.2690 | Avg Accuracy: 87.64 | Model Sparsity: 0.98
Recovery epoch [4/10]: Avg Loss: 0.2397 | Avg Accuracy: 88.95 | Model Sparsity: 0.98
