Model : resnet50 - Learning Type: svhn/bacp_finetune/magnitude_pruning/0.99
Configuration:
model_type: cv
model_name: resnet50
model_task: svhn
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/svhn/resnet50_svhn_magnitude_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet50/svhn/resnet50_svhn_magnitude_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.9542 | Avg Accuracy: 91.52 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 0.2995 | Avg Accuracy: 92.73 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 0.2385 | Avg Accuracy: 93.11 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 0.2137 | Avg Accuracy: 93.48 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 0.1985 | Avg Accuracy: 93.85 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 0.1901 | Avg Accuracy: 94.08 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 0.1841 | Avg Accuracy: 94.33 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 0.1754 | Avg Accuracy: 94.46 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 0.1696 | Avg Accuracy: 94.35 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 0.1663 | Avg Accuracy: 94.17 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 0.1621 | Avg Accuracy: 94.62 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 0.1584 | Avg Accuracy: 94.84 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 0.1546 | Avg Accuracy: 94.71 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 0.1509 | Avg Accuracy: 94.65 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.1499 | Avg Accuracy: 94.88 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 0.1467 | Avg Accuracy: 94.88 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 0.1456 | Avg Accuracy: 94.79 | Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 0.1418 | Avg Accuracy: 95.00 | Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 0.1373 | Avg Accuracy: 94.78 | Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 0.1387 | Avg Accuracy: 94.83 | Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 0.1381 | Avg Accuracy: 94.98 | Model Sparsity: 0.99
Epoch [22/50]: Avg Loss: 0.1323 | Avg Accuracy: 94.83 | Model Sparsity: 0.99
