Model : resnet50 - Learning Type: svhn/bacp_pruning/magnitude_pruning/0.97
Configuration:
model_name: resnet50
model_task: svhn
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 121
val_batches: 21
current_model_path: /dbfs/research/resnet50/svhn/resnet50_svhn_magnitude_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 8.0622 | Avg PrC Loss: 3.7647 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 4.0271 | Avg CE Loss: 0.2703 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 11.0455 | Avg PrC Loss: 3.7224 | Avg SnC Loss: 3.4585 | Avg FiC Loss: 3.7712 | Avg CE Loss: 0.0934 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 10.2261 | Avg PrC Loss: 3.6127 | Avg SnC Loss: 3.4910 | Avg FiC Loss: 3.0350 | Avg CE Loss: 0.0875 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 9.9683 | Avg PrC Loss: 3.5226 | Avg SnC Loss: 3.5185 | Avg FiC Loss: 2.8562 | Avg CE Loss: 0.0710 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 9.8746 | Avg PrC Loss: 3.4647 | Avg SnC Loss: 3.5397 | Avg FiC Loss: 2.8090 | Avg CE Loss: 0.0612 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 9.8004 | Avg PrC Loss: 3.4067 | Avg SnC Loss: 3.5620 | Avg FiC Loss: 2.7726 | Avg CE Loss: 0.0591 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 9.7136 | Avg PrC Loss: 3.3557 | Avg SnC Loss: 3.5847 | Avg FiC Loss: 2.7185 | Avg CE Loss: 0.0547 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 9.6399 | Avg PrC Loss: 3.3067 | Avg SnC Loss: 3.6075 | Avg FiC Loss: 2.6718 | Avg CE Loss: 0.0539 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 9.5874 | Avg PrC Loss: 3.2787 | Avg SnC Loss: 3.6220 | Avg FiC Loss: 2.6346 | Avg CE Loss: 0.0521 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 9.5511 | Avg PrC Loss: 3.2597 | Avg SnC Loss: 3.6320 | Avg FiC Loss: 2.6082 | Avg CE Loss: 0.0511 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 9.5324 | Avg PrC Loss: 3.2483 | Avg SnC Loss: 3.6380 | Avg FiC Loss: 2.5946 | Avg CE Loss: 0.0514 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Total Loss: 9.5013 | Avg PrC Loss: 3.2374 | Avg SnC Loss: 3.6423 | Avg FiC Loss: 2.5745 | Avg CE Loss: 0.0471 | Model Sparsity: 0.7605
Retraining Epoch [1/10]: Avg Total Loss: 11.6919 | Avg PrC Loss: 3.2392 | Avg SnC Loss: 5.8855 | Avg FiC Loss: 2.5175 | Avg CE Loss: 0.0496 | Model Sparsity: 0.7605
Retraining Epoch [2/10]: Avg Total Loss: 11.6893 | Avg PrC Loss: 3.2356 | Avg SnC Loss: 5.8904 | Avg FiC Loss: 2.5132 | Avg CE Loss: 0.0501 | Model Sparsity: 0.7605
Retraining Epoch [3/10]: Avg Total Loss: 11.6827 | Avg PrC Loss: 3.2331 | Avg SnC Loss: 5.8907 | Avg FiC Loss: 2.5088 | Avg CE Loss: 0.0502 | Model Sparsity: 0.7605
Retraining Epoch [4/10]: Avg Total Loss: 11.6776 | Avg PrC Loss: 3.2305 | Avg SnC Loss: 5.8916 | Avg FiC Loss: 2.5055 | Avg CE Loss: 0.0500 | Model Sparsity: 0.7605
Retraining Epoch [5/10]: Avg Total Loss: 11.6747 | Avg PrC Loss: 3.2287 | Avg SnC Loss: 5.8922 | Avg FiC Loss: 2.5038 | Avg CE Loss: 0.0500 | Model Sparsity: 0.7605
Retraining Epoch [6/10]: Avg Total Loss: 11.6664 | Avg PrC Loss: 3.2271 | Avg SnC Loss: 5.8915 | Avg FiC Loss: 2.4983 | Avg CE Loss: 0.0495 | Model Sparsity: 0.7605
Retraining Epoch [7/10]: Avg Total Loss: 11.6721 | Avg PrC Loss: 3.2263 | Avg SnC Loss: 5.8941 | Avg FiC Loss: 2.5013 | Avg CE Loss: 0.0504 | Model Sparsity: 0.7605
Retraining Epoch [8/10]: Avg Total Loss: 11.6725 | Avg PrC Loss: 3.2256 | Avg SnC Loss: 5.8952 | Avg FiC Loss: 2.5006 | Avg CE Loss: 0.0511 | Model Sparsity: 0.7605
Retraining Epoch [9/10]: Avg Total Loss: 11.6702 | Avg PrC Loss: 3.2236 | Avg SnC Loss: 5.8951 | Avg FiC Loss: 2.5004 | Avg CE Loss: 0.0512 | Model Sparsity: 0.7605
Retraining Epoch [10/10]: Avg Total Loss: 11.6686 | Avg PrC Loss: 3.2230 | Avg SnC Loss: 5.8954 | Avg FiC Loss: 2.4986 | Avg CE Loss: 0.0515 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Total Loss: 11.6636 | Avg PrC Loss: 3.2213 | Avg SnC Loss: 5.8943 | Avg FiC Loss: 2.4961 | Avg CE Loss: 0.0519 | Model Sparsity: 0.9079
Retraining Epoch [1/10]: Avg Total Loss: 13.7413 | Avg PrC Loss: 3.2341 | Avg SnC Loss: 7.9880 | Avg FiC Loss: 2.4670 | Avg CE Loss: 0.0522 | Model Sparsity: 0.9079
Retraining Epoch [2/10]: Avg Total Loss: 13.7529 | Avg PrC Loss: 3.2324 | Avg SnC Loss: 7.9963 | Avg FiC Loss: 2.4710 | Avg CE Loss: 0.0532 | Model Sparsity: 0.9079
Retraining Epoch [3/10]: Avg Total Loss: 13.7464 | Avg PrC Loss: 3.2330 | Avg SnC Loss: 7.9930 | Avg FiC Loss: 2.4682 | Avg CE Loss: 0.0523 | Model Sparsity: 0.9079
Retraining Epoch [4/10]: Avg Total Loss: 13.7306 | Avg PrC Loss: 3.2313 | Avg SnC Loss: 7.9858 | Avg FiC Loss: 2.4629 | Avg CE Loss: 0.0507 | Model Sparsity: 0.9079
Retraining Epoch [5/10]: Avg Total Loss: 13.7259 | Avg PrC Loss: 3.2297 | Avg SnC Loss: 7.9854 | Avg FiC Loss: 2.4611 | Avg CE Loss: 0.0497 | Model Sparsity: 0.9079
Retraining Epoch [6/10]: Avg Total Loss: 13.7288 | Avg PrC Loss: 3.2301 | Avg SnC Loss: 7.9859 | Avg FiC Loss: 2.4623 | Avg CE Loss: 0.0506 | Model Sparsity: 0.9079
Retraining Epoch [7/10]: Avg Total Loss: 13.7287 | Avg PrC Loss: 3.2299 | Avg SnC Loss: 7.9865 | Avg FiC Loss: 2.4622 | Avg CE Loss: 0.0501 | Model Sparsity: 0.9079
Retraining Epoch [8/10]: Avg Total Loss: 13.7172 | Avg PrC Loss: 3.2295 | Avg SnC Loss: 7.9815 | Avg FiC Loss: 2.4576 | Avg CE Loss: 0.0487 | Model Sparsity: 0.9079
Retraining Epoch [9/10]: Avg Total Loss: 13.7209 | Avg PrC Loss: 3.2289 | Avg SnC Loss: 7.9835 | Avg FiC Loss: 2.4593 | Avg CE Loss: 0.0493 | Model Sparsity: 0.9079
Retraining Epoch [10/10]: Avg Total Loss: 13.7264 | Avg PrC Loss: 3.2302 | Avg SnC Loss: 7.9862 | Avg FiC Loss: 2.4601 | Avg CE Loss: 0.0500 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Total Loss: 13.7427 | Avg PrC Loss: 3.2307 | Avg SnC Loss: 7.9904 | Avg FiC Loss: 2.4653 | Avg CE Loss: 0.0563 | Model Sparsity: 0.9622
Retraining Epoch [1/10]: Avg Total Loss: 15.7423 | Avg PrC Loss: 3.2453 | Avg SnC Loss: 9.9921 | Avg FiC Loss: 2.4497 | Avg CE Loss: 0.0552 | Model Sparsity: 0.9622
Retraining Epoch [2/10]: Avg Total Loss: 15.7329 | Avg PrC Loss: 3.2420 | Avg SnC Loss: 9.9876 | Avg FiC Loss: 2.4488 | Avg CE Loss: 0.0545 | Model Sparsity: 0.9622
Retraining Epoch [3/10]: Avg Total Loss: 15.7266 | Avg PrC Loss: 3.2422 | Avg SnC Loss: 9.9845 | Avg FiC Loss: 2.4469 | Avg CE Loss: 0.0530 | Model Sparsity: 0.9622
Retraining Epoch [4/10]: Avg Total Loss: 15.7211 | Avg PrC Loss: 3.2420 | Avg SnC Loss: 9.9816 | Avg FiC Loss: 2.4454 | Avg CE Loss: 0.0521 | Model Sparsity: 0.9622
Retraining Epoch [5/10]: Avg Total Loss: 15.7137 | Avg PrC Loss: 3.2406 | Avg SnC Loss: 9.9786 | Avg FiC Loss: 2.4428 | Avg CE Loss: 0.0516 | Model Sparsity: 0.9622
Retraining Epoch [6/10]: Avg Total Loss: 15.7095 | Avg PrC Loss: 3.2406 | Avg SnC Loss: 9.9761 | Avg FiC Loss: 2.4422 | Avg CE Loss: 0.0506 | Model Sparsity: 0.9622
Retraining Epoch [7/10]: Avg Total Loss: 15.7043 | Avg PrC Loss: 3.2403 | Avg SnC Loss: 9.9731 | Avg FiC Loss: 2.4406 | Avg CE Loss: 0.0504 | Model Sparsity: 0.9622
Retraining Epoch [8/10]: Avg Total Loss: 15.7066 | Avg PrC Loss: 3.2401 | Avg SnC Loss: 9.9752 | Avg FiC Loss: 2.4411 | Avg CE Loss: 0.0502 | Model Sparsity: 0.9622
Retraining Epoch [9/10]: Avg Total Loss: 15.6973 | Avg PrC Loss: 3.2392 | Avg SnC Loss: 9.9698 | Avg FiC Loss: 2.4389 | Avg CE Loss: 0.0495 | Model Sparsity: 0.9622
Retraining Epoch [10/10]: Avg Total Loss: 15.6977 | Avg PrC Loss: 3.2391 | Avg SnC Loss: 9.9707 | Avg FiC Loss: 2.4385 | Avg CE Loss: 0.0495 | Model Sparsity: 0.9622
Epoch [5/5]: Avg Total Loss: 15.6907 | Avg PrC Loss: 3.2392 | Avg SnC Loss: 9.9661 | Avg FiC Loss: 2.4366 | Avg CE Loss: 0.0488 | Model Sparsity: 0.97
Retraining Epoch [1/10]: Avg Total Loss: 17.6634 | Avg PrC Loss: 3.2530 | Avg SnC Loss: 11.9244 | Avg FiC Loss: 2.4340 | Avg CE Loss: 0.0520 | Model Sparsity: 0.97
Retraining Epoch [2/10]: Avg Total Loss: 17.6724 | Avg PrC Loss: 3.2533 | Avg SnC Loss: 11.9313 | Avg FiC Loss: 2.4347 | Avg CE Loss: 0.0531 | Model Sparsity: 0.97
Retraining Epoch [3/10]: Avg Total Loss: 17.6593 | Avg PrC Loss: 3.2521 | Avg SnC Loss: 11.9220 | Avg FiC Loss: 2.4331 | Avg CE Loss: 0.0520 | Model Sparsity: 0.97
Retraining Epoch [4/10]: Avg Total Loss: 17.6623 | Avg PrC Loss: 3.2543 | Avg SnC Loss: 11.9237 | Avg FiC Loss: 2.4328 | Avg CE Loss: 0.0516 | Model Sparsity: 0.97
Retraining Epoch [5/10]: Avg Total Loss: 17.6458 | Avg PrC Loss: 3.2508 | Avg SnC Loss: 11.9144 | Avg FiC Loss: 2.4298 | Avg CE Loss: 0.0508 | Model Sparsity: 0.97
Retraining Epoch [6/10]: Avg Total Loss: 17.6494 | Avg PrC Loss: 3.2512 | Avg SnC Loss: 11.9160 | Avg FiC Loss: 2.4314 | Avg CE Loss: 0.0508 | Model Sparsity: 0.97
Retraining Epoch [7/10]: Avg Total Loss: 17.6412 | Avg PrC Loss: 3.2517 | Avg SnC Loss: 11.9120 | Avg FiC Loss: 2.4277 | Avg CE Loss: 0.0498 | Model Sparsity: 0.97
Retraining Epoch [8/10]: Avg Total Loss: 17.6308 | Avg PrC Loss: 3.2503 | Avg SnC Loss: 11.9045 | Avg FiC Loss: 2.4269 | Avg CE Loss: 0.0490 | Model Sparsity: 0.97
Retraining Epoch [9/10]: Avg Total Loss: 17.6345 | Avg PrC Loss: 3.2502 | Avg SnC Loss: 11.9078 | Avg FiC Loss: 2.4273 | Avg CE Loss: 0.0492 | Model Sparsity: 0.97
Retraining Epoch [10/10]: Avg Total Loss: 17.6347 | Avg PrC Loss: 3.2510 | Avg SnC Loss: 11.9076 | Avg FiC Loss: 2.4269 | Avg CE Loss: 0.0492 | Model Sparsity: 0.97
