Model : resnet50 - Learning Type: svhn/bacp_pruning/movement_pruning/0.99
Configuration:
model_name: resnet50
model_task: svhn
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 121
val_batches: 21
current_model_path: /dbfs/research/resnet50/svhn/resnet50_svhn_movement_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 8.1665 | Avg PrC Loss: 3.8201 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.9359 | Avg CE Loss: 0.4105 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 10.9099 | Avg PrC Loss: 3.7108 | Avg SnC Loss: 3.4138 | Avg FiC Loss: 3.6695 | Avg CE Loss: 0.1158 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 10.1320 | Avg PrC Loss: 3.5637 | Avg SnC Loss: 3.4548 | Avg FiC Loss: 3.0177 | Avg CE Loss: 0.0958 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 9.9124 | Avg PrC Loss: 3.5201 | Avg SnC Loss: 3.4689 | Avg FiC Loss: 2.8497 | Avg CE Loss: 0.0737 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 9.8239 | Avg PrC Loss: 3.4614 | Avg SnC Loss: 3.4881 | Avg FiC Loss: 2.8098 | Avg CE Loss: 0.0646 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 9.7430 | Avg PrC Loss: 3.4009 | Avg SnC Loss: 3.5087 | Avg FiC Loss: 2.7739 | Avg CE Loss: 0.0595 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 9.6613 | Avg PrC Loss: 3.3315 | Avg SnC Loss: 3.5342 | Avg FiC Loss: 2.7365 | Avg CE Loss: 0.0591 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 9.5967 | Avg PrC Loss: 3.2933 | Avg SnC Loss: 3.5502 | Avg FiC Loss: 2.6974 | Avg CE Loss: 0.0558 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 9.5515 | Avg PrC Loss: 3.2660 | Avg SnC Loss: 3.5626 | Avg FiC Loss: 2.6690 | Avg CE Loss: 0.0540 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 9.5255 | Avg PrC Loss: 3.2487 | Avg SnC Loss: 3.5709 | Avg FiC Loss: 2.6524 | Avg CE Loss: 0.0534 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 9.5055 | Avg PrC Loss: 3.2372 | Avg SnC Loss: 3.5759 | Avg FiC Loss: 2.6391 | Avg CE Loss: 0.0533 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 9.4972 | Avg PrC Loss: 3.2310 | Avg SnC Loss: 3.5779 | Avg FiC Loss: 2.6343 | Avg CE Loss: 0.0540 | Model Sparsity: 0.7762
Retraining Epoch [1/10]: Avg Total Loss: 11.7430 | Avg PrC Loss: 3.2316 | Avg SnC Loss: 5.8573 | Avg FiC Loss: 2.5955 | Avg CE Loss: 0.0586 | Model Sparsity: 0.7762
Retraining Epoch [2/10]: Avg Total Loss: 11.7309 | Avg PrC Loss: 3.2261 | Avg SnC Loss: 5.8586 | Avg FiC Loss: 2.5882 | Avg CE Loss: 0.0580 | Model Sparsity: 0.7762
Retraining Epoch [3/10]: Avg Total Loss: 11.7171 | Avg PrC Loss: 3.2233 | Avg SnC Loss: 5.8553 | Avg FiC Loss: 2.5817 | Avg CE Loss: 0.0567 | Model Sparsity: 0.7762
Retraining Epoch [4/10]: Avg Total Loss: 11.7018 | Avg PrC Loss: 3.2193 | Avg SnC Loss: 5.8527 | Avg FiC Loss: 2.5750 | Avg CE Loss: 0.0547 | Model Sparsity: 0.7762
Retraining Epoch [5/10]: Avg Total Loss: 11.6986 | Avg PrC Loss: 3.2160 | Avg SnC Loss: 5.8544 | Avg FiC Loss: 2.5730 | Avg CE Loss: 0.0552 | Model Sparsity: 0.7762
Retraining Epoch [6/10]: Avg Total Loss: 11.6947 | Avg PrC Loss: 3.2157 | Avg SnC Loss: 5.8536 | Avg FiC Loss: 2.5707 | Avg CE Loss: 0.0546 | Model Sparsity: 0.7762
Retraining Epoch [7/10]: Avg Total Loss: 11.6887 | Avg PrC Loss: 3.2147 | Avg SnC Loss: 5.8528 | Avg FiC Loss: 2.5675 | Avg CE Loss: 0.0538 | Model Sparsity: 0.7762
Retraining Epoch [8/10]: Avg Total Loss: 11.6887 | Avg PrC Loss: 3.2133 | Avg SnC Loss: 5.8543 | Avg FiC Loss: 2.5671 | Avg CE Loss: 0.0541 | Model Sparsity: 0.7762
Retraining Epoch [9/10]: Avg Total Loss: 11.6880 | Avg PrC Loss: 3.2113 | Avg SnC Loss: 5.8549 | Avg FiC Loss: 2.5676 | Avg CE Loss: 0.0542 | Model Sparsity: 0.7762
Retraining Epoch [10/10]: Avg Total Loss: 11.6827 | Avg PrC Loss: 3.2114 | Avg SnC Loss: 5.8534 | Avg FiC Loss: 2.5635 | Avg CE Loss: 0.0544 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Total Loss: 11.7258 | Avg PrC Loss: 3.2183 | Avg SnC Loss: 5.8619 | Avg FiC Loss: 2.5799 | Avg CE Loss: 0.0658 | Model Sparsity: 0.9266
Retraining Epoch [1/10]: Avg Total Loss: 13.8601 | Avg PrC Loss: 3.2241 | Avg SnC Loss: 8.0058 | Avg FiC Loss: 2.5646 | Avg CE Loss: 0.0656 | Model Sparsity: 0.9266
Retraining Epoch [2/10]: Avg Total Loss: 13.8366 | Avg PrC Loss: 3.2202 | Avg SnC Loss: 7.9954 | Avg FiC Loss: 2.5584 | Avg CE Loss: 0.0626 | Model Sparsity: 0.9266
Retraining Epoch [3/10]: Avg Total Loss: 13.8217 | Avg PrC Loss: 3.2197 | Avg SnC Loss: 7.9894 | Avg FiC Loss: 2.5525 | Avg CE Loss: 0.0601 | Model Sparsity: 0.9266
