Model : resnet50 - Learning Type: svhn/baseline
Configuration:
model_type: cv
model_name: resnet50
model_task: svhn
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 100
pruning_epochs: 100
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: sgd
total_steps: 12100
warmup_steps: 1210
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/svhn/resnet50_svhn_baseline.pt

Epoch [1/100]: Avg Loss: 2.2532 | Avg Accuracy: 24.53 | Model Sparsity: 0.0
Epoch [2/100]: Avg Loss: 1.6415 | Avg Accuracy: 67.17 | Model Sparsity: 0.0
Epoch [3/100]: Avg Loss: 0.6343 | Avg Accuracy: 85.88 | Model Sparsity: 0.0
Epoch [4/100]: Avg Loss: 0.3734 | Avg Accuracy: 89.91 | Model Sparsity: 0.0
Epoch [5/100]: Avg Loss: 0.2883 | Avg Accuracy: 91.37 | Model Sparsity: 0.0
Epoch [6/100]: Avg Loss: 0.2427 | Avg Accuracy: 92.70 | Model Sparsity: 0.0
Epoch [7/100]: Avg Loss: 0.2123 | Avg Accuracy: 92.67 | Model Sparsity: 0.0
Epoch [8/100]: Avg Loss: 0.1910 | Avg Accuracy: 93.08 | Model Sparsity: 0.0
Epoch [9/100]: Avg Loss: 0.1685 | Avg Accuracy: 93.85 | Model Sparsity: 0.0
Epoch [10/100]: Avg Loss: 0.1566 | Avg Accuracy: 93.55 | Model Sparsity: 0.0
Epoch [11/100]: Avg Loss: 0.1434 | Avg Accuracy: 93.93 | Model Sparsity: 0.0
Epoch [12/100]: Avg Loss: 0.1268 | Avg Accuracy: 93.94 | Model Sparsity: 0.0
Epoch [13/100]: Avg Loss: 0.1141 | Avg Accuracy: 94.24 | Model Sparsity: 0.0
Epoch [14/100]: Avg Loss: 0.1011 | Avg Accuracy: 94.33 | Model Sparsity: 0.0
Epoch [15/100]: Avg Loss: 0.0935 | Avg Accuracy: 94.38 | Model Sparsity: 0.0
Epoch [16/100]: Avg Loss: 0.0846 | Avg Accuracy: 94.51 | Model Sparsity: 0.0
Epoch [17/100]: Avg Loss: 0.0774 | Avg Accuracy: 94.78 | Model Sparsity: 0.0
Epoch [18/100]: Avg Loss: 0.0690 | Avg Accuracy: 94.73 | Model Sparsity: 0.0
Epoch [19/100]: Avg Loss: 0.0604 | Avg Accuracy: 94.35 | Model Sparsity: 0.0
Epoch [20/100]: Avg Loss: 0.0572 | Avg Accuracy: 94.58 | Model Sparsity: 0.0
Epoch [21/100]: Avg Loss: 0.0532 | Avg Accuracy: 94.84 | Model Sparsity: 0.0
Epoch [22/100]: Avg Loss: 0.0459 | Avg Accuracy: 94.61 | Model Sparsity: 0.0
Epoch [23/100]: Avg Loss: 0.0414 | Avg Accuracy: 94.69 | Model Sparsity: 0.0
Epoch [24/100]: Avg Loss: 0.0397 | Avg Accuracy: 94.83 | Model Sparsity: 0.0
Epoch [25/100]: Avg Loss: 0.0384 | Avg Accuracy: 94.49 | Model Sparsity: 0.0
Epoch [26/100]: Avg Loss: 0.0326 | Avg Accuracy: 94.83 | Model Sparsity: 0.0
Epoch [27/100]: Avg Loss: 0.0312 | Avg Accuracy: 94.72 | Model Sparsity: 0.0
Epoch [28/100]: Avg Loss: 0.0289 | Avg Accuracy: 94.54 | Model Sparsity: 0.0
Epoch [29/100]: Avg Loss: 0.0264 | Avg Accuracy: 94.61 | Model Sparsity: 0.0
Epoch [30/100]: Avg Loss: 0.0240 | Avg Accuracy: 94.79 | Model Sparsity: 0.0
Epoch [31/100]: Avg Loss: 0.0208 | Avg Accuracy: 95.01 | Model Sparsity: 0.0
Epoch [32/100]: Avg Loss: 0.0196 | Avg Accuracy: 94.90 | Model Sparsity: 0.0
Epoch [33/100]: Avg Loss: 0.0185 | Avg Accuracy: 95.06 | Model Sparsity: 0.0
Epoch [34/100]: Avg Loss: 0.0194 | Avg Accuracy: 95.08 | Model Sparsity: 0.0
Epoch [35/100]: Avg Loss: 0.0169 | Avg Accuracy: 94.99 | Model Sparsity: 0.0
Epoch [36/100]: Avg Loss: 0.0155 | Avg Accuracy: 95.03 | Model Sparsity: 0.0
Epoch [37/100]: Avg Loss: 0.0126 | Avg Accuracy: 95.14 | Model Sparsity: 0.0
Epoch [38/100]: Avg Loss: 0.0136 | Avg Accuracy: 95.04 | Model Sparsity: 0.0
Epoch [39/100]: Avg Loss: 0.0123 | Avg Accuracy: 95.09 | Model Sparsity: 0.0
Epoch [40/100]: Avg Loss: 0.0121 | Avg Accuracy: 95.15 | Model Sparsity: 0.0
Epoch [41/100]: Avg Loss: 0.0103 | Avg Accuracy: 95.28 | Model Sparsity: 0.0
Epoch [42/100]: Avg Loss: 0.0102 | Avg Accuracy: 95.22 | Model Sparsity: 0.0
Epoch [43/100]: Avg Loss: 0.0098 | Avg Accuracy: 95.04 | Model Sparsity: 0.0
Epoch [44/100]: Avg Loss: 0.0083 | Avg Accuracy: 95.06 | Model Sparsity: 0.0
Epoch [45/100]: Avg Loss: 0.0082 | Avg Accuracy: 95.33 | Model Sparsity: 0.0
Epoch [46/100]: Avg Loss: 0.0074 | Avg Accuracy: 95.10 | Model Sparsity: 0.0
Epoch [47/100]: Avg Loss: 0.0067 | Avg Accuracy: 95.45 | Model Sparsity: 0.0
Epoch [48/100]: Avg Loss: 0.0061 | Avg Accuracy: 95.32 | Model Sparsity: 0.0
Epoch [49/100]: Avg Loss: 0.0061 | Avg Accuracy: 95.08 | Model Sparsity: 0.0
Epoch [50/100]: Avg Loss: 0.0054 | Avg Accuracy: 95.26 | Model Sparsity: 0.0
Epoch [51/100]: Avg Loss: 0.0061 | Avg Accuracy: 95.52 | Model Sparsity: 0.0
Epoch [52/100]: Avg Loss: 0.0061 | Avg Accuracy: 95.32 | Model Sparsity: 0.0
Epoch [53/100]: Avg Loss: 0.0051 | Avg Accuracy: 95.64 | Model Sparsity: 0.0
Epoch [54/100]: Avg Loss: 0.0040 | Avg Accuracy: 95.41 | Model Sparsity: 0.0
Epoch [55/100]: Avg Loss: 0.0045 | Avg Accuracy: 95.36 | Model Sparsity: 0.0
Epoch [56/100]: Avg Loss: 0.0043 | Avg Accuracy: 95.39 | Model Sparsity: 0.0
Epoch [57/100]: Avg Loss: 0.0038 | Avg Accuracy: 95.27 | Model Sparsity: 0.0
Epoch [58/100]: Avg Loss: 0.0036 | Avg Accuracy: 95.55 | Model Sparsity: 0.0
Epoch [59/100]: Avg Loss: 0.0029 | Avg Accuracy: 95.31 | Model Sparsity: 0.0
Epoch [60/100]: Avg Loss: 0.0023 | Avg Accuracy: 95.69 | Model Sparsity: 0.0
Epoch [61/100]: Avg Loss: 0.0026 | Avg Accuracy: 95.48 | Model Sparsity: 0.0
Epoch [62/100]: Avg Loss: 0.0030 | Avg Accuracy: 95.71 | Model Sparsity: 0.0
Epoch [63/100]: Avg Loss: 0.0030 | Avg Accuracy: 95.55 | Model Sparsity: 0.0
Epoch [64/100]: Avg Loss: 0.0026 | Avg Accuracy: 95.67 | Model Sparsity: 0.0
Epoch [65/100]: Avg Loss: 0.0020 | Avg Accuracy: 95.71 | Model Sparsity: 0.0
Epoch [66/100]: Avg Loss: 0.0023 | Avg Accuracy: 95.49 | Model Sparsity: 0.0
Epoch [67/100]: Avg Loss: 0.0021 | Avg Accuracy: 95.58 | Model Sparsity: 0.0
Epoch [68/100]: Avg Loss: 0.0022 | Avg Accuracy: 95.73 | Model Sparsity: 0.0
Epoch [69/100]: Avg Loss: 0.0021 | Avg Accuracy: 95.72 | Model Sparsity: 0.0
Epoch [70/100]: Avg Loss: 0.0016 | Avg Accuracy: 95.67 | Model Sparsity: 0.0
Epoch [71/100]: Avg Loss: 0.0019 | Avg Accuracy: 95.53 | Model Sparsity: 0.0
Epoch [72/100]: Avg Loss: 0.0015 | Avg Accuracy: 95.65 | Model Sparsity: 0.0
Epoch [73/100]: Avg Loss: 0.0014 | Avg Accuracy: 95.76 | Model Sparsity: 0.0
Epoch [74/100]: Avg Loss: 0.0013 | Avg Accuracy: 95.79 | Model Sparsity: 0.0
Epoch [75/100]: Avg Loss: 0.0013 | Avg Accuracy: 95.64 | Model Sparsity: 0.0
Epoch [76/100]: Avg Loss: 0.0014 | Avg Accuracy: 95.72 | Model Sparsity: 0.0
Epoch [77/100]: Avg Loss: 0.0015 | Avg Accuracy: 95.63 | Model Sparsity: 0.0
Epoch [78/100]: Avg Loss: 0.0012 | Avg Accuracy: 95.55 | Model Sparsity: 0.0
Epoch [79/100]: Avg Loss: 0.0012 | Avg Accuracy: 95.56 | Model Sparsity: 0.0
Epoch [80/100]: Avg Loss: 0.0010 | Avg Accuracy: 95.59 | Model Sparsity: 0.0
Epoch [81/100]: Avg Loss: 0.0009 | Avg Accuracy: 95.78 | Model Sparsity: 0.0
Epoch [82/100]: Avg Loss: 0.0011 | Avg Accuracy: 95.77 | Model Sparsity: 0.0
Epoch [83/100]: Avg Loss: 0.0009 | Avg Accuracy: 95.72 | Model Sparsity: 0.0
Epoch [84/100]: Avg Loss: 0.0009 | Avg Accuracy: 95.58 | Model Sparsity: 0.0
Epoch [85/100]: Avg Loss: 0.0009 | Avg Accuracy: 95.68 | Model Sparsity: 0.0
Epoch [86/100]: Avg Loss: 0.0009 | Avg Accuracy: 95.82 | Model Sparsity: 0.0
Epoch [87/100]: Avg Loss: 0.0008 | Avg Accuracy: 95.68 | Model Sparsity: 0.0
Epoch [88/100]: Avg Loss: 0.0010 | Avg Accuracy: 95.88 | Model Sparsity: 0.0
Epoch [89/100]: Avg Loss: 0.0007 | Avg Accuracy: 95.81 | Model Sparsity: 0.0
Epoch [90/100]: Avg Loss: 0.0006 | Avg Accuracy: 95.78 | Model Sparsity: 0.0
Epoch [91/100]: Avg Loss: 0.0007 | Avg Accuracy: 95.71 | Model Sparsity: 0.0
Epoch [92/100]: Avg Loss: 0.0008 | Avg Accuracy: 95.81 | Model Sparsity: 0.0
Epoch [93/100]: Avg Loss: 0.0006 | Avg Accuracy: 95.70 | Model Sparsity: 0.0
Epoch [94/100]: Avg Loss: 0.0007 | Avg Accuracy: 95.86 | Model Sparsity: 0.0
Epoch [95/100]: Avg Loss: 0.0007 | Avg Accuracy: 95.73 | Model Sparsity: 0.0
Epoch [96/100]: Avg Loss: 0.0007 | Avg Accuracy: 95.71 | Model Sparsity: 0.0
Epoch [97/100]: Avg Loss: 0.0007 | Avg Accuracy: 95.89 | Model Sparsity: 0.0
Epoch [98/100]: Avg Loss: 0.0008 | Avg Accuracy: 95.81 | Model Sparsity: 0.0
Epoch [99/100]: Avg Loss: 0.0006 | Avg Accuracy: 95.70 | Model Sparsity: 0.0
Epoch [100/100]: Avg Loss: 0.0007 | Avg Accuracy: 95.56 | Model Sparsity: 0.0
