Model : resnet50 - Learning Type: svhn/pruning/magnitude_pruning/0.97
Configuration:
model_type: cv
model_name: resnet50
model_task: svhn
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/svhn/resnet50_svhn_magnitude_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/resnet50/svhn/resnet50_svhn_baseline.pt

Epoch [1/5]: Avg Loss: 0.0030 | Avg Accuracy: 94.41 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.0155 | Avg Accuracy: 92.96 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.0443 | Avg Accuracy: 92.94 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.0325 | Avg Accuracy: 94.14 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.0338 | Avg Accuracy: 93.45 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.0309 | Avg Accuracy: 93.15 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0339 | Avg Accuracy: 94.04 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0321 | Avg Accuracy: 94.11 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0256 | Avg Accuracy: 93.85 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0316 | Avg Accuracy: 93.74 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0269 | Avg Accuracy: 94.21 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 0.0664 | Avg Accuracy: 93.72 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.0435 | Avg Accuracy: 93.40 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.0386 | Avg Accuracy: 93.70 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.0332 | Avg Accuracy: 94.02 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.0308 | Avg Accuracy: 93.75 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.0296 | Avg Accuracy: 93.85 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.0276 | Avg Accuracy: 94.01 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.0257 | Avg Accuracy: 93.84 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.0259 | Avg Accuracy: 93.93 | Model Sparsity: 0.7605
