Model : vgg11 - Learning Type: cifar10/bacp_finetune/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_magnitude_pruning_0.95_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg11/cifar10/vgg11_cifar10_magnitude_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.5413 | Avg Accuracy: 87.33 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 0.3883 | Avg Accuracy: 87.90 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 0.3538 | Avg Accuracy: 87.74 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 0.3476 | Avg Accuracy: 88.04 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.3312 | Avg Accuracy: 88.56 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.3166 | Avg Accuracy: 88.23 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.3092 | Avg Accuracy: 88.49 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.2982 | Avg Accuracy: 88.48 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.2979 | Avg Accuracy: 88.85 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.2836 | Avg Accuracy: 88.96 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.2727 | Avg Accuracy: 89.23 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.2670 | Avg Accuracy: 88.91 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.2610 | Avg Accuracy: 89.02 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.2560 | Avg Accuracy: 89.31 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.2469 | Avg Accuracy: 89.40 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.2406 | Avg Accuracy: 88.94 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.2352 | Avg Accuracy: 88.95 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.2294 | Avg Accuracy: 89.27 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.2260 | Avg Accuracy: 89.29 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.2132 | Avg Accuracy: 89.75 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.2156 | Avg Accuracy: 89.56 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.2108 | Avg Accuracy: 90.21 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.1982 | Avg Accuracy: 89.56 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.1997 | Avg Accuracy: 89.19 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.1919 | Avg Accuracy: 89.72 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.1883 | Avg Accuracy: 89.83 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.1764 | Avg Accuracy: 89.33 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.1779 | Avg Accuracy: 89.76 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.1745 | Avg Accuracy: 90.19 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.1681 | Avg Accuracy: 89.66 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.1693 | Avg Accuracy: 89.97 | Model Sparsity: 0.95
Epoch [32/50]: Avg Loss: 0.1604 | Avg Accuracy: 89.51 | Model Sparsity: 0.95
Epoch [33/50]: Avg Loss: 0.1566 | Avg Accuracy: 89.83 | Model Sparsity: 0.95
Epoch [34/50]: Avg Loss: 0.1544 | Avg Accuracy: 89.84 | Model Sparsity: 0.95
Epoch [35/50]: Avg Loss: 0.1515 | Avg Accuracy: 89.70 | Model Sparsity: 0.95
Epoch [36/50]: Avg Loss: 0.1471 | Avg Accuracy: 89.59 | Model Sparsity: 0.95
Epoch [37/50]: Avg Loss: 0.1398 | Avg Accuracy: 90.43 | Model Sparsity: 0.95
Epoch [38/50]: Avg Loss: 0.1361 | Avg Accuracy: 90.09 | Model Sparsity: 0.95
Epoch [39/50]: Avg Loss: 0.1336 | Avg Accuracy: 89.93 | Model Sparsity: 0.95
Epoch [40/50]: Avg Loss: 0.1276 | Avg Accuracy: 89.54 | Model Sparsity: 0.95
Epoch [41/50]: Avg Loss: 0.1283 | Avg Accuracy: 89.58 | Model Sparsity: 0.95
Epoch [42/50]: Avg Loss: 0.1280 | Avg Accuracy: 90.03 | Model Sparsity: 0.95
Epoch [43/50]: Avg Loss: 0.1220 | Avg Accuracy: 89.49 | Model Sparsity: 0.95
Epoch [44/50]: Avg Loss: 0.1198 | Avg Accuracy: 89.47 | Model Sparsity: 0.95
Epoch [45/50]: Avg Loss: 0.1138 | Avg Accuracy: 90.08 | Model Sparsity: 0.95
Epoch [46/50]: Avg Loss: 0.1129 | Avg Accuracy: 89.68 | Model Sparsity: 0.95
Epoch [47/50]: Avg Loss: 0.1115 | Avg Accuracy: 90.00 | Model Sparsity: 0.95
Epoch [48/50]: Avg Loss: 0.1125 | Avg Accuracy: 89.54 | Model Sparsity: 0.95
Epoch [49/50]: Avg Loss: 0.1083 | Avg Accuracy: 89.37 | Model Sparsity: 0.95
Epoch [50/50]: Avg Loss: 0.1047 | Avg Accuracy: 89.48 | Model Sparsity: 0.95
