Model : vgg11 - Learning Type: cifar10/bacp_finetune/movement_pruning/0.95
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 5e-05
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_movement_pruning_0.95_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg11/cifar10/vgg11_cifar10_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 1.8561 | Avg Accuracy: 88.03 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 0.4494 | Avg Accuracy: 89.31 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 0.4055 | Avg Accuracy: 89.48 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 0.3745 | Avg Accuracy: 89.26 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.3572 | Avg Accuracy: 89.89 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.3414 | Avg Accuracy: 89.52 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.3388 | Avg Accuracy: 90.08 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.3295 | Avg Accuracy: 89.75 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.3166 | Avg Accuracy: 89.93 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.3162 | Avg Accuracy: 90.12 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.3038 | Avg Accuracy: 90.18 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.3032 | Avg Accuracy: 90.60 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.2964 | Avg Accuracy: 89.98 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.2933 | Avg Accuracy: 90.30 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.2852 | Avg Accuracy: 90.44 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.2841 | Avg Accuracy: 91.22 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.2792 | Avg Accuracy: 90.56 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.2774 | Avg Accuracy: 90.51 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.2714 | Avg Accuracy: 90.43 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.2653 | Avg Accuracy: 90.67 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.2634 | Avg Accuracy: 91.11 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.2615 | Avg Accuracy: 90.36 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.2640 | Avg Accuracy: 90.64 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.2592 | Avg Accuracy: 90.90 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.2540 | Avg Accuracy: 90.56 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.2523 | Avg Accuracy: 90.37 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.2495 | Avg Accuracy: 90.67 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.2479 | Avg Accuracy: 90.82 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.2462 | Avg Accuracy: 90.46 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.2467 | Avg Accuracy: 90.88 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.2354 | Avg Accuracy: 90.28 | Model Sparsity: 0.95
Epoch [32/50]: Avg Loss: 0.2344 | Avg Accuracy: 90.51 | Model Sparsity: 0.95
Epoch [33/50]: Avg Loss: 0.2340 | Avg Accuracy: 90.82 | Model Sparsity: 0.95
Epoch [34/50]: Avg Loss: 0.2291 | Avg Accuracy: 90.93 | Model Sparsity: 0.95
Epoch [35/50]: Avg Loss: 0.2305 | Avg Accuracy: 90.93 | Model Sparsity: 0.95
Epoch [36/50]: Avg Loss: 0.2308 | Avg Accuracy: 90.88 | Model Sparsity: 0.95
