Model : vgg11 - Learning Type: cifar10/bacp_pruning/movement_pruning/0.95
Configuration:
model_name: vgg11
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.0001
optimizer_type: adamw
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 6.1664 | Avg PrC Loss: 2.7817 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0309 | Avg CE Loss: 0.3538 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 7.8444 | Avg PrC Loss: 2.6829 | Avg SnC Loss: 2.0780 | Avg FiC Loss: 2.8401 | Avg CE Loss: 0.2434 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 7.7177 | Avg PrC Loss: 2.6609 | Avg SnC Loss: 2.0620 | Avg FiC Loss: 2.7829 | Avg CE Loss: 0.2119 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 7.6445 | Avg PrC Loss: 2.6451 | Avg SnC Loss: 2.0558 | Avg FiC Loss: 2.7519 | Avg CE Loss: 0.1917 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 7.5777 | Avg PrC Loss: 2.6304 | Avg SnC Loss: 2.0464 | Avg FiC Loss: 2.7260 | Avg CE Loss: 0.1748 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 7.5437 | Avg PrC Loss: 2.6215 | Avg SnC Loss: 2.0453 | Avg FiC Loss: 2.7136 | Avg CE Loss: 0.1633 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 7.5035 | Avg PrC Loss: 2.6113 | Avg SnC Loss: 2.0422 | Avg FiC Loss: 2.6969 | Avg CE Loss: 0.1530 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 7.4672 | Avg PrC Loss: 2.6022 | Avg SnC Loss: 2.0372 | Avg FiC Loss: 2.6840 | Avg CE Loss: 0.1438 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 7.4483 | Avg PrC Loss: 2.5963 | Avg SnC Loss: 2.0382 | Avg FiC Loss: 2.6765 | Avg CE Loss: 0.1373 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 7.4188 | Avg PrC Loss: 2.5879 | Avg SnC Loss: 2.0341 | Avg FiC Loss: 2.6675 | Avg CE Loss: 0.1292 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 7.4069 | Avg PrC Loss: 2.5840 | Avg SnC Loss: 2.0350 | Avg FiC Loss: 2.6625 | Avg CE Loss: 0.1254 | Model Sparsity: 0.4636
