Model : vgg11 - Learning Type: cifar10/bacp_pruning/movement_pruning/0.99
Configuration:
model_name: vgg11
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_movement_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 6.3031 | Avg PrC Loss: 2.8410 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0678 | Avg CE Loss: 0.3943 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 7.9839 | Avg PrC Loss: 2.7781 | Avg SnC Loss: 2.1362 | Avg FiC Loss: 2.8289 | Avg CE Loss: 0.2407 | Model Sparsity: 0.4831
