Model : vgg11 - Learning Type: cifar10/pruning/movement_pruning/0.99
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_movement_pruning_0.99_pruning.pt
finetuned_weights: /dbfs/research/vgg11/cifar10/vgg11_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 0.0179 | Avg Accuracy: 88.27 | Model Sparsity: 0.4831
Recovery epoch [1/10]: Avg Loss: 0.0224 | Avg Accuracy: 88.16 | Model Sparsity: 0.4831
Recovery epoch [2/10]: Avg Loss: 0.0227 | Avg Accuracy: 88.52 | Model Sparsity: 0.4831
Recovery epoch [3/10]: Avg Loss: 0.0226 | Avg Accuracy: 88.34 | Model Sparsity: 0.4831
Recovery epoch [4/10]: Avg Loss: 0.0226 | Avg Accuracy: 88.39 | Model Sparsity: 0.4831
Recovery epoch [5/10]: Avg Loss: 0.0219 | Avg Accuracy: 88.21 | Model Sparsity: 0.4831
Recovery epoch [6/10]: Avg Loss: 0.0242 | Avg Accuracy: 88.41 | Model Sparsity: 0.4831
Recovery epoch [7/10]: Avg Loss: 0.0243 | Avg Accuracy: 88.35 | Model Sparsity: 0.4831
Recovery epoch [8/10]: Avg Loss: 0.0241 | Avg Accuracy: 88.91 | Model Sparsity: 0.4831
Recovery epoch [9/10]: Avg Loss: 0.0197 | Avg Accuracy: 88.53 | Model Sparsity: 0.4831
Recovery epoch [10/10]: Avg Loss: 0.0220 | Avg Accuracy: 87.88 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Loss: 0.0382 | Avg Accuracy: 88.80 | Model Sparsity: 0.7762
Recovery epoch [1/10]: Avg Loss: 0.0328 | Avg Accuracy: 88.13 | Model Sparsity: 0.7762
Recovery epoch [2/10]: Avg Loss: 0.0307 | Avg Accuracy: 88.14 | Model Sparsity: 0.7762
Recovery epoch [3/10]: Avg Loss: 0.0289 | Avg Accuracy: 88.13 | Model Sparsity: 0.7762
Recovery epoch [4/10]: Avg Loss: 0.0282 | Avg Accuracy: 88.52 | Model Sparsity: 0.7762
Recovery epoch [5/10]: Avg Loss: 0.0268 | Avg Accuracy: 88.09 | Model Sparsity: 0.7762
Recovery epoch [6/10]: Avg Loss: 0.0280 | Avg Accuracy: 88.69 | Model Sparsity: 0.7762
Recovery epoch [7/10]: Avg Loss: 0.0258 | Avg Accuracy: 88.42 | Model Sparsity: 0.7762
Recovery epoch [8/10]: Avg Loss: 0.0270 | Avg Accuracy: 87.95 | Model Sparsity: 0.7762
Recovery epoch [9/10]: Avg Loss: 0.0264 | Avg Accuracy: 88.43 | Model Sparsity: 0.7762
Recovery epoch [10/10]: Avg Loss: 0.0254 | Avg Accuracy: 88.90 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Loss: 0.1129 | Avg Accuracy: 88.18 | Model Sparsity: 0.9266
Recovery epoch [1/10]: Avg Loss: 0.0736 | Avg Accuracy: 88.52 | Model Sparsity: 0.9266
