Model : vgg11 - Learning Type: cifar100/pruning/movement_pruning/0.95
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar100/vgg11_cifar100_movement_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vgg11/cifar100/vgg11_cifar100_baseline.pt

Epoch [1/5]: Avg Loss: 0.1866 | Avg Accuracy: 63.225 | Avg Perplexity: 0.000 |Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.2374 | Avg Accuracy: 63.783 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.2281 | Avg Accuracy: 63.742 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.2127 | Avg Accuracy: 63.198 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.2083 | Avg Accuracy: 63.965 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.2038 | Avg Accuracy: 63.546 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.1841 | Avg Accuracy: 63.281 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.1903 | Avg Accuracy: 64.049 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.1900 | Avg Accuracy: 63.602 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.1707 | Avg Accuracy: 64.718 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.1598 | Avg Accuracy: 64.369 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.2129 | Avg Accuracy: 64.216 | Avg Perplexity: 0.000 |Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.1969 | Avg Accuracy: 63.909 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.1943 | Avg Accuracy: 64.760 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.1700 | Avg Accuracy: 64.690 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.1667 | Avg Accuracy: 64.160 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.1680 | Avg Accuracy: 65.220 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.1486 | Avg Accuracy: 64.802 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.1544 | Avg Accuracy: 63.853 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.1436 | Avg Accuracy: 64.914 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.1362 | Avg Accuracy: 64.286 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.1206 | Avg Accuracy: 63.881 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 0.3768 | Avg Accuracy: 64.607 | Avg Perplexity: 0.000 |Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 0.2747 | Avg Accuracy: 64.955 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 0.2291 | Avg Accuracy: 64.690 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 0.2192 | Avg Accuracy: 63.881 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 0.1943 | Avg Accuracy: 64.188 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 0.1822 | Avg Accuracy: 64.551 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 0.1777 | Avg Accuracy: 64.662 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 0.1601 | Avg Accuracy: 64.342 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 0.1463 | Avg Accuracy: 63.867 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 0.1487 | Avg Accuracy: 64.886 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 0.1356 | Avg Accuracy: 64.160 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: 0.5604 | Avg Accuracy: 64.216 | Avg Perplexity: 0.000 |Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: 0.3722 | Avg Accuracy: 64.941 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: 0.3175 | Avg Accuracy: 65.109 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: 0.2807 | Avg Accuracy: 64.607 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: 0.2565 | Avg Accuracy: 64.397 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: 0.2379 | Avg Accuracy: 63.811 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: 0.2258 | Avg Accuracy: 64.495 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: 0.2077 | Avg Accuracy: 64.369 | Model Sparsity: 0.9424
Recovery epoch [8/10]: Avg Loss: 0.1881 | Avg Accuracy: 63.574 | Model Sparsity: 0.9424
Recovery epoch [9/10]: Avg Loss: 0.1838 | Avg Accuracy: 64.202 | Model Sparsity: 0.9424
Recovery epoch [10/10]: Avg Loss: 0.1720 | Avg Accuracy: 64.607 | Model Sparsity: 0.9424
Epoch [5/5]: Avg Loss: 0.2251 | Avg Accuracy: 64.914 | Avg Perplexity: 0.000 |Model Sparsity: 0.95
Recovery epoch [1/10]: Avg Loss: 0.1957 | Avg Accuracy: 64.132 | Model Sparsity: 0.95
Recovery epoch [2/10]: Avg Loss: 0.1883 | Avg Accuracy: 64.495 | Model Sparsity: 0.95
Recovery epoch [3/10]: Avg Loss: 0.1750 | Avg Accuracy: 64.425 | Model Sparsity: 0.95
Recovery epoch [4/10]: Avg Loss: 0.1628 | Avg Accuracy: 63.993 | Model Sparsity: 0.95
Recovery epoch [5/10]: Avg Loss: 0.1592 | Avg Accuracy: 64.467 | Model Sparsity: 0.95
Recovery epoch [6/10]: Avg Loss: 0.1490 | Avg Accuracy: 64.509 | Model Sparsity: 0.95
Recovery epoch [7/10]: Avg Loss: 0.1507 | Avg Accuracy: 64.342 | Model Sparsity: 0.95
Recovery epoch [8/10]: Avg Loss: 0.1399 | Avg Accuracy: 65.234 | Model Sparsity: 0.95
Recovery epoch [9/10]: Avg Loss: 0.1352 | Avg Accuracy: 64.342 | Model Sparsity: 0.95
Recovery epoch [10/10]: Avg Loss: 0.1296 | Avg Accuracy: 64.858 | Model Sparsity: 0.95
