Model : vgg11 - Learning Type: emnist/bacp_finetune/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vgg11
model_task: emnist
num_classes: 47
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/emnist/vgg11_emnist_magnitude_pruning_0.95_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg11/emnist/vgg11_emnist_magnitude_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.4641 | Avg Accuracy: 91.61 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 0.2318 | Avg Accuracy: 91.73 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 0.2149 | Avg Accuracy: 91.69 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 0.2045 | Avg Accuracy: 91.71 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.1990 | Avg Accuracy: 91.67 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.1908 | Avg Accuracy: 91.86 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.1873 | Avg Accuracy: 91.65 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.1825 | Avg Accuracy: 91.61 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.1778 | Avg Accuracy: 91.71 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.1744 | Avg Accuracy: 91.71 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.1699 | Avg Accuracy: 91.62 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.1664 | Avg Accuracy: 91.16 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.1640 | Avg Accuracy: 91.50 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.1587 | Avg Accuracy: 91.61 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.1562 | Avg Accuracy: 91.38 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.1521 | Avg Accuracy: 91.42 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.1480 | Avg Accuracy: 91.50 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.1468 | Avg Accuracy: 91.51 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.1439 | Avg Accuracy: 91.28 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.1400 | Avg Accuracy: 91.53 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.1361 | Avg Accuracy: 91.31 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.1342 | Avg Accuracy: 91.21 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.1304 | Avg Accuracy: 91.08 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.1278 | Avg Accuracy: 91.32 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.1250 | Avg Accuracy: 91.15 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.1232 | Avg Accuracy: 91.03 | Model Sparsity: 0.95
