Model : vgg11 - Learning Type: emnist/pruning/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vgg11
model_task: emnist
num_classes: 47
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/emnist/vgg11_emnist_magnitude_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vgg11/emnist/vgg11_emnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.1564 | Avg Accuracy: 88.92 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.1564 | Avg Accuracy: 89.14 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.1535 | Avg Accuracy: 89.10 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.1521 | Avg Accuracy: 88.97 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.1464 | Avg Accuracy: 89.58 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.1484 | Avg Accuracy: 89.25 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.1482 | Avg Accuracy: 89.49 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.1441 | Avg Accuracy: 88.78 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.1423 | Avg Accuracy: 89.29 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.1376 | Avg Accuracy: 88.98 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.1403 | Avg Accuracy: 89.32 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.1378 | Avg Accuracy: 89.31 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.1296 | Avg Accuracy: 89.25 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.1290 | Avg Accuracy: 89.16 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.1249 | Avg Accuracy: 89.18 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.1251 | Avg Accuracy: 89.33 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.1233 | Avg Accuracy: 89.12 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.1230 | Avg Accuracy: 88.84 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.1220 | Avg Accuracy: 88.84 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.1186 | Avg Accuracy: 89.08 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.1190 | Avg Accuracy: 89.18 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.1176 | Avg Accuracy: 89.04 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 0.1386 | Avg Accuracy: 89.17 | Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 0.1253 | Avg Accuracy: 88.98 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 0.1231 | Avg Accuracy: 88.85 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 0.1194 | Avg Accuracy: 89.20 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 0.1178 | Avg Accuracy: 88.39 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 0.1142 | Avg Accuracy: 88.87 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 0.1152 | Avg Accuracy: 88.88 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 0.1125 | Avg Accuracy: 89.03 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 0.1108 | Avg Accuracy: 88.69 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 0.1102 | Avg Accuracy: 89.07 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 0.1086 | Avg Accuracy: 88.93 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: 0.1456 | Avg Accuracy: 89.18 | Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: 0.1250 | Avg Accuracy: 89.01 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: 0.1175 | Avg Accuracy: 89.00 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: 0.1186 | Avg Accuracy: 89.02 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: 0.1135 | Avg Accuracy: 89.03 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: 0.1137 | Avg Accuracy: 89.01 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: 0.1105 | Avg Accuracy: 88.92 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: 0.1083 | Avg Accuracy: 89.03 | Model Sparsity: 0.9424
Recovery epoch [8/10]: Avg Loss: 0.1066 | Avg Accuracy: 89.05 | Model Sparsity: 0.9424
Recovery epoch [9/10]: Avg Loss: 0.1053 | Avg Accuracy: 89.33 | Model Sparsity: 0.9424
Recovery epoch [10/10]: Avg Loss: 0.1075 | Avg Accuracy: 89.04 | Model Sparsity: 0.9424
Epoch [5/5]: Avg Loss: 0.1076 | Avg Accuracy: 88.90 | Model Sparsity: 0.95
Recovery epoch [1/10]: Avg Loss: 0.1014 | Avg Accuracy: 88.80 | Model Sparsity: 0.95
Recovery epoch [2/10]: Avg Loss: 0.1010 | Avg Accuracy: 89.00 | Model Sparsity: 0.95
Recovery epoch [3/10]: Avg Loss: 0.1022 | Avg Accuracy: 88.67 | Model Sparsity: 0.95
Recovery epoch [4/10]: Avg Loss: 0.0954 | Avg Accuracy: 89.10 | Model Sparsity: 0.95
Recovery epoch [5/10]: Avg Loss: 0.0979 | Avg Accuracy: 89.02 | Model Sparsity: 0.95
Recovery epoch [6/10]: Avg Loss: 0.0961 | Avg Accuracy: 88.95 | Model Sparsity: 0.95
Recovery epoch [7/10]: Avg Loss: 0.0931 | Avg Accuracy: 88.99 | Model Sparsity: 0.95
Recovery epoch [8/10]: Avg Loss: 0.0978 | Avg Accuracy: 88.38 | Model Sparsity: 0.95
Recovery epoch [9/10]: Avg Loss: 0.0933 | Avg Accuracy: 89.09 | Model Sparsity: 0.95
Recovery epoch [10/10]: Avg Loss: 0.0947 | Avg Accuracy: 88.86 | Model Sparsity: 0.95
