Model : vgg11 - Learning Type: fmnist/baseline
Configuration:
model_type: cv
model_name: vgg11
model_task: fmnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 100
pruning_epochs: 100
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: sgd
total_steps: 9900
warmup_steps: 990
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/fmnist/vgg11_fmnist_baseline.pt

Epoch [1/100]: Avg Loss: 1.2388 | Avg Accuracy: 81.31 | Model Sparsity: 0.0
Epoch [2/100]: Avg Loss: 0.4783 | Avg Accuracy: 86.75 | Model Sparsity: 0.0
Epoch [3/100]: Avg Loss: 0.3702 | Avg Accuracy: 88.89 | Model Sparsity: 0.0
Epoch [4/100]: Avg Loss: 0.3195 | Avg Accuracy: 89.92 | Model Sparsity: 0.0
Epoch [5/100]: Avg Loss: 0.2865 | Avg Accuracy: 89.43 | Model Sparsity: 0.0
Epoch [6/100]: Avg Loss: 0.2604 | Avg Accuracy: 91.23 | Model Sparsity: 0.0
Epoch [7/100]: Avg Loss: 0.2488 | Avg Accuracy: 90.84 | Model Sparsity: 0.0
Epoch [8/100]: Avg Loss: 0.2328 | Avg Accuracy: 91.54 | Model Sparsity: 0.0
Epoch [9/100]: Avg Loss: 0.2191 | Avg Accuracy: 90.94 | Model Sparsity: 0.0
Epoch [10/100]: Avg Loss: 0.2114 | Avg Accuracy: 92.18 | Model Sparsity: 0.0
Epoch [11/100]: Avg Loss: 0.1885 | Avg Accuracy: 92.53 | Model Sparsity: 0.0
Epoch [12/100]: Avg Loss: 0.1804 | Avg Accuracy: 92.66 | Model Sparsity: 0.0
Epoch [13/100]: Avg Loss: 0.1698 | Avg Accuracy: 92.70 | Model Sparsity: 0.0
Epoch [14/100]: Avg Loss: 0.1672 | Avg Accuracy: 92.34 | Model Sparsity: 0.0
Epoch [15/100]: Avg Loss: 0.1455 | Avg Accuracy: 93.06 | Model Sparsity: 0.0
Epoch [16/100]: Avg Loss: 0.1371 | Avg Accuracy: 92.78 | Model Sparsity: 0.0
Epoch [17/100]: Avg Loss: 0.1317 | Avg Accuracy: 92.92 | Model Sparsity: 0.0
Epoch [18/100]: Avg Loss: 0.1252 | Avg Accuracy: 92.82 | Model Sparsity: 0.0
Epoch [19/100]: Avg Loss: 0.1160 | Avg Accuracy: 93.07 | Model Sparsity: 0.0
Epoch [20/100]: Avg Loss: 0.1142 | Avg Accuracy: 91.92 | Model Sparsity: 0.0
Epoch [21/100]: Avg Loss: 0.1089 | Avg Accuracy: 93.27 | Model Sparsity: 0.0
Epoch [22/100]: Avg Loss: 0.1007 | Avg Accuracy: 93.30 | Model Sparsity: 0.0
Epoch [23/100]: Avg Loss: 0.0927 | Avg Accuracy: 93.15 | Model Sparsity: 0.0
Epoch [24/100]: Avg Loss: 0.0900 | Avg Accuracy: 93.35 | Model Sparsity: 0.0
Epoch [25/100]: Avg Loss: 0.0826 | Avg Accuracy: 93.28 | Model Sparsity: 0.0
Epoch [26/100]: Avg Loss: 0.0778 | Avg Accuracy: 93.45 | Model Sparsity: 0.0
Epoch [27/100]: Avg Loss: 0.0744 | Avg Accuracy: 93.16 | Model Sparsity: 0.0
Epoch [28/100]: Avg Loss: 0.0709 | Avg Accuracy: 93.53 | Model Sparsity: 0.0
Epoch [29/100]: Avg Loss: 0.0653 | Avg Accuracy: 92.90 | Model Sparsity: 0.0
Epoch [30/100]: Avg Loss: 0.0636 | Avg Accuracy: 93.22 | Model Sparsity: 0.0
Epoch [31/100]: Avg Loss: 0.0576 | Avg Accuracy: 93.54 | Model Sparsity: 0.0
Epoch [32/100]: Avg Loss: 0.0600 | Avg Accuracy: 92.97 | Model Sparsity: 0.0
Epoch [33/100]: Avg Loss: 0.0562 | Avg Accuracy: 93.38 | Model Sparsity: 0.0
Epoch [34/100]: Avg Loss: 0.0536 | Avg Accuracy: 93.60 | Model Sparsity: 0.0
Epoch [35/100]: Avg Loss: 0.0434 | Avg Accuracy: 92.89 | Model Sparsity: 0.0
Epoch [36/100]: Avg Loss: 0.0435 | Avg Accuracy: 93.58 | Model Sparsity: 0.0
Epoch [37/100]: Avg Loss: 0.0422 | Avg Accuracy: 93.57 | Model Sparsity: 0.0
Epoch [38/100]: Avg Loss: 0.0430 | Avg Accuracy: 93.22 | Model Sparsity: 0.0
Epoch [39/100]: Avg Loss: 0.0373 | Avg Accuracy: 93.18 | Model Sparsity: 0.0
Epoch [40/100]: Avg Loss: 0.0394 | Avg Accuracy: 92.85 | Model Sparsity: 0.0
Epoch [41/100]: Avg Loss: 0.0335 | Avg Accuracy: 93.44 | Model Sparsity: 0.0
Epoch [42/100]: Avg Loss: 0.0303 | Avg Accuracy: 93.41 | Model Sparsity: 0.0
Epoch [43/100]: Avg Loss: 0.0314 | Avg Accuracy: 93.64 | Model Sparsity: 0.0
Epoch [44/100]: Avg Loss: 0.0305 | Avg Accuracy: 93.67 | Model Sparsity: 0.0
Epoch [45/100]: Avg Loss: 0.0276 | Avg Accuracy: 93.53 | Model Sparsity: 0.0
Epoch [46/100]: Avg Loss: 0.0246 | Avg Accuracy: 93.26 | Model Sparsity: 0.0
Epoch [47/100]: Avg Loss: 0.0223 | Avg Accuracy: 93.44 | Model Sparsity: 0.0
Epoch [48/100]: Avg Loss: 0.0262 | Avg Accuracy: 93.00 | Model Sparsity: 0.0
Epoch [49/100]: Avg Loss: 0.0233 | Avg Accuracy: 93.43 | Model Sparsity: 0.0
Epoch [50/100]: Avg Loss: 0.0223 | Avg Accuracy: 93.00 | Model Sparsity: 0.0
Epoch [51/100]: Avg Loss: 0.0190 | Avg Accuracy: 93.50 | Model Sparsity: 0.0
Epoch [52/100]: Avg Loss: 0.0186 | Avg Accuracy: 93.31 | Model Sparsity: 0.0
Epoch [53/100]: Avg Loss: 0.0153 | Avg Accuracy: 93.29 | Model Sparsity: 0.0
Epoch [54/100]: Avg Loss: 0.0172 | Avg Accuracy: 93.41 | Model Sparsity: 0.0
Epoch [55/100]: Avg Loss: 0.0152 | Avg Accuracy: 93.34 | Model Sparsity: 0.0
Epoch [56/100]: Avg Loss: 0.0145 | Avg Accuracy: 93.69 | Model Sparsity: 0.0
Epoch [57/100]: Avg Loss: 0.0131 | Avg Accuracy: 93.74 | Model Sparsity: 0.0
Epoch [58/100]: Avg Loss: 0.0122 | Avg Accuracy: 93.61 | Model Sparsity: 0.0
Epoch [59/100]: Avg Loss: 0.0117 | Avg Accuracy: 93.61 | Model Sparsity: 0.0
Epoch [60/100]: Avg Loss: 0.0119 | Avg Accuracy: 93.61 | Model Sparsity: 0.0
Epoch [61/100]: Avg Loss: 0.0112 | Avg Accuracy: 93.52 | Model Sparsity: 0.0
Epoch [62/100]: Avg Loss: 0.0114 | Avg Accuracy: 93.76 | Model Sparsity: 0.0
Epoch [63/100]: Avg Loss: 0.0086 | Avg Accuracy: 93.73 | Model Sparsity: 0.0
Epoch [64/100]: Avg Loss: 0.0094 | Avg Accuracy: 93.70 | Model Sparsity: 0.0
Epoch [65/100]: Avg Loss: 0.0095 | Avg Accuracy: 93.99 | Model Sparsity: 0.0
Epoch [66/100]: Avg Loss: 0.0079 | Avg Accuracy: 93.81 | Model Sparsity: 0.0
Epoch [67/100]: Avg Loss: 0.0070 | Avg Accuracy: 93.32 | Model Sparsity: 0.0
Epoch [68/100]: Avg Loss: 0.0063 | Avg Accuracy: 93.57 | Model Sparsity: 0.0
Epoch [69/100]: Avg Loss: 0.0070 | Avg Accuracy: 93.66 | Model Sparsity: 0.0
Epoch [70/100]: Avg Loss: 0.0067 | Avg Accuracy: 93.88 | Model Sparsity: 0.0
Epoch [71/100]: Avg Loss: 0.0057 | Avg Accuracy: 93.89 | Model Sparsity: 0.0
Epoch [72/100]: Avg Loss: 0.0051 | Avg Accuracy: 93.54 | Model Sparsity: 0.0
Epoch [73/100]: Avg Loss: 0.0054 | Avg Accuracy: 93.77 | Model Sparsity: 0.0
Epoch [74/100]: Avg Loss: 0.0044 | Avg Accuracy: 93.77 | Model Sparsity: 0.0
Epoch [75/100]: Avg Loss: 0.0045 | Avg Accuracy: 93.88 | Model Sparsity: 0.0
Epoch [76/100]: Avg Loss: 0.0045 | Avg Accuracy: 93.83 | Model Sparsity: 0.0
Epoch [77/100]: Avg Loss: 0.0040 | Avg Accuracy: 93.78 | Model Sparsity: 0.0
Epoch [78/100]: Avg Loss: 0.0042 | Avg Accuracy: 93.62 | Model Sparsity: 0.0
Epoch [79/100]: Avg Loss: 0.0039 | Avg Accuracy: 93.76 | Model Sparsity: 0.0
Epoch [80/100]: Avg Loss: 0.0036 | Avg Accuracy: 93.97 | Model Sparsity: 0.0
Epoch [81/100]: Avg Loss: 0.0026 | Avg Accuracy: 93.97 | Model Sparsity: 0.0
Epoch [82/100]: Avg Loss: 0.0028 | Avg Accuracy: 93.91 | Model Sparsity: 0.0
Epoch [83/100]: Avg Loss: 0.0029 | Avg Accuracy: 93.83 | Model Sparsity: 0.0
Epoch [84/100]: Avg Loss: 0.0024 | Avg Accuracy: 93.88 | Model Sparsity: 0.0
Epoch [85/100]: Avg Loss: 0.0030 | Avg Accuracy: 93.64 | Model Sparsity: 0.0
Epoch [86/100]: Avg Loss: 0.0026 | Avg Accuracy: 93.88 | Model Sparsity: 0.0
Epoch [87/100]: Avg Loss: 0.0026 | Avg Accuracy: 94.07 | Model Sparsity: 0.0
Epoch [88/100]: Avg Loss: 0.0020 | Avg Accuracy: 93.67 | Model Sparsity: 0.0
Epoch [89/100]: Avg Loss: 0.0023 | Avg Accuracy: 93.72 | Model Sparsity: 0.0
Epoch [90/100]: Avg Loss: 0.0020 | Avg Accuracy: 93.62 | Model Sparsity: 0.0
Epoch [91/100]: Avg Loss: 0.0019 | Avg Accuracy: 93.70 | Model Sparsity: 0.0
Epoch [92/100]: Avg Loss: 0.0019 | Avg Accuracy: 93.82 | Model Sparsity: 0.0
Epoch [93/100]: Avg Loss: 0.0019 | Avg Accuracy: 94.08 | Model Sparsity: 0.0
Epoch [94/100]: Avg Loss: 0.0015 | Avg Accuracy: 93.91 | Model Sparsity: 0.0
Epoch [95/100]: Avg Loss: 0.0020 | Avg Accuracy: 93.67 | Model Sparsity: 0.0
Epoch [96/100]: Avg Loss: 0.0016 | Avg Accuracy: 93.85 | Model Sparsity: 0.0
Epoch [97/100]: Avg Loss: 0.0015 | Avg Accuracy: 93.92 | Model Sparsity: 0.0
Epoch [98/100]: Avg Loss: 0.0015 | Avg Accuracy: 94.12 | Model Sparsity: 0.0
Epoch [99/100]: Avg Loss: 0.0017 | Avg Accuracy: 93.81 | Model Sparsity: 0.0
Epoch [100/100]: Avg Loss: 0.0016 | Avg Accuracy: 94.08 | Model Sparsity: 0.0
