Model : vgg11 - Learning Type: fmnist/pruning/magnitude_pruning/0.99
Configuration:
model_type: cv
model_name: vgg11
model_task: fmnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/fmnist/vgg11_fmnist_magnitude_pruning_0.99_pruning.pt
finetuned_weights: /dbfs/research/vgg11/fmnist/vgg11_fmnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.0498 | Avg Accuracy: 93.67 | Model Sparsity: 0.4831
Recovery epoch [1/10]: Avg Loss: 0.0245 | Avg Accuracy: 93.45 | Model Sparsity: 0.4831
Recovery epoch [2/10]: Avg Loss: 0.0340 | Avg Accuracy: 93.23 | Model Sparsity: 0.4831
Recovery epoch [3/10]: Avg Loss: 0.0221 | Avg Accuracy: 93.66 | Model Sparsity: 0.4831
Recovery epoch [4/10]: Avg Loss: 0.0214 | Avg Accuracy: 93.43 | Model Sparsity: 0.4831
Recovery epoch [5/10]: Avg Loss: 0.0206 | Avg Accuracy: 93.46 | Model Sparsity: 0.4831
Recovery epoch [6/10]: Avg Loss: 0.0304 | Avg Accuracy: 93.01 | Model Sparsity: 0.4831
Recovery epoch [7/10]: Avg Loss: 0.0257 | Avg Accuracy: 93.58 | Model Sparsity: 0.4831
Recovery epoch [8/10]: Avg Loss: 0.0231 | Avg Accuracy: 93.36 | Model Sparsity: 0.4831
Recovery epoch [9/10]: Avg Loss: 0.0193 | Avg Accuracy: 93.55 | Model Sparsity: 0.4831
Recovery epoch [10/10]: Avg Loss: 0.0174 | Avg Accuracy: 93.42 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Loss: 0.1033 | Avg Accuracy: 93.12 | Model Sparsity: 0.7762
Recovery epoch [1/10]: Avg Loss: 0.0652 | Avg Accuracy: 93.20 | Model Sparsity: 0.7762
Recovery epoch [2/10]: Avg Loss: 0.0521 | Avg Accuracy: 92.74 | Model Sparsity: 0.7762
Recovery epoch [3/10]: Avg Loss: 0.0529 | Avg Accuracy: 92.96 | Model Sparsity: 0.7762
Recovery epoch [4/10]: Avg Loss: 0.0426 | Avg Accuracy: 93.37 | Model Sparsity: 0.7762
Recovery epoch [5/10]: Avg Loss: 0.0453 | Avg Accuracy: 93.37 | Model Sparsity: 0.7762
Recovery epoch [6/10]: Avg Loss: 0.0351 | Avg Accuracy: 93.43 | Model Sparsity: 0.7762
Recovery epoch [7/10]: Avg Loss: 0.0327 | Avg Accuracy: 93.29 | Model Sparsity: 0.7762
Recovery epoch [8/10]: Avg Loss: 0.0346 | Avg Accuracy: 93.04 | Model Sparsity: 0.7762
Recovery epoch [9/10]: Avg Loss: 0.0323 | Avg Accuracy: 93.41 | Model Sparsity: 0.7762
Recovery epoch [10/10]: Avg Loss: 0.0288 | Avg Accuracy: 93.13 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Loss: 0.3975 | Avg Accuracy: 92.08 | Model Sparsity: 0.9266
Recovery epoch [1/10]: Avg Loss: 0.1752 | Avg Accuracy: 92.24 | Model Sparsity: 0.9266
Recovery epoch [2/10]: Avg Loss: 0.1483 | Avg Accuracy: 92.60 | Model Sparsity: 0.9266
Recovery epoch [3/10]: Avg Loss: 0.1267 | Avg Accuracy: 92.33 | Model Sparsity: 0.9266
Recovery epoch [4/10]: Avg Loss: 0.1164 | Avg Accuracy: 92.61 | Model Sparsity: 0.9266
Recovery epoch [5/10]: Avg Loss: 0.1110 | Avg Accuracy: 92.87 | Model Sparsity: 0.9266
