Model : vgg11 - Learning Type: mnist/bacp_finetune/movement_pruning/0.99
Configuration:
model_type: cv
model_name: vgg11
model_task: mnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/mnist/vgg11_mnist_movement_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg11/mnist/vgg11_mnist_movement_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.2144 | Avg Accuracy: 97.83 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 0.0866 | Avg Accuracy: 97.87 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 0.0767 | Avg Accuracy: 97.77 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 0.0712 | Avg Accuracy: 97.36 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 0.0695 | Avg Accuracy: 98.08 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 0.0598 | Avg Accuracy: 98.18 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 0.0585 | Avg Accuracy: 98.31 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 0.0547 | Avg Accuracy: 98.66 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 0.0531 | Avg Accuracy: 98.43 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 0.0491 | Avg Accuracy: 98.62 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 0.0478 | Avg Accuracy: 98.47 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 0.0478 | Avg Accuracy: 97.78 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 0.0468 | Avg Accuracy: 98.66 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 0.0458 | Avg Accuracy: 98.83 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.0417 | Avg Accuracy: 98.25 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 0.0405 | Avg Accuracy: 98.43 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 0.0419 | Avg Accuracy: 98.90 | Model Sparsity: 0.99
