Model : vgg11 - Learning Type: mnist/bacp_pruning/magnitude_pruning/0.99
Configuration:
model_name: vgg11
model_task: mnist
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.01
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 99
val_batches: 17
current_model_path: /dbfs/research/vgg11/mnist/vgg11_mnist_magnitude_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 6.3468 | Avg PrC Loss: 3.3492 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8763 | Avg CE Loss: 0.1213 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 7.9946 | Avg PrC Loss: 3.1595 | Avg SnC Loss: 2.1816 | Avg FiC Loss: 2.6332 | Avg CE Loss: 0.0203 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 7.9143 | Avg PrC Loss: 3.1128 | Avg SnC Loss: 2.1712 | Avg FiC Loss: 2.6152 | Avg CE Loss: 0.0150 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 7.8796 | Avg PrC Loss: 3.0915 | Avg SnC Loss: 2.1693 | Avg FiC Loss: 2.6060 | Avg CE Loss: 0.0128 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 7.8604 | Avg PrC Loss: 3.0785 | Avg SnC Loss: 2.1694 | Avg FiC Loss: 2.6010 | Avg CE Loss: 0.0114 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 7.8420 | Avg PrC Loss: 3.0665 | Avg SnC Loss: 2.1690 | Avg FiC Loss: 2.5965 | Avg CE Loss: 0.0101 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 7.8276 | Avg PrC Loss: 3.0564 | Avg SnC Loss: 2.1687 | Avg FiC Loss: 2.5929 | Avg CE Loss: 0.0097 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 7.8212 | Avg PrC Loss: 3.0509 | Avg SnC Loss: 2.1702 | Avg FiC Loss: 2.5909 | Avg CE Loss: 0.0091 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 7.8103 | Avg PrC Loss: 3.0440 | Avg SnC Loss: 2.1696 | Avg FiC Loss: 2.5884 | Avg CE Loss: 0.0082 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 7.8034 | Avg PrC Loss: 3.0398 | Avg SnC Loss: 2.1697 | Avg FiC Loss: 2.5860 | Avg CE Loss: 0.0079 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 7.7972 | Avg PrC Loss: 3.0353 | Avg SnC Loss: 2.1702 | Avg FiC Loss: 2.5847 | Avg CE Loss: 0.0070 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 7.9468 | Avg PrC Loss: 3.1164 | Avg SnC Loss: 2.2118 | Avg FiC Loss: 2.6076 | Avg CE Loss: 0.0109 | Model Sparsity: 0.7762
