Model : vgg11 - Learning Type: mnist/pruning/magnitude_pruning/0.97
Configuration:
model_type: cv
model_name: vgg11
model_task: mnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/mnist/vgg11_mnist_magnitude_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/vgg11/mnist/vgg11_mnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.0010 | Avg Accuracy: 99.28 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.0010 | Avg Accuracy: 99.29 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.0020 | Avg Accuracy: 99.33 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.0018 | Avg Accuracy: 99.38 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.0019 | Avg Accuracy: 99.38 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.0014 | Avg Accuracy: 99.33 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0017 | Avg Accuracy: 99.41 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0021 | Avg Accuracy: 99.38 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0017 | Avg Accuracy: 99.30 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0022 | Avg Accuracy: 99.40 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0021 | Avg Accuracy: 99.41 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 0.0041 | Avg Accuracy: 99.29 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.0029 | Avg Accuracy: 99.25 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.0025 | Avg Accuracy: 99.32 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.0024 | Avg Accuracy: 99.37 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.0023 | Avg Accuracy: 99.41 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.0019 | Avg Accuracy: 99.38 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.0020 | Avg Accuracy: 99.41 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.0027 | Avg Accuracy: 99.33 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.0022 | Avg Accuracy: 99.44 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.0026 | Avg Accuracy: 99.29 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.0034 | Avg Accuracy: 99.23 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 0.0170 | Avg Accuracy: 99.28 | Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 0.0070 | Avg Accuracy: 99.48 | Model Sparsity: 0.9079
Recovery epoch [2/10]: Avg Loss: 0.0062 | Avg Accuracy: 99.37 | Model Sparsity: 0.9079
Recovery epoch [3/10]: Avg Loss: 0.0046 | Avg Accuracy: 99.43 | Model Sparsity: 0.9079
Recovery epoch [4/10]: Avg Loss: 0.0051 | Avg Accuracy: 99.41 | Model Sparsity: 0.9079
Recovery epoch [5/10]: Avg Loss: 0.0044 | Avg Accuracy: 99.39 | Model Sparsity: 0.9079
Recovery epoch [6/10]: Avg Loss: 0.0039 | Avg Accuracy: 99.29 | Model Sparsity: 0.9079
Recovery epoch [7/10]: Avg Loss: 0.0062 | Avg Accuracy: 99.39 | Model Sparsity: 0.9079
Recovery epoch [8/10]: Avg Loss: 0.0043 | Avg Accuracy: 99.32 | Model Sparsity: 0.9079
Recovery epoch [9/10]: Avg Loss: 0.0039 | Avg Accuracy: 99.36 | Model Sparsity: 0.9079
Recovery epoch [10/10]: Avg Loss: 0.0036 | Avg Accuracy: 99.38 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Loss: 0.0504 | Avg Accuracy: 99.25 | Model Sparsity: 0.9622
Recovery epoch [1/10]: Avg Loss: 0.0157 | Avg Accuracy: 99.18 | Model Sparsity: 0.9622
Recovery epoch [2/10]: Avg Loss: 0.0139 | Avg Accuracy: 99.26 | Model Sparsity: 0.9622
Recovery epoch [3/10]: Avg Loss: 0.0130 | Avg Accuracy: 99.23 | Model Sparsity: 0.9622
Recovery epoch [4/10]: Avg Loss: 0.0113 | Avg Accuracy: 99.36 | Model Sparsity: 0.9622
Recovery epoch [5/10]: Avg Loss: 0.0100 | Avg Accuracy: 99.29 | Model Sparsity: 0.9622
Recovery epoch [6/10]: Avg Loss: 0.0095 | Avg Accuracy: 99.33 | Model Sparsity: 0.9622
Recovery epoch [7/10]: Avg Loss: 0.0098 | Avg Accuracy: 99.40 | Model Sparsity: 0.9622
Recovery epoch [8/10]: Avg Loss: 0.0093 | Avg Accuracy: 99.47 | Model Sparsity: 0.9622
Recovery epoch [9/10]: Avg Loss: 0.0072 | Avg Accuracy: 99.39 | Model Sparsity: 0.9622
Recovery epoch [10/10]: Avg Loss: 0.0071 | Avg Accuracy: 99.40 | Model Sparsity: 0.9622
Epoch [5/5]: Avg Loss: 0.0110 | Avg Accuracy: 99.23 | Model Sparsity: 0.97
Recovery epoch [1/10]: Avg Loss: 0.0078 | Avg Accuracy: 99.36 | Model Sparsity: 0.97
Recovery epoch [2/10]: Avg Loss: 0.0069 | Avg Accuracy: 99.38 | Model Sparsity: 0.97
Recovery epoch [3/10]: Avg Loss: 0.0063 | Avg Accuracy: 99.29 | Model Sparsity: 0.97
