Model : vgg11 - Learning Type: mnist/pruning/movement_pruning/0.97
Configuration:
model_type: cv
model_name: vgg11
model_task: mnist
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/mnist/vgg11_mnist_movement_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/vgg11/mnist/vgg11_mnist_baseline.pt

Epoch [1/5]: Avg Loss: 0.0028 | Avg Accuracy: 99.41 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.0030 | Avg Accuracy: 99.40 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.0030 | Avg Accuracy: 99.48 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.0036 | Avg Accuracy: 99.49 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.0043 | Avg Accuracy: 99.49 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.0025 | Avg Accuracy: 99.49 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0027 | Avg Accuracy: 99.38 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0038 | Avg Accuracy: 99.39 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0028 | Avg Accuracy: 99.46 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0023 | Avg Accuracy: 99.57 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0034 | Avg Accuracy: 99.52 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 0.0104 | Avg Accuracy: 99.33 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.0078 | Avg Accuracy: 99.46 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.0073 | Avg Accuracy: 99.52 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.0058 | Avg Accuracy: 99.41 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.0045 | Avg Accuracy: 99.45 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.0050 | Avg Accuracy: 99.37 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.0042 | Avg Accuracy: 99.47 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.0051 | Avg Accuracy: 99.20 | Model Sparsity: 0.7605
