Model : vgg11 - Learning Type: svhn/bacp_pruning/magnitude_pruning/0.99
Configuration:
model_name: vgg11
model_task: svhn
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 121
val_batches: 21
current_model_path: /dbfs/research/vgg11/svhn/vgg11_svhn_magnitude_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 6.8544 | Avg PrC Loss: 3.5510 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0289 | Avg CE Loss: 0.2745 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 8.8258 | Avg PrC Loss: 3.4505 | Avg SnC Loss: 2.5161 | Avg FiC Loss: 2.7543 | Avg CE Loss: 0.1048 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 8.7131 | Avg PrC Loss: 3.4212 | Avg SnC Loss: 2.4856 | Avg FiC Loss: 2.7232 | Avg CE Loss: 0.0831 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 8.6809 | Avg PrC Loss: 3.4095 | Avg SnC Loss: 2.4817 | Avg FiC Loss: 2.7137 | Avg CE Loss: 0.0760 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 8.6503 | Avg PrC Loss: 3.4008 | Avg SnC Loss: 2.4761 | Avg FiC Loss: 2.7053 | Avg CE Loss: 0.0681 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 8.6289 | Avg PrC Loss: 3.3920 | Avg SnC Loss: 2.4724 | Avg FiC Loss: 2.6997 | Avg CE Loss: 0.0647 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 8.6118 | Avg PrC Loss: 3.3850 | Avg SnC Loss: 2.4705 | Avg FiC Loss: 2.6954 | Avg CE Loss: 0.0609 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 8.6015 | Avg PrC Loss: 3.3800 | Avg SnC Loss: 2.4696 | Avg FiC Loss: 2.6936 | Avg CE Loss: 0.0584 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 8.5935 | Avg PrC Loss: 3.3775 | Avg SnC Loss: 2.4682 | Avg FiC Loss: 2.6913 | Avg CE Loss: 0.0565 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 8.5950 | Avg PrC Loss: 3.3773 | Avg SnC Loss: 2.4698 | Avg FiC Loss: 2.6911 | Avg CE Loss: 0.0568 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 8.5849 | Avg PrC Loss: 3.3721 | Avg SnC Loss: 2.4686 | Avg FiC Loss: 2.6901 | Avg CE Loss: 0.0541 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 8.5767 | Avg PrC Loss: 3.3707 | Avg SnC Loss: 2.4671 | Avg FiC Loss: 2.6867 | Avg CE Loss: 0.0522 | Model Sparsity: 0.7762
