Model : vgg11 - Learning Type: svhn/pruning/magnitude_pruning/0.97
Configuration:
model_type: cv
model_name: vgg11
model_task: svhn
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/svhn/vgg11_svhn_magnitude_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/vgg11/svhn/vgg11_svhn_baseline.pt

Epoch [1/5]: Avg Loss: 0.0331 | Avg Accuracy: 93.76 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.0395 | Avg Accuracy: 93.71 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.0340 | Avg Accuracy: 93.72 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.0336 | Avg Accuracy: 93.53 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.0323 | Avg Accuracy: 94.06 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.0298 | Avg Accuracy: 93.82 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0305 | Avg Accuracy: 93.77 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0302 | Avg Accuracy: 93.81 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0261 | Avg Accuracy: 93.90 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0240 | Avg Accuracy: 93.66 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0280 | Avg Accuracy: 93.84 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 0.0773 | Avg Accuracy: 93.76 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.0557 | Avg Accuracy: 93.83 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.0478 | Avg Accuracy: 93.97 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.0456 | Avg Accuracy: 93.96 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.0424 | Avg Accuracy: 93.96 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.0363 | Avg Accuracy: 93.18 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.0381 | Avg Accuracy: 94.08 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.0329 | Avg Accuracy: 93.85 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.0343 | Avg Accuracy: 94.08 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.0316 | Avg Accuracy: 94.18 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.0290 | Avg Accuracy: 93.90 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 0.2105 | Avg Accuracy: 93.39 | Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 0.1074 | Avg Accuracy: 93.70 | Model Sparsity: 0.9079
