Model : vgg11 - Learning Type: svhn/pruning/movement_pruning/0.97
Configuration:
model_type: cv
model_name: vgg11
model_task: svhn
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/svhn/vgg11_svhn_movement_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/vgg11/svhn/vgg11_svhn_baseline.pt

Epoch [1/5]: Avg Loss: 0.0212 | Avg Accuracy: 94.48 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.0241 | Avg Accuracy: 94.16 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.0231 | Avg Accuracy: 94.52 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.0248 | Avg Accuracy: 94.51 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.0248 | Avg Accuracy: 94.39 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.0245 | Avg Accuracy: 94.57 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0239 | Avg Accuracy: 94.54 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0225 | Avg Accuracy: 94.22 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0238 | Avg Accuracy: 94.54 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0210 | Avg Accuracy: 94.66 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0211 | Avg Accuracy: 94.22 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 0.0304 | Avg Accuracy: 94.42 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.0269 | Avg Accuracy: 94.42 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.0257 | Avg Accuracy: 94.49 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.0257 | Avg Accuracy: 94.47 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.0253 | Avg Accuracy: 94.17 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.0249 | Avg Accuracy: 94.45 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.0240 | Avg Accuracy: 94.01 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.0232 | Avg Accuracy: 94.40 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.0222 | Avg Accuracy: 94.20 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.0231 | Avg Accuracy: 94.36 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.0216 | Avg Accuracy: 94.57 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 0.0571 | Avg Accuracy: 94.42 | Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 0.0407 | Avg Accuracy: 94.39 | Model Sparsity: 0.9079
Recovery epoch [2/10]: Avg Loss: 0.0358 | Avg Accuracy: 94.82 | Model Sparsity: 0.9079
Recovery epoch [3/10]: Avg Loss: 0.0336 | Avg Accuracy: 94.66 | Model Sparsity: 0.9079
Recovery epoch [4/10]: Avg Loss: 0.0308 | Avg Accuracy: 94.81 | Model Sparsity: 0.9079
Recovery epoch [5/10]: Avg Loss: 0.0312 | Avg Accuracy: 94.58 | Model Sparsity: 0.9079
Recovery epoch [6/10]: Avg Loss: 0.0284 | Avg Accuracy: 94.68 | Model Sparsity: 0.9079
