Model : vgg19 - Learning Type: cifar10/bacp_finetune/movement_pruning/0.95
Configuration:
model_type: cv
model_name: vgg19
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg19/cifar10/vgg19_cifar10_movement_pruning_0.95_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg19/cifar10/vgg19_cifar10_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 2.3040 | Avg Accuracy: 9.53 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [2/50]: Avg Loss: 2.3038 | Avg Accuracy: 10.04 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [3/50]: Avg Loss: 2.3039 | Avg Accuracy: 10.04 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [4/50]: Avg Loss: 2.3034 | Avg Accuracy: 9.60 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [5/50]: Avg Loss: 2.3038 | Avg Accuracy: 9.81 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [6/50]: Avg Loss: 2.3034 | Avg Accuracy: 9.84 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [7/50]: Avg Loss: 2.3036 | Avg Accuracy: 10.16 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [8/50]: Avg Loss: 2.3035 | Avg Accuracy: 10.16 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [9/50]: Avg Loss: 2.3035 | Avg Accuracy: 9.81 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [10/50]: Avg Loss: 2.3033 | Avg Accuracy: 9.53 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [11/50]: Avg Loss: 2.3036 | Avg Accuracy: 10.37 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [12/50]: Avg Loss: 2.3037 | Avg Accuracy: 10.16 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [13/50]: Avg Loss: 2.3035 | Avg Accuracy: 10.04 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [14/50]: Avg Loss: 2.3035 | Avg Accuracy: 9.84 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [15/50]: Avg Loss: 2.3035 | Avg Accuracy: 9.81 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [16/50]: Avg Loss: 2.3034 | Avg Accuracy: 9.82 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [17/50]: Avg Loss: 2.3040 | Avg Accuracy: 10.04 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [18/50]: Avg Loss: 2.3034 | Avg Accuracy: 9.53 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [19/50]: Avg Loss: 2.3036 | Avg Accuracy: 10.10 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [20/50]: Avg Loss: 2.3033 | Avg Accuracy: 9.84 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [21/50]: Avg Loss: 2.3036 | Avg Accuracy: 9.81 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [22/50]: Avg Loss: 2.3035 | Avg Accuracy: 10.10 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [23/50]: Avg Loss: 2.3035 | Avg Accuracy: 9.53 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [24/50]: Avg Loss: 2.3035 | Avg Accuracy: 9.53 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [25/50]: Avg Loss: 2.3036 | Avg Accuracy: 9.82 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
Epoch [26/50]: Avg Loss: 2.3038 | Avg Accuracy: 9.82 | Avg Perplexity: 0.000 |Model Sparsity: 1.0
